time,total,idle,mem_total,mem_free,29581/cpu,29581/rss,947/cpu,947/rss
1006.65,3198693,3019383,3887864,1498432,1586,53360,1454,91280
2007.67,3199087,3019692,3887864,1460632,1586,53360,1454,91280
3008.69,3199482,3019859,3887864,1432940,1587,53360,1454,91280
4009.55,3199880,3020246,3887864,1432692,1587,53360,1454,91280
5010.38,3200277,3020633,3887864,1432720,1587,53360,1454,91280
6012.25,3200674,3021021,3887864,1432796,1587,53360,1454,91280
7014.38,3201071,3021410,3887864,1433980,1588,53360,1454,91280
8016.52,3201464,3021777,3887864,1435988,1588,53360,1455,91280
9018.67,3201859,3022162,3887864,1437384,1588,53360,1455,91280
10020.72,3202255,3022545,3887864,1439072,1589,53360,1456,91280
11022.93,3202650,3022921,3887864,1440592,1589,53360,1456,91280
12025.04,3203046,3023312,3887864,1441460,1589,53360,1456,91280
13026.12,3203441,3023662,3887864,1441316,1589,53360,1456,91280
14027.0,3203842,3024054,3887864,1441928,1590,53360,1456,91280
15027.86,3204239,3024441,3887864,1441980,1590,53360,1457,91280
16028.72,3204638,3024834,3887864,1443916,1590,53360,1457,91280
17029.6,3205037,3025228,3887864,1446368,1590,53360,1457,91280
18031.57,3205435,3025612,3887864,1447816,1591,53360,1457,91280
19033.69,3205829,3025980,3887864,1449840,1591,53360,1457,91280
20035.85,3206223,3026360,3887864,1450128,1591,53360,1457,91280
21037.98,3206620,3026741,3887864,1450972,1592,53360,1457,91280
22040.06,3207016,3027131,3887864,1451808,1592,53360,1457,91280
23043.32,3207412,3027508,3887864,1451816,1592,53360,1457,91280
24044.5,3207807,3027873,3887864,1453044,1592,53360,1458,91280
25045.4,3208203,3028262,3887864,1455652,1592,53360,1458,91280
26046.34,3208603,3028656,3887864,1458008,1592,53360,1458,91280
27047.26,3209004,3029051,3887864,1457480,1592,53364,1458,91280
28048.15,3209404,3029434,3887864,1457188,1592,53364,1458,91280
29050.37,3209798,3029817,3887864,1457364,1593,53364,1458,91280
30154.52,3210237,3030241,3887864,1457200,1594,53364,1458,91280
31155.52,3210642,3030618,3887864,1455716,1594,53364,1460,91280
32156.54,3211035,3030965,3887864,1455716,1594,53364,1460,91280
33157.56,3211432,3031316,3887864,1455580,1594,53364,1460,91280
34158.61,3211822,3031632,3887864,1454080,1594,53364,1460,91280
35259.42,3212250,3031978,3887864,1453856,1594,53364,1461,91280
36261.22,3212641,3032296,3887864,1454212,1594,53364,1461,91280
37262.96,3213029,3032605,3887864,1453872,1595,53364,1461,91280
38264.78,3213418,3032920,3887864,1453476,1595,53364,1462,91280
39266.74,3213808,3033237,3887864,1453228,1595,53364,1462,91280
40267.89,3214202,3033586,3887864,1453172,1595,53364,1462,91280
41268.91,3214599,3033934,3887864,1453216,1595,53364,1462,91280
42270.03,3214998,3034287,3887864,1452904,1596,53364,1462,91280
43271.05,3215393,3034628,3887864,1452964,1596,53364,1462,91280
44272.07,3215788,3034960,3887864,1452536,1596,53364,1462,91280
45273.66,3216173,3035271,3887864,1451808,1596,53364,1462,91280
46275.39,3216562,3035526,3887864,1450244,1597,53364,1463,91280
47278.17,3216953,3035738,3887864,1431700,1598,53364,1463,91280
48279.36,3217341,3035931,3887864,1378656,1598,53364,1463,91280
49283.32,3217737,3035967,3887864,1335896,1598,53364,1464,91280
50286.44,3218133,3035975,3887864,1290824,1598,53364,1464,91280
51291.32,3218535,3035980,3887864,1269204,1599,53364,1464,91280
52292.83,3218928,3036224,3887864,1255344,1599,53364,1464,91280
53295.2,3219322,3036569,3887864,1255216,1599,53364,1465,91280
54298.66,3219714,3036901,3887864,1246300,1599,53364,1465,91280
55300.26,3220109,3037243,3887864,1246048,1599,53364,1465,91280
56304.03,3220503,3037582,3887864,1245796,1599,53364,1465,91280
57307.92,3220893,3037885,3887864,1246648,1601,53364,1465,91280
58310.49,3221291,3038222,3887864,1247548,1601,53364,1465,91280
59311.51,3221687,3038568,3887864,1249376,1601,53364,1465,91280
60312.55,3222079,3038914,3887864,1249848,1601,53364,1465,91280
61313.62,3222472,3039208,3887864,1248744,1601,53364,1465,91280
62317.26,3222856,3039369,3887864,1230784,1601,53364,1465,91280
63319.46,3223243,3039520,3887864,1186532,1601,53364,1466,91280
64326.94,3223635,3039544,3887864,1131428,1602,53364,1467,91280
65329.26,3224034,3039554,3887864,1063120,1603,53364,1467,91280
66332.28,3224433,3039560,3887864,1043040,1603,53364,1467,91280
67334.29,3224833,3039566,3887864,1027700,1603,53364,1467,91280
68335.47,3225226,3039788,3887864,1005604,1603,53364,1467,91280
69336.57,3225619,3040119,3887864,1005352,1603,53364,1467,91280
70337.6,3226006,3040458,3887864,1004852,1603,53364,1467,91280
71338.71,3226401,3040795,3887864,1004852,1604,53364,1467,91280
72340.7,3226796,3041137,3887864,1004852,1604,53364,1467,91280
73342.28,3227185,3041424,3887864,1004852,1604,53364,1468,91280
74343.94,3227577,3041724,3887864,1004852,1605,53364,1468,91280
75345.07,3227969,3042001,3887864,1003916,1605,53364,1468,91280
76346.16,3228360,3042336,3887864,1004172,1605,53364,1469,91280
77347.19,3228756,3042667,3887864,1004076,1605,53364,1469,91280
78348.23,3229146,3042986,3887864,1004936,1605,53364,1469,91280
79349.27,3229544,3043315,3887864,1004936,1605,53364,1469,91280
80350.97,3229932,3043634,3887864,1005116,1605,53364,1469,91280
81352.66,3230323,3043939,3887864,1004876,1606,53364,1469,91280
82354.46,3230714,3044250,3887864,1005140,1606,53364,1470,91280
83356.02,3231106,3044543,3887864,1005552,1607,53364,1470,91280
84357.69,3231499,3044849,3887864,1005996,1607,53364,1470,91280
85358.9,3231887,3045131,3887864,1009292,1608,53364,1470,91280
86359.96,3232277,3045469,3887864,1008808,1608,53364,1470,91280
87360.97,3232669,3045800,3887864,1008192,1608,53364,1470,91280
88362.1,3233064,3046129,3887864,1007848,1608,53364,1471,91280
89363.13,3233460,3046463,3887864,1007344,1608,53364,1471,91280
90364.71,3233857,3046784,3887864,1007468,1608,53364,1471,91280
91366.34,3234250,3047084,3887864,1006648,1609,53364,1471,91280
92368.01,3234639,3047387,3887864,1007456,1609,53364,1471,91280
93369.45,3235034,3047672,3887864,1007328,1609,53364,1471,91280
94370.55,3235427,3048007,3887864,1007576,1609,53364,1471,91280
95371.63,3235818,3048333,3887864,1002864,1609,53364,1471,91280
96372.66,3236210,3048660,3887864,1008108,1609,53364,1471,91280
97373.68,3236609,3048982,3887864,1008384,1609,53364,1471,91280
98374.79,3237008,3049312,3887864,1008520,1609,53364,1472,91280
99375.82,3237399,3049613,3887864,1008356,1610,53364,1472,91280
100376.87,3237794,3049952,3887864,1008528,1610,53364,1473,91280
101377.93,3238192,3050291,3887864,1009176,1610,53364,1473,91280
102378.95,3238587,3050631,3887864,1009176,1610,53364,1473,91280
103379.97,3238980,3050963,3887864,1009328,1610,53364,1473,91280
104381.88,3239372,3051298,3887864,1008740,1611,53364,1473,91280
105383.64,3239760,3051595,3887864,1008824,1611,53364,1473,91280
106384.77,3240155,3051902,3887864,1007920,1611,53364,1473,91280
107386.0,3240553,3052227,3887864,1007444,1611,53364,1473,91280
108387.15,3240951,3052546,3887864,1006692,1612,53364,1473,91280
109388.2,3241344,3052882,3887864,1006692,1612,53364,1474,91280
110389.22,3241733,3053196,3887864,1005244,1612,53364,1474,91280
111391.9,3242126,3053499,3887864,1005344,1612,53364,1474,91280
112394.29,3242516,3053806,3887864,1005416,1612,53364,1474,91280
113397.81,3242904,3054105,3887864,1005416,1613,53364,1474,91280
