time,sent,received,total
1.49,44118.97,14925.2,57.66
1002.56,44411.82,14965.26,57.99
2003.93,44415.59,14967.87,57.99
3005.05,44480.68,14984.22,58.07
4006.33,44484.45,14986.36,58.08
5007.38,44485.33,14987.27,58.08
6008.1,44485.46,14987.33,58.08
7008.68,44488.06,14989.48,58.08
8009.37,44488.93,14990.33,58.08
9010.06,44495.26,14998.9,58.1
10010.63,44496.82,14999.38,58.1
11011.6,44498.33,15000.37,58.1
12012.76,44498.33,15000.47,58.1
13014.01,44499.32,15001.31,58.11
14015.19,44499.74,15001.55,58.11
15016.37,44501.85,15003.65,58.11
16017.35,44504.05,15005.08,58.11
17018.04,44504.87,15005.94,58.12
18018.64,44508.42,15008.01,58.12
19019.23,44512.98,15010.21,58.13
20019.83,44513.62,15010.43,58.13
21020.8,44515.49,15011.69,58.13
22022.25,44516.65,15013.44,58.13
23023.67,44520.05,15014.89,58.14
24024.82,44520.05,15014.95,58.14
25025.97,44521.53,15015.96,58.14
26026.96,44521.92,15016.24,58.14
27027.69,44522.85,15017.07,58.14
28028.29,44523.04,15017.18,58.14
29028.88,44525.12,15018.84,58.15
30029.51,44529.62,15021.97,58.16
31030.11,44533.32,15024.41,58.16
32031.08,44534.32,15024.8,58.16
33032.21,44537.99,15027.43,58.17
34033.37,44540.62,15028.91,58.17
35034.5,44541.97,15030.01,58.17
36035.61,44542.4,15030.19,58.18
37036.36,44543.76,15031.07,58.18
38037.0,44546.13,15032.92,58.18
39037.6,44551.97,15041.2,58.2
40038.19,44552.44,15042.33,58.2
41038.8,44553.03,15042.55,58.2
42039.75,44553.86,15043.34,58.2
43040.8,44554.23,15043.5,58.2
44041.99,44555.12,15044.41,58.2
45043.12,44557.31,15045.97,58.21
46043.89,44818.8,15081.15,58.5
47044.49,44824.55,15085.71,58.51
48045.16,44833.85,15093.36,58.52
49045.84,44906.15,15113.14,58.61
50046.44,45074.65,15141.03,58.8
51047.4,45075.26,15141.41,58.8
52048.47,45076.92,15142.64,58.81
53049.58,45078.87,15144.12,58.81
54050.74,45080.45,15145.13,58.81
55051.86,45081.3,15145.34,58.81
56052.9,45083.09,15146.68,58.82
57053.85,45083.75,15146.94,58.82
58054.83,45089.56,15151.67,58.83
59055.92,45089.82,15151.78,58.83
60057.03,45093.03,15154.65,58.83
61057.8,45408.46,15193.79,59.18
62058.41,45410.7,15195.2,59.18
63059.18,45421.06,15201.48,59.2
64059.89,45557.22,15231.35,59.36
65060.48,45743.03,15259.86,59.57
66061.48,45752.42,15266.9,59.59
67062.49,45752.79,15267.06,59.59
68063.23,45754.96,15269.06,59.59
69063.81,45757.99,15274.57,59.6
70064.4,45761.08,15276.74,59.61
71065.03,45761.08,15276.8,59.61
72065.61,45762.86,15277.87,59.61
73066.45,45762.99,15277.93,59.61
74067.5,45763.91,15278.71,59.61
75068.52,45766.91,15281.14,59.62
76069.65,45769.75,15283.27,59.62
77070.65,45769.75,15283.33,59.62
78071.35,45771.51,15284.26,59.62
79071.94,45776.15,15286.84,59.63
80072.53,45777.99,15288.53,59.63
81073.16,45778.8,15288.74,59.64
82073.74,45779.96,15289.62,59.64
83074.55,45781.74,15291.24,59.64
84075.65,45782.84,15293.81,59.64
85076.64,45783.59,15294.22,59.65
86077.73,45784.38,15295.13,59.65
87078.73,45784.74,15295.29,59.65
88079.42,45785.76,15296.26,59.65
89080.02,45786.4,15298.34,59.65
90080.62,45791.0,15302.54,59.66
91081.24,45793.03,15304.03,59.67
92081.83,45794.16,15304.86,59.67
93082.71,45794.61,15304.97,59.67
94083.74,45800.42,15308.3,59.68
95084.69,45801.34,15308.87,59.68
96085.66,45803.49,15310.38,59.68
97086.67,45804.21,15310.88,59.68
98087.38,45806.86,15313.39,59.69
99087.97,45809.47,15318.28,59.69
100088.56,45811.63,15320.06,59.7
101089.18,45811.63,15320.12,59.7
102089.77,45812.39,15320.9,59.7
103090.65,45812.39,15320.96,59.7
104091.7,45813.7,15321.89,59.7
105092.77,45815.84,15324.57,59.71
106093.96,45818.8,15326.86,59.71
107095.11,45822.12,15329.76,59.72
108096.17,45823.61,15330.73,59.72
109096.89,45828.71,15333.66,59.73
110097.55,45830.54,15335.17,59.73
111098.16,45830.97,15335.53,59.73
112098.76,45832.47,15336.56,59.74
113099.34,45834.26,15337.98,59.74
114100.23,45835.59,15338.86,59.74
115101.37,45836.32,15339.12,59.74
116102.42,45837.56,15340.09,59.74
117103.49,45838.16,15340.3,59.74
118104.47,45841.36,15343.88,59.75
119105.22,45841.49,15344.07,59.75
120106.01,45843.96,15346.16,59.76
121106.74,45847.29,15348.83,59.76
122107.33,45848.7,15349.85,59.76
123107.93,45849.15,15350.15,59.76
124108.8,45868.82,15355.74,59.79
125110.0,45868.88,15355.79,59.79
126111.07,45869.14,15356.61,59.79
127112.13,45870.34,15356.82,59.79
128113.25,45871.76,15358.22,59.79
129114.0,45875.44,15364.48,59.8
130114.58,45876.81,15364.7,59.81
131115.16,45878.34,15366.16,59.81
132115.75,45879.47,15366.52,59.81
133116.35,45880.33,15367.31,59.81
134117.36,45881.25,15367.8,59.81
135118.39,45884.06,15370.3,59.82
136119.48,45887.18,15372.27,59.82
137120.53,45888.2,15373.35,59.83
138121.66,45888.85,15373.51,59.83
139122.41,45894.56,15376.88,59.83
140123.51,45894.79,15376.99,59.83
141124.11,45897.07,15378.96,59.84
142124.7,45897.79,15379.32,59.84
143125.31,45900.32,15381.83,59.85
144126.26,45900.32,15381.89,59.85
145127.37,45901.43,15382.81,59.85
146128.45,45901.43,15382.87,59.85
147129.57,45903.07,15383.8,59.85
148130.54,45903.55,15383.96,59.85
149131.56,45905.26,15385.0,59.85
150132.3,45907.25,15386.52,59.86
151132.89,45911.28,15389.74,59.86
152133.52,45912.35,15390.3,59.87
153134.11,45913.11,15391.08,59.87
154134.71,45917.97,15394.04,59.88
155135.68,45918.73,15394.83,59.88
156136.7,45919.23,15395.12,59.88
157137.86,45920.55,15396.0,59.88
158138.91,45922.15,15397.51,59.88
159140.0,45925.92,15403.03,59.89
160140.85,45926.15,15403.36,59.89
161141.52,45928.05,15405.0,59.9
162142.1,45928.05,15405.06,59.9
163142.69,45929.25,15405.84,59.9
164143.28,45931.87,15407.67,59.9
165144.24,45934.94,15410.0,59.91
166145.33,45938.35,15411.49,59.91
167146.34,45941.69,15414.58,59.92
168147.47,45942.23,15414.83,59.92
169148.67,45948.52,15418.99,59.93
170149.51,45949.02,15419.36,59.93
171150.1,45950.98,15421.05,59.93
172150.68,45951.75,15421.64,59.93
173151.27,45954.45,15423.84,59.94
174151.85,45954.68,15423.95,59.94
175152.73,45956.26,15424.93,59.94
176153.88,45956.26,15424.99,59.94
177154.93,45957.25,15425.82,59.94
178156.06,45959.92,15428.38,59.95
179157.07,45961.0,15429.38,59.95
180157.75,45962.58,15430.8,59.95
181158.34,46166.75,15451.15,60.17
182158.93,46234.5,15468.53,60.26
183159.52,46691.42,15492.8,60.73
184160.12,46696.44,15495.5,60.73
185161.07,46697.94,15496.46,60.74
186162.1,46698.19,15498.63,60.74
187163.18,46699.25,15499.41,60.74
188164.21,46700.76,15500.89,60.74
189165.27,46704.15,15506.88,60.75
190166.13,46705.1,15507.18,60.75
191166.8,46705.92,15508.04,60.75
192167.39,46707.85,15509.16,60.76
193167.98,46708.81,15509.95,60.76
194168.56,46709.98,15510.48,60.76
195169.18,46710.92,15511.31,60.76
196170.0,46829.54,15519.67,60.89
197170.76,46983.49,15551.3,61.07
198171.35,47282.09,15565.71,61.37
199171.93,47287.22,15568.99,61.38
200172.53,47287.22,15569.05,61.38
201173.35,47288.17,15569.88,61.38
202173.98,47289.37,15570.85,61.39
203174.57,47291.99,15573.19,61.39
204175.16,47292.17,15573.3,61.39
205175.74,47293.06,15574.3,61.39
206176.7,47293.42,15574.41,61.39
207177.82,47294.75,15575.47,61.4
208178.85,47296.18,15576.1,61.4
209179.82,47296.43,15576.21,61.4
210180.79,47297.69,15577.52,61.4
211181.6,47300.96,15580.4,61.41
212182.2,47302.65,15582.0,61.41
213182.8,47303.37,15582.34,61.41
214183.38,47308.69,15585.52,61.42
215183.98,47309.04,15585.68,61.42
216184.87,47310.17,15586.56,61.42
217186.02,47310.91,15587.22,61.42
218187.06,47314.34,15589.38,61.43
219188.03,47317.05,15594.23,61.44
220189.06,47317.81,15595.01,61.44
221189.79,47317.81,15595.07,61.44
222190.38,47319.34,15596.58,61.44
223190.98,47319.8,15596.82,61.44
224191.57,47320.95,15597.79,61.44
225192.16,47321.56,15598.0,61.44
226193.23,47324.82,15600.38,61.45
227194.34,47331.1,15605.63,61.46
228195.34,47332.4,15606.6,61.46
229196.29,47337.57,15609.75,61.47
230197.26,47339.26,15610.9,61.47
231198.13,47339.95,15611.15,61.48
232198.82,47342.17,15612.81,61.48
233199.41,47344.39,15614.68,61.48
234200.0,47345.62,15615.8,61.49
235200.6,47346.12,15616.01,61.49
