time,total,idle,mem_total,mem_free,29581/cpu,29581/rss,947/cpu,947/rss
1017.48,2036421,1937739,3887864,1521444,722,53764,942,91268
2018.73,2036808,1938073,3887864,1511920,722,53764,942,91268
3019.54,2037203,1938388,3887864,1490872,724,54228,942,91268
4020.32,2037597,1938777,3887864,1492200,724,54228,942,91268
5021.09,2037995,1939170,3887864,1493036,725,54232,942,91268
6021.87,2038390,1939536,3887864,1494876,725,54232,942,91268
7022.76,2038788,1939930,3887864,1495640,725,54240,942,91268
8031.98,2039190,1940328,3887864,1495684,725,54240,943,91268
9032.79,2039587,1940715,3887864,1496880,725,54240,943,91268
10033.77,2039984,1941107,3887864,1497688,726,54240,943,91268
11035.14,2040384,1941487,3887864,1498780,726,54240,944,91268
12036.7,2040777,1941866,3887864,1499832,726,54240,944,91268
13037.76,2041171,1942240,3887864,1500476,726,54240,944,91268
14038.75,2041571,1942636,3887864,1501044,726,54240,944,91268
15039.67,2041970,1943020,3887864,1501272,727,54256,944,91268
16041.17,2042366,1943401,3887864,1493264,727,54256,944,91268
17042.08,2042761,1943784,3887864,1500560,727,54256,944,91268
18045.23,2043161,1944176,3887864,1500312,727,54256,944,91268
19047.25,2043554,1944559,3887864,1500584,727,54272,944,91268
20049.28,2043948,1944942,3887864,1500596,728,54280,944,91268
21050.79,2044344,1945315,3887864,1500848,728,54296,944,91268
22052.26,2044742,1945696,3887864,1500848,728,54296,945,91268
23054.02,2045136,1946057,3887864,1500984,730,54316,945,91268
24055.87,2045532,1946447,3887864,1501260,730,54316,946,91268
25057.67,2045930,1946820,3887864,1502524,730,54324,946,91268
26059.18,2046326,1947202,3887864,1502768,730,54324,946,91268
27060.08,2046722,1947566,3887864,1499256,730,54344,946,91268
28060.92,2047120,1947960,3887864,1499256,731,54344,946,91268
29061.73,2047520,1948354,3887864,1499020,731,54360,946,91268
30062.6,2047915,1948739,3887864,1499020,731,54360,946,91268
31063.86,2048313,1949094,3887864,1497832,731,54364,946,91268
32065.56,2048709,1949401,3887864,1497848,731,54368,946,91268
33068.35,2049103,1949686,3887864,1497796,731,54368,947,91268
34070.14,2049497,1949980,3887864,1499052,732,54376,947,91268
35072.74,2049888,1950272,3887864,1498468,732,54376,947,91268
36073.9,2050285,1950575,3887864,1503436,732,54396,947,91268
37075.27,2050681,1950890,3887864,1501352,732,54396,947,91268
38076.94,2051073,1951228,3887864,1501100,733,54408,947,91268
39078.3,2051474,1951556,3887864,1500600,733,54408,947,91268
40079.29,2051865,1951893,3887864,1500852,733,54412,947,91268
41080.49,2052257,1952214,3887864,1500872,733,54412,947,91268
42081.94,2052651,1952514,3887864,1501124,733,54416,948,91268
43082.9,2053043,1952837,3887864,1501124,733,54416,948,91268
44083.8,2053436,1953173,3887864,1501652,733,54432,948,91268
45084.71,2053831,1953498,3887864,1502104,733,54432,948,91268
46086.5,2054222,1953741,3887864,1498792,738,55536,949,91268
47087.87,2054612,1953890,3887864,1486724,738,55536,949,91268
48088.95,2055002,1954128,3887864,1470276,739,55536,949,91268
49091.85,2055388,1954268,3887864,1417224,743,55548,949,91268
50094.4,2055773,1954437,3887864,1372680,746,55568,949,91268
