response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0052,0.0010,0.0000,0.0000,0.0040,0.0002,200,0.1029
0.0052,0.0010,0.0000,0.0000,0.0040,0.0001,200,0.1029
0.0052,0.0008,0.0000,0.0001,0.0042,0.0001,200,0.1029
0.0055,0.0011,0.0000,0.0001,0.0041,0.0001,200,0.1026
0.0056,0.0009,0.0000,0.0001,0.0043,0.0000,200,0.1025
0.0056,0.0008,0.0000,0.0000,0.0047,0.0000,200,0.1031
0.0056,0.0009,0.0000,0.0000,0.0046,0.0000,200,0.1031
0.0062,0.0012,0.0000,0.0000,0.0047,0.0000,200,0.1025
0.0057,0.0009,0.0000,0.0000,0.0047,0.0000,200,0.1030
0.0061,0.0011,0.0000,0.0000,0.0048,0.0000,200,0.1027
0.0027,0.0006,0.0000,0.0001,0.0020,0.0001,200,0.2033
0.0035,0.0007,0.0000,0.0000,0.0026,0.0001,200,0.2033
0.0037,0.0006,0.0000,0.0001,0.0029,0.0001,200,0.2033
0.0039,0.0007,0.0000,0.0001,0.0031,0.0000,200,0.2033
0.0039,0.0007,0.0000,0.0001,0.0031,0.0000,200,0.2033
0.0039,0.0007,0.0000,0.0000,0.0032,0.0000,200,0.2034
0.0045,0.0008,0.0000,0.0001,0.0035,0.0000,200,0.2031
0.0052,0.0010,0.0000,0.0001,0.0041,0.0001,200,0.2030
0.0049,0.0007,0.0000,0.0000,0.0041,0.0000,200,0.2034
0.0049,0.0007,0.0000,0.0000,0.0042,0.0000,200,0.2034
0.0029,0.0005,0.0000,0.0001,0.0022,0.0001,200,0.3028
0.0032,0.0007,0.0000,0.0000,0.0024,0.0000,200,0.3026
0.0030,0.0007,0.0000,0.0001,0.0022,0.0000,200,0.3027
0.0033,0.0006,0.0000,0.0001,0.0024,0.0001,200,0.3026
0.0030,0.0005,0.0000,0.0001,0.0022,0.0001,200,0.3028
0.0034,0.0006,0.0000,0.0000,0.0027,0.0000,200,0.3028
0.0034,0.0006,0.0000,0.0001,0.0027,0.0000,200,0.3028
0.0036,0.0006,0.0000,0.0000,0.0029,0.0001,200,0.3029
0.0036,0.0005,0.0000,0.0000,0.0030,0.0000,200,0.3029
0.0040,0.0007,0.0000,0.0000,0.0032,0.0000,200,0.3028
0.0030,0.0005,0.0000,0.0000,0.0023,0.0000,200,0.4033
0.0032,0.0006,0.0000,0.0001,0.0024,0.0001,200,0.4031
0.0033,0.0009,0.0000,0.0001,0.0022,0.0001,200,0.4031
0.0030,0.0005,0.0000,0.0001,0.0023,0.0000,200,0.4034
0.0030,0.0005,0.0000,0.0000,0.0024,0.0000,200,0.4035
0.0033,0.0004,0.0000,0.0002,0.0027,0.0000,200,0.4035
0.0035,0.0006,0.0000,0.0001,0.0028,0.0000,200,0.4034
0.0037,0.0005,0.0000,0.0000,0.0031,0.0000,200,0.4034
0.0040,0.0008,0.0000,0.0001,0.0031,0.0000,200,0.4032
0.0037,0.0005,0.0000,0.0000,0.0031,0.0000,200,0.4035
0.0039,0.0008,0.0000,0.0001,0.0030,0.0001,200,0.5024
0.0037,0.0007,0.0000,0.0001,0.0029,0.0000,200,0.5026
0.0039,0.0007,0.0000,0.0000,0.0031,0.0000,200,0.5028
0.0040,0.0007,0.0000,0.0001,0.0032,0.0000,200,0.5026
0.0042,0.0008,0.0000,0.0001,0.0032,0.0000,200,0.5025
0.0042,0.0009,0.0000,0.0001,0.0032,0.0001,200,0.5026
0.0040,0.0006,0.0000,0.0001,0.0033,0.0000,200,0.5027
0.0040,0.0006,0.0000,0.0000,0.0033,0.0001,200,0.5027
0.0040,0.0006,0.0000,0.0001,0.0032,0.0000,200,0.5027
0.0045,0.0006,0.0000,0.0001,0.0037,0.0001,200,0.5027
0.0031,0.0007,0.0000,0.0001,0.0021,0.0001,200,0.6023
0.0029,0.0006,0.0000,0.0001,0.0022,0.0001,200,0.6026
0.0032,0.0004,0.0000,0.0001,0.0026,0.0001,200,0.6026
0.0032,0.0006,0.0000,0.0000,0.0025,0.0001,200,0.6026
0.0032,0.0004,0.0000,0.0001,0.0026,0.0000,200,0.6027
0.0034,0.0004,0.0000,0.0001,0.0028,0.0000,200,0.6026
0.0036,0.0005,0.0000,0.0001,0.0029,0.0000,200,0.6026
0.0039,0.0007,0.0000,0.0001,0.0030,0.0000,200,0.6024
0.0046,0.0005,0.0000,0.0001,0.0040,0.0000,200,0.6026
0.0048,0.0007,0.0000,0.0000,0.0040,0.0000,200,0.6025
0.0032,0.0006,0.0000,0.0000,0.0025,0.0001,200,0.7029
0.0031,0.0004,0.0000,0.0001,0.0025,0.0001,200,0.7030
0.0036,0.0007,0.0000,0.0001,0.0027,0.0000,200,0.7027
0.0036,0.0005,0.0000,0.0001,0.0030,0.0000,200,0.7030
0.0036,0.0005,0.0000,0.0000,0.0030,0.0000,200,0.7030
0.0038,0.0006,0.0000,0.0000,0.0031,0.0000,200,0.7029
0.0040,0.0006,0.0000,0.0000,0.0033,0.0000,200,0.7030
0.0044,0.0008,0.0000,0.0000,0.0035,0.0001,200,0.7031
0.0046,0.0009,0.0000,0.0000,0.0036,0.0000,200,0.7030
