time,sent,received,total
4.34,527003.37,2142683.17,2607.12
1005.44,527012.08,2142972.61,2607.41
2010.54,527022.13,2142987.01,2607.43
3014.29,527025.41,2142989.4,2607.44
4021.09,527035.39,2143003.79,2607.46
5025.27,527038.9,2143006.44,2607.47
6029.4,527048.63,2143020.5,2607.49
7033.84,527052.04,2143022.89,2607.49
8037.27,527061.96,2143037.09,2607.52
9041.3,527065.41,2143039.48,2607.52
10047.53,527078.24,2143053.87,2607.55
11050.43,527081.63,2143056.26,2607.56
12054.86,527091.82,2143070.53,2607.58
13059.23,527095.17,2143073.11,2607.59
14063.17,527104.94,2143087.17,2607.61
15067.88,527108.23,2143089.42,2607.61
16071.35,527118.27,2143103.69,2607.64
17074.06,527121.66,2143106.08,2607.64
18078.17,527127.61,2143116.35,2607.66
19080.97,527134.58,2143122.25,2607.67
20087.8,527137.89,2143124.64,2607.68
21091.43,527147.64,2143138.9,2607.7
22095.56,527151.19,2143141.29,2607.71
23100.47,527161.08,2143155.62,2607.73
24105.06,527164.47,2143157.87,2607.74
25110.49,527174.75,2143172.2,2607.76
26115.33,527178.02,2143174.51,2607.77
27120.28,527188.21,2143188.78,2607.79
28125.7,527191.34,2143191.09,2607.79
29131.16,527201.22,2143205.22,2607.82
30135.93,527213.44,2143215.42,2607.84
31138.49,527269.24,2143275.5,2607.95
32141.97,527318.36,2143324.02,2608.05
33145.31,527374.71,2143384.31,2608.16
34149.21,527424.39,2143432.85,2608.26
35153.17,527480.73,2143493.33,2608.37
36156.96,527530.7,2143542.45,2608.47
37160.55,527586.92,2143603.82,2608.58
38165.05,527636.5,2143652.74,2608.68
39169.87,527692.97,2143712.84,2608.79
40174.49,527742.88,2143761.31,2608.89
41179.64,527799.2,2143821.6,2609.0
42182.99,527848.09,2143870.78,2609.1
43187.83,527904.18,2143932.03,2609.21
44192.58,527953.81,2143981.09,2609.31
45195.18,528010.1,2144041.25,2609.42
46199.94,528073.65,2145241.54,2610.66
47204.15,528130.24,2145302.73,2610.77
48209.31,528179.96,2145351.13,2610.87
49214.05,528236.06,2145411.61,2610.98
50220.41,528289.93,2145464.49,2611.09
51223.17,528346.01,2145525.21,2611.2
52225.31,528395.91,2145574.26,2611.3
53227.15,528452.13,2145634.93,2611.41
54229.28,528502.14,2145684.11,2611.51
55231.96,528558.24,2145744.73,2611.62
56234.19,528608.15,2145793.52,2611.72
57236.56,528664.57,2145854.33,2611.83
58239.41,528714.39,2145903.32,2611.93
59242.42,528770.76,2145964.05,2612.04
60245.45,528820.5,2146013.04,2612.14
61248.5,528893.71,2147513.44,2613.68
62251.56,528944.32,2147562.3,2613.78
63254.94,528994.12,2147610.58,2613.87
64259.43,529050.51,2147671.06,2613.99
65263.86,529100.01,2147720.05,2614.08
66270.17,529156.28,2147780.85,2614.2
67274.0,529205.99,2147829.97,2614.29
68278.99,529262.66,2147890.97,2614.41
69284.16,529312.82,2147939.64,2614.5
70287.15,529369.27,2147999.86,2614.62
71292.46,529418.95,2148048.85,2614.71
72296.45,529475.59,2148109.58,2614.83
73300.99,529525.4,2148158.89,2614.93
74304.84,529581.34,2148220.07,2615.04
75308.56,529630.96,2148268.98,2615.14
76314.3,529687.25,2148329.46,2615.25
77321.44,529741.37,2148382.8,2615.36
78324.38,529797.85,2148443.28,2615.47
79326.77,529847.57,2148491.88,2615.57
80328.77,529903.89,2148552.81,2615.68
81332.59,529953.35,2148601.46,2615.78
82336.6,530009.79,2148662.52,2615.89
83339.53,530059.5,2148711.9,2615.99
84342.96,530115.81,2148772.71,2616.1
85346.27,530165.57,2148820.79,2616.2
86349.81,530222.05,2148881.78,2616.31
87352.94,530271.99,2148930.96,2616.41
88357.5,530328.49,2148992.22,2616.52
89361.42,530378.39,2149041.08,2616.62
90365.63,530434.9,2149101.88,2616.73
91369.1,530484.6,2149150.23,2616.83
92373.79,530540.86,2149210.84,2616.94
93378.0,530590.76,2149259.38,2617.04
94383.32,530647.2,2149320.0,2617.16
