response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0051,0.0012,0.0000,0.0000,0.0037,0.0001,200,0.1033
0.0057,0.0013,0.0000,0.0000,0.0039,0.0001,200,0.1029
0.0058,0.0013,0.0000,0.0001,0.0041,0.0000,200,0.1028
0.0057,0.0010,0.0000,0.0001,0.0039,0.0001,200,0.1030
0.0057,0.0014,0.0000,0.0001,0.0041,0.0001,200,0.1030
0.0054,0.0012,0.0000,0.0001,0.0040,0.0001,200,0.1033
0.0057,0.0013,0.0000,0.0001,0.0042,0.0001,200,0.1033
0.0056,0.0012,0.0000,0.0001,0.0043,0.0000,200,0.1034
0.0060,0.0013,0.0000,0.0001,0.0044,0.0000,200,0.1031
0.0067,0.0014,0.0000,0.0001,0.0050,0.0000,200,0.1029
0.0027,0.0008,0.0000,0.0000,0.0017,0.0001,200,0.2031
0.0028,0.0008,0.0000,0.0001,0.0019,0.0000,200,0.2029
0.0030,0.0009,0.0000,0.0001,0.0019,0.0000,200,0.2028
0.0031,0.0009,0.0000,0.0000,0.0021,0.0001,200,0.2030
0.0034,0.0010,0.0000,0.0000,0.0023,0.0000,200,0.2028
0.0032,0.0008,0.0000,0.0001,0.0022,0.0000,200,0.2030
0.0032,0.0007,0.0000,0.0001,0.0023,0.0001,200,0.2030
0.0034,0.0010,0.0000,0.0000,0.0022,0.0001,200,0.2029
0.0032,0.0008,0.0000,0.0000,0.0023,0.0000,200,0.2031
0.0033,0.0008,0.0000,0.0000,0.0024,0.0000,200,0.2031
0.0029,0.0007,0.0000,0.0000,0.0021,0.0001,200,0.3028
0.0032,0.0008,0.0000,0.0001,0.0021,0.0001,200,0.3025
0.0030,0.0006,0.0000,0.0000,0.0022,0.0000,200,0.3028
0.0030,0.0008,0.0000,0.0001,0.0022,0.0000,200,0.3027
0.0030,0.0006,0.0000,0.0001,0.0022,0.0001,200,0.3027
0.0033,0.0007,0.0000,0.0000,0.0024,0.0001,200,0.3025
0.0034,0.0006,0.0000,0.0000,0.0026,0.0000,200,0.3028
0.0034,0.0007,0.0000,0.0000,0.0026,0.0001,200,0.3028
0.0034,0.0006,0.0000,0.0001,0.0027,0.0000,200,0.3028
0.0034,0.0005,0.0000,0.0001,0.0028,0.0000,200,0.3028
0.0033,0.0008,0.0000,0.0000,0.0024,0.0001,200,0.4036
0.0032,0.0006,0.0000,0.0001,0.0024,0.0001,200,0.4037
0.0036,0.0009,0.0000,0.0001,0.0024,0.0001,200,0.4034
0.0036,0.0009,0.0000,0.0001,0.0025,0.0000,200,0.4035
0.0035,0.0007,0.0000,0.0002,0.0026,0.0000,200,0.4036
0.0035,0.0007,0.0000,0.0001,0.0026,0.0000,200,0.4037
0.0034,0.0008,0.0000,0.0000,0.0025,0.0000,200,0.4037
0.0037,0.0008,0.0000,0.0000,0.0028,0.0000,200,0.4037
0.0038,0.0008,0.0000,0.0000,0.0030,0.0000,200,0.4037
0.0042,0.0007,0.0000,0.0001,0.0034,0.0001,200,0.4037
0.0037,0.0009,0.0000,0.0001,0.0025,0.0001,200,0.5034
0.0036,0.0008,0.0000,0.0001,0.0026,0.0001,200,0.5035
0.0036,0.0009,0.0000,0.0001,0.0026,0.0001,200,0.5034
0.0038,0.0011,0.0000,0.0001,0.0026,0.0001,200,0.5032
0.0042,0.0011,0.0000,0.0001,0.0029,0.0000,200,0.5032
0.0045,0.0010,0.0000,0.0000,0.0034,0.0001,200,0.5035
0.0045,0.0009,0.0000,0.0000,0.0035,0.0001,200,0.5035
0.0047,0.0010,0.0000,0.0000,0.0036,0.0000,200,0.5034
0.0047,0.0010,0.0000,0.0001,0.0036,0.0000,200,0.5033
0.0047,0.0009,0.0000,0.0000,0.0037,0.0000,200,0.5035
0.0028,0.0010,0.0000,0.0000,0.0017,0.0001,200,0.6035
0.0026,0.0008,0.0000,0.0001,0.0017,0.0000,200,0.6037
0.0028,0.0008,0.0000,0.0001,0.0019,0.0001,200,0.6036
0.0027,0.0009,0.0000,0.0001,0.0017,0.0001,200,0.6037
0.0029,0.0008,0.0000,0.0001,0.0020,0.0001,200,0.6036
0.0028,0.0008,0.0000,0.0000,0.0019,0.0001,200,0.6037
0.0030,0.0008,0.0000,0.0001,0.0021,0.0000,200,0.6037
0.0033,0.0010,0.0000,0.0000,0.0022,0.0000,200,0.6034
0.0030,0.0008,0.0000,0.0000,0.0021,0.0000,200,0.6038
0.0037,0.0007,0.0000,0.0001,0.0028,0.0000,200,0.6038
0.0026,0.0009,0.0000,0.0000,0.0015,0.0001,200,0.7030
0.0030,0.0009,0.0000,0.0000,0.0019,0.0001,200,0.7029
0.0030,0.0009,0.0000,0.0001,0.0020,0.0001,200,0.7029
