time,sent,received,total
3.46,534089.53,2153813.14,2624.9
1004.46,534098.26,2154097.11,2625.19
2009.12,534101.44,2154099.56,2625.2
3013.16,534111.52,2154113.89,2625.22
4016.89,534114.8,2154116.2,2625.23
5022.79,534124.62,2154130.39,2625.25
6026.73,534128.24,2154132.85,2625.25
7030.54,534138.03,2154146.91,2625.28
8033.24,534141.13,2154149.08,2625.28
9036.86,534150.96,2154163.42,2625.31
10039.53,534157.28,2154165.93,2625.32
11045.01,534161.07,2154168.72,2625.32
12048.89,534170.48,2154182.58,2625.34
13054.71,534173.6,2154184.82,2625.35
14058.56,534183.57,2154199.15,2625.37
15062.53,534187.24,2154201.53,2625.38
16066.73,534197.12,2154215.86,2625.4
17072.26,534200.75,2154218.56,2625.41
18077.74,534210.66,2154232.83,2625.43
19083.03,534214.13,2154235.22,2625.44
20087.87,534223.45,2154248.87,2625.46
21092.35,534226.05,2154250.7,2625.46
22095.62,534235.99,2154265.1,2625.49
23098.57,534239.11,2154267.34,2625.49
24109.56,534250.76,2154282.68,2625.52
25110.93,534251.71,2154283.44,2625.52
26114.25,534261.95,2154297.78,2625.55
27118.53,534265.06,2154300.02,2625.55
28123.2,534275.26,2154314.29,2625.58
29128.96,534278.82,2154316.6,2625.58
30134.17,534296.93,2154335.62,2625.62
31138.45,534348.53,2154384.03,2625.71
32141.92,534406.85,2154445.03,2625.83
33146.04,534458.66,2154494.35,2625.93
34150.09,534516.9,2154554.57,2626.05
35154.12,534568.26,2154603.36,2626.14
36160.48,534626.62,2154664.48,2626.26
37165.23,534678.3,2154713.41,2626.36
38170.11,534736.37,2154773.57,2626.47
39174.82,534788.01,2154822.62,2626.57
40178.97,534846.3,2154883.3,2626.69
41183.13,534897.95,2154931.57,2626.79
42189.15,534956.11,2154991.93,2626.9
43194.6,535007.68,2155040.4,2627.0
44199.02,535065.91,2155101.53,2627.12
45203.72,535117.66,2155149.62,2627.21
46208.03,535189.28,2156314.63,2628.42
47215.4,535245.36,2156368.29,2628.53
48218.33,535303.76,2156428.71,2628.64
49220.68,535355.4,2156477.51,2628.74
50223.6,535413.65,2156538.19,2628.86
51226.31,535465.12,2156587.31,2628.96
52229.81,535523.42,2156648.24,2629.07
53232.15,535575.03,2156697.04,2629.17
54236.39,535633.02,2156757.72,2629.29
55238.53,535684.72,2156806.77,2629.39
56240.96,535736.34,2156855.37,2629.48
57245.1,535794.01,2156915.96,2629.6
58249.36,535845.55,2156964.95,2629.7
59253.78,535903.19,2157025.49,2629.81
60257.59,535954.54,2157074.66,2629.91
61264.59,536029.96,2158515.4,2631.39
62268.17,536081.46,2158564.89,2631.49
63273.42,536140.02,2158625.12,2631.61
64276.27,536191.77,2158673.85,2631.7
65280.66,536249.84,2158734.08,2631.82
66284.76,536301.45,2158782.68,2631.92
67289.84,536359.34,2158843.55,2632.03
68293.96,536411.03,2158892.41,2632.13
69298.25,536469.19,2158952.88,2632.25
70302.37,536520.88,2159001.74,2632.35
71305.79,536578.85,2159062.87,2632.46
72310.45,536630.49,2159112.32,2632.56
73315.28,536693.11,2159176.89,2632.69
74318.11,536744.54,2159225.61,2632.78
75320.57,536802.78,2159286.16,2632.9
76323.28,536854.39,2159334.83,2633.0
77325.68,536912.75,2159395.18,2633.11
78328.55,536964.27,2159444.1,2633.21
79332.97,537022.4,2159504.58,2633.33
80336.39,537073.9,2159553.58,2633.42
81339.89,537132.27,2159613.74,2633.54
82346.28,537184.04,2159662.92,2633.64
83350.48,537242.28,2159723.53,2633.75
84353.78,537293.99,2159772.65,2633.85
85357.18,537352.09,2159833.27,2633.97
86361.51,537403.71,2159881.55,2634.07
87365.88,537462.04,2159941.77,2634.18
88370.89,537514.05,2159990.51,2634.28
89375.12,537572.31,2160051.5,2634.4
90379.54,537623.81,2160100.62,2634.5
91384.1,537681.99,2160161.04,2634.61
92388.42,537733.59,2160209.51,2634.71
93392.68,537791.77,2160270.32,2634.83
94396.98,537843.51,2160319.18,2634.92
95403.64,537901.73,2160380.5,2635.04
96408.51,537953.54,2160429.1,2635.14
97414.36,538016.61,2160494.4,2635.26
98418.68,538068.48,2160543.26,2635.36
99420.65,538120.87,2160598.46,2635.47
100422.42,538178.26,2160652.4,2635.58
101425.54,538230.11,2160701.46,2635.67
102428.32,538288.3,2160762.33,2635.79
103432.4,538339.51,2160811.11,2635.89
104435.31,538397.8,2160872.37,2636.01
105438.44,538448.61,2160921.0,2636.1
106441.78,538506.08,2160981.06,2636.22
107445.08,538556.92,2161029.62,2636.31
108450.54,538615.15,2161090.75,2636.43
109453.26,538666.79,2161140.44,2636.53
110456.58,538725.11,2161200.99,2636.65
111459.25,538776.69,2161250.17,2636.74
112462.24,538834.75,2161311.03,2636.86
113467.26,538886.24,2161359.56,2636.96
114471.29,538944.74,2161420.24,2637.07
115475.28,538996.34,2161469.36,2637.17
116479.56,539054.49,2161530.29,2637.29
117482.89,539106.11,2161579.41,2637.39
118486.94,539164.78,2161639.95,2637.5
119491.98,539216.39,2161689.72,2637.6
120498.36,539257.88,2161732.29,2637.69
121502.03,539261.51,2161734.8,2637.69
122506.69,539271.86,2161749.26,2637.72
123511.25,539277.25,2161752.21,2637.72
124515.07,539289.0,2161771.89,2637.75
125518.58,539292.21,2161774.14,2637.76
126522.05,539302.19,2161788.4,2637.78
127527.29,539305.5,2161790.65,2637.79
128532.75,539314.8,2161804.3,2637.81
129536.74,539317.43,2161806.13,2637.82
130539.84,539327.65,2161820.4,2637.84
131543.76,539331.09,2161822.79,2637.84
132547.24,539341.25,2161836.99,2637.87
133551.58,539344.59,2161839.38,2637.87
