time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,89760/cpu,89760/rss
1003.73,11161675,10936151,16370460,8284336,5618,110044,33517,68028,59614,577912,3016,65208,20859,126688,605,53816
2009.6,11162274,10936742,16370460,8287516,5618,110044,33517,68028,59617,577912,3016,65208,20860,126688,606,53816
3014.24,11162872,10937324,16370460,8285740,5618,110044,33519,68028,59620,577912,3016,65208,20861,126688,606,53816
4018.57,11163468,10937910,16370460,8285488,5618,110044,33522,68156,59623,577912,3017,65208,20862,126688,606,53816
5023.42,11164062,10938487,16370460,8281708,5619,110044,33524,68284,59629,577912,3017,65208,20864,126688,606,53816
6027.4,11164660,10939075,16370460,8281708,5620,110044,33525,68284,59631,577912,3017,65208,20865,126688,606,53816
7031.58,11165257,10939651,16370460,8293844,5620,110044,33528,68284,59634,577912,3018,65208,20866,126688,606,53816
8034.12,11165853,10940236,16370460,8293844,5620,110044,33530,68412,59638,577912,3018,65208,20867,126688,607,53816
9037.24,11166450,10940817,16370460,8290316,5620,110044,33532,68412,59641,577912,3018,65208,20868,126688,607,53816
10040.05,11167046,10941406,16370460,8305120,5620,110044,33533,68412,59646,577912,3018,65208,20869,126688,607,53816
11045.74,11167644,10941996,16370460,8304140,5621,110044,33534,68412,59649,577912,3018,65208,20872,126688,607,53816
12050.2,11168243,10942582,16370460,8311364,5622,110044,33535,68412,59652,577912,3018,65208,20873,126688,607,53816
13055.87,11168842,10943169,16370460,8310136,5622,110044,33537,68540,59655,577912,3018,65208,20874,126688,607,53816
14059.29,11169436,10943751,16370460,8309988,5622,110044,33538,68540,59659,577912,3018,65208,20874,126688,607,53816
15063.39,11170032,10944335,16370460,8309008,5622,110044,33541,68668,59664,577912,3019,65208,20876,126688,607,53816
16067.75,11170628,10944915,16370460,8294896,5622,110044,33544,70204,59667,577912,3019,65208,20878,126688,607,53816
17073.05,11171226,10945500,16370460,8288820,5622,110044,33547,70332,59671,577912,3019,65208,20879,126688,607,53816
18078.09,11171823,10946081,16370460,8284312,5623,110044,33549,70020,59675,577912,3019,65208,20880,126688,607,53816
19088.57,11172424,10946670,16370460,8283840,5623,110044,33551,70020,59678,577912,3019,65208,20881,126688,607,53816
20090.89,11173020,10947252,16370460,8287752,5624,110044,33552,70020,59682,577912,3019,65208,20883,126688,608,53816
21092.99,11173617,10947841,16370460,8287752,5625,110044,33554,70020,59684,577912,3019,65208,20883,126688,608,53816
22096.34,11174215,10948424,16370460,8287684,5625,110044,33555,70020,59687,577912,3019,65208,20884,126688,608,53816
23099.58,11174812,10949012,16370460,8287684,5626,110044,33558,70020,59690,577912,3019,65208,20886,126688,609,53816
