response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0055,0.0009,0.0000,0.0001,0.0043,0.0001,200,0.1031
0.0055,0.0007,0.0000,0.0003,0.0043,0.0001,200,0.1031
0.0059,0.0011,0.0000,0.0001,0.0044,0.0000,200,0.1028
0.0058,0.0011,0.0000,0.0002,0.0044,0.0000,200,0.1029
0.0060,0.0007,0.0000,0.0002,0.0051,0.0000,200,0.1032
0.0061,0.0008,0.0000,0.0001,0.0051,0.0000,200,0.1032
0.0061,0.0007,0.0000,0.0002,0.0051,0.0001,200,0.1033
0.0063,0.0008,0.0000,0.0002,0.0051,0.0000,200,0.1030
0.0061,0.0006,0.0000,0.0001,0.0053,0.0000,200,0.1033
0.0061,0.0007,0.0000,0.0001,0.0052,0.0000,200,0.1033
0.0045,0.0008,0.0000,0.0000,0.0034,0.0001,200,0.2025
0.0042,0.0008,0.0000,0.0000,0.0033,0.0001,200,0.2028
0.0043,0.0008,0.0000,0.0000,0.0035,0.0000,200,0.2028
0.0046,0.0010,0.0000,0.0000,0.0034,0.0001,200,0.2026
0.0046,0.0008,0.0000,0.0000,0.0037,0.0001,200,0.2028
0.0051,0.0010,0.0000,0.0000,0.0040,0.0001,200,0.2026
0.0053,0.0007,0.0000,0.0001,0.0044,0.0000,200,0.2029
0.0056,0.0007,0.0000,0.0000,0.0047,0.0000,200,0.2029
0.0058,0.0008,0.0000,0.0000,0.0049,0.0000,200,0.2029
0.0062,0.0007,0.0000,0.0000,0.0053,0.0001,200,0.2029
0.0047,0.0011,0.0000,0.0000,0.0035,0.0001,200,0.3034
0.0045,0.0010,0.0000,0.0000,0.0034,0.0001,200,0.3036
0.0048,0.0011,0.0000,0.0000,0.0034,0.0000,200,0.3033
0.0046,0.0010,0.0000,0.0000,0.0034,0.0000,200,0.3035
0.0048,0.0012,0.0000,0.0000,0.0035,0.0000,200,0.3034
0.0049,0.0011,0.0000,0.0000,0.0037,0.0000,200,0.3035
0.0058,0.0012,0.0000,0.0001,0.0044,0.0001,200,0.3033
0.0059,0.0012,0.0000,0.0000,0.0046,0.0000,200,0.3034
0.0061,0.0011,0.0000,0.0000,0.0049,0.0000,200,0.3035
0.0063,0.0012,0.0000,0.0001,0.0049,0.0000,200,0.3034
0.0033,0.0007,0.0000,0.0000,0.0024,0.0001,200,0.4031
0.0032,0.0007,0.0000,0.0000,0.0024,0.0000,200,0.4032
0.0037,0.0006,0.0000,0.0001,0.0029,0.0000,200,0.4032
0.0037,0.0007,0.0000,0.0000,0.0030,0.0000,200,0.4032
0.0039,0.0008,0.0000,0.0001,0.0031,0.0000,200,0.4031
0.0042,0.0008,0.0000,0.0000,0.0034,0.0000,200,0.4031
0.0042,0.0008,0.0000,0.0000,0.0034,0.0000,200,0.4032
0.0050,0.0009,0.0000,0.0001,0.0040,0.0000,200,0.4030
0.0049,0.0007,0.0000,0.0001,0.0040,0.0000,200,0.4031
0.0054,0.0010,0.0000,0.0001,0.0043,0.0000,200,0.4029
0.0047,0.0009,0.0000,0.0000,0.0037,0.0000,200,0.5027
0.0045,0.0006,0.0000,0.0001,0.0037,0.0001,200,0.5029
0.0046,0.0007,0.0000,0.0001,0.0038,0.0000,200,0.5028
