time,sent,received,total
4.84,512592.48,2125956.99,2576.71
1006.94,512601.86,2125966.49,2576.73
2009.4,512605.4,2125968.88,2576.73
3012.93,512615.37,2125983.15,2576.76
4016.44,512618.78,2125985.53,2576.76
5020.66,512628.78,2125999.8,2576.79
6025.29,512632.17,2126002.25,2576.79
7028.36,512642.22,2126016.38,2576.81
8032.35,512645.65,2126018.9,2576.82
9035.3,512655.69,2126033.03,2576.84
10038.78,512661.52,2126035.2,2576.85
11043.88,512671.1,2126049.33,2576.88
12047.9,512674.31,2126051.72,2576.88
13051.52,512684.09,2126065.78,2576.9
14054.05,512687.62,2126068.17,2576.91
15057.7,512696.94,2126081.82,2576.93
16060.17,512699.54,2126083.65,2576.94
17064.22,512703.02,2126086.17,2576.94
18067.32,512712.48,2126100.16,2576.96
19070.87,512715.86,2126102.41,2576.97
20075.56,512725.72,2126116.61,2576.99
21078.91,512729.0,2126118.86,2577.0
22083.32,512738.67,2126132.93,2577.02
23088.63,512741.84,2126135.43,2577.03
24092.82,512751.65,2126149.63,2577.05
25097.42,512754.96,2126152.07,2577.06
26103.04,512764.52,2126166.26,2577.08
27108.41,512767.79,2126168.57,2577.09
28112.81,512777.73,2126182.77,2577.11
29118.64,512781.2,2126185.15,2577.12
30122.87,512799.26,2126204.38,2577.15
31126.42,512849.05,2126253.43,2577.25
32129.35,512905.68,2126314.11,2577.36
33133.17,512954.94,2126362.04,2577.46
34135.56,513010.86,2126421.78,2577.57
35138.54,513060.72,2126470.19,2577.67
36141.57,513116.85,2126530.87,2577.78
37145.75,513166.64,2126579.15,2577.88
38149.6,513222.84,2126639.5,2577.99
39153.37,513272.5,2126688.11,2578.09
40157.42,513328.96,2126748.72,2578.2
41162.71,513378.82,2126797.0,2578.3
42166.53,513435.34,2126857.42,2578.41
43171.16,513485.03,2126906.28,2578.51
44175.2,513541.09,2126966.55,2578.62
45179.27,513591.01,2127015.29,2578.72
46183.22,513656.98,2127080.09,2578.84
47186.54,513706.47,2127129.21,2578.94
48189.96,513762.98,2127189.5,2579.05
49193.84,513812.77,2127238.62,2579.15
50197.81,513869.3,2127299.62,2579.27
51202.23,513918.93,2127348.41,2579.36
52206.46,513975.23,2127408.44,2579.48
53210.43,514024.86,2127457.75,2579.57
54216.8,514085.31,2127523.16,2579.7
55219.5,514135.01,2127572.47,2579.79
56221.61,514191.37,2127632.83,2579.91
57224.0,514240.9,2127682.59,2580.0
58226.4,514296.69,2127743.12,2580.12
59228.51,514346.67,2127792.69,2580.21
60232.02,514396.34,2127842.26,2580.31
61234.46,514465.13,2127908.4,2580.44
62238.49,514514.56,2127957.39,2580.54
63240.52,514571.17,2128018.13,2580.65
64243.43,514620.42,2128066.98,2580.75
65247.44,514676.66,2128128.5,2580.86
66251.12,514726.08,2128177.16,2580.96
67254.8,514782.56,2128237.84,2581.07
68259.29,514832.15,2128286.83,2581.17
69265.54,514888.52,2128347.5,2581.29
70270.17,514938.14,2128397.07,2581.38
71273.56,514994.23,2128457.55,2581.5
72277.62,515043.99,2128506.6,2581.59
73283.16,515100.31,2128567.28,2581.71
74287.29,515149.76,2128616.45,2581.8
75291.9,515205.77,2128677.17,2581.92
76295.69,515256.17,2128726.1,2582.01
77300.34,515312.46,2128786.65,2582.13
78304.75,515362.16,2128836.02,2582.22
79309.24,515418.5,2128896.7,2582.34
80314.93,515471.16,2128949.45,2582.44
81317.6,515528.33,2129009.84,2582.56
82320.13,515578.16,2129058.57,2582.65
83322.48,515634.42,2129118.61,2582.77
84324.58,515684.25,2129167.27,2582.86
85326.88,515740.72,2129227.69,2582.98
86329.19,515790.24,2129276.54,2583.07
87331.51,515849.93,2129341.72,2583.19
88335.81,515900.05,2129391.22,2583.29
89338.61,515956.28,2129452.14,2583.41
90342.13,516005.82,2129501.06,2583.5
91346.31,516062.95,2129562.0,2583.62
92350.15,516112.63,2129610.6,2583.71
93354.24,516169.02,2129671.08,2583.83
94358.46,516218.82,2129719.3,2583.92
95362.45,516275.24,2129780.95,2584.04
96365.97,516324.97,2129829.74,2584.13
97370.39,516381.41,2129890.99,2584.25
98374.8,516431.24,2129940.3,2584.35
99377.73,516487.5,2130001.62,2584.46
100380.91,516537.14,2130050.15,2584.56
101384.44,516587.22,2130099.77,2584.65
102389.78,516643.14,2130160.24,2584.77
103394.13,516692.9,2130209.23,2584.87
104399.19,516749.16,2130270.11,2584.98
105403.36,516798.86,2130319.42,2585.08
106408.65,516855.21,2130380.42,2585.19
107415.81,516907.72,2130433.05,2585.29
108419.88,516966.01,2130494.62,2585.41
109423.02,517015.65,2130543.21,2585.51
110425.8,517072.04,2130604.08,2585.62
111428.15,517121.75,2130652.88,2585.72
112430.35,517178.67,2130713.62,2585.83
113433.32,517228.56,2130762.54,2585.93
114436.58,517285.0,2130823.35,2586.04
115439.77,517334.64,2130872.6,2586.14
116442.27,517391.07,2130933.54,2586.25
117445.87,517440.73,2130982.0,2586.35
118449.57,517496.92,2131042.09,2586.46
119452.61,517546.37,2131090.87,2586.56
120456.47,517587.26,2131133.05,2586.64
121466.91,517590.53,2131135.36,2586.65
122472.88,517600.4,2131149.63,2586.67
123476.99,517603.68,2131152.0,2586.67
124480.58,517613.98,2131166.33,2586.7
125486.29,517617.29,2131168.85,2586.71
126489.8,517627.2,2131183.05,2586.73
127494.71,517630.63,2131185.44,2586.73
128498.61,517640.82,2131199.64,2586.76
129502.37,517644.26,2131202.09,2586.76
130507.38,517654.16,2131216.16,2586.79
131511.79,517657.32,2131218.47,2586.79
132516.64,517667.49,2131232.87,2586.82
133521.9,517670.89,2131235.25,2586.82
134526.13,517681.29,2131249.72,2586.85
135530.81,517684.7,2131252.17,2586.85
136534.82,517694.86,2131266.3,2586.88
137539.37,517698.4,2131268.94,2586.88
138543.65,517707.66,2131282.65,2586.9
139548.56,517710.94,2131284.97,2586.91
140552.13,517721.01,2131299.17,2586.93
141556.61,517724.55,2131301.81,2586.94
142560.52,517733.96,2131315.67,2586.96
143564.34,517737.27,2131318.05,2586.97
144568.62,517741.13,2131320.9,2586.97
145571.54,517750.8,2131334.83,2587.0
146575.43,517754.3,2131337.22,2587.0
147579.98,517764.53,2131351.55,2587.03
148583.32,517767.83,2131354.02,2587.03
149587.35,517777.75,2131368.21,2587.06
150591.6,517781.34,2131370.92,2587.06
151596.15,517791.47,2131385.32,2587.09
152600.93,517794.69,2131387.77,2587.09
153606.75,517804.88,2131401.97,2587.12
154613.74,517808.59,2131404.68,2587.12
155618.24,517818.59,2131418.87,2587.15
156623.0,517821.8,2131421.12,2587.15
157629.78,517831.47,2131435.11,2587.17
158634.06,517835.07,2131437.5,2587.18
159638.36,517845.3,2131451.83,2587.2
160643.29,517848.6,2131454.35,2587.21
161647.22,517858.68,2131468.68,2587.23
162651.05,517862.16,2131471.13,2587.24
163655.84,517872.11,2131485.4,2587.26
164659.77,517875.4,2131487.71,2587.27
165662.06,517885.46,2131501.77,2587.29
166666.81,517888.76,2131504.22,2587.3
167669.91,517898.75,2131518.29,2587.32
168673.91,517902.25,2131520.93,2587.33
169678.03,517912.58,2131535.33,2587.35
170682.17,517915.86,2131537.78,2587.36
171684.86,517926.24,2131551.97,2587.38
172689.96,517929.81,2131554.43,2587.39
173693.97,517939.51,2131568.35,2587.41
174698.65,517942.85,2131570.6,2587.42
175703.05,517952.84,2131584.99,2587.44
176706.27,517956.06,2131587.23,2587.44
177715.63,517968.07,2131602.63,2587.47
178716.94,517969.55,2131603.55,2587.47
179720.83,517978.74,2131617.45,2587.5
180725.04,517982.08,2131619.96,2587.5
181728.98,517992.31,2131634.17,2587.53
182732.5,517995.85,2131636.68,2587.53
183736.63,518005.56,2131650.75,2587.55
184740.41,518008.94,2131653.12,2587.56
185745.7,518019.3,2131667.59,2587.58
186748.94,518022.72,2131669.83,2587.59
187753.38,518032.21,2131684.04,2587.61
188755.25,518035.49,2131686.35,2587.62
189760.43,518039.09,2131688.93,2587.62
190764.56,518048.93,2131703.13,2587.65
191769.26,518052.2,2131705.51,2587.65
192773.22,518062.28,2131719.71,2587.68
193777.3,518065.62,2131722.15,2587.68
194783.21,518075.8,2131736.55,2587.71
195786.5,518079.22,2131738.8,2587.71
196789.31,518089.77,2131753.0,2587.74
197792.76,518093.12,2131755.45,2587.74
198796.33,518103.16,2131769.58,2587.77
199800.26,518106.54,2131771.97,2587.77
200805.84,518116.51,2131786.43,2587.79
201810.3,518119.98,2131788.95,2587.8
202814.94,518129.71,2131803.27,2587.82
203818.7,518132.89,2131805.52,2587.83
204822.23,518142.86,2131819.72,2587.85
205826.28,518146.3,2131822.17,2587.86
206832.92,518155.93,2131836.44,2587.88
