time,sent,received,total
9.6,519650.36,2134209.95,2591.66
1013.67,519658.28,2134213.04,2591.67
2014.43,519660.89,2134214.88,2591.67
3015.35,519668.61,2134227.47,2591.7
4019.52,519671.71,2134229.58,2591.7
5024.0,519681.76,2134243.85,2591.72
6028.61,519685.17,2134246.36,2591.73
7032.69,519695.22,2134260.57,2591.75
8036.87,519697.83,2134262.4,2591.76
9042.24,519707.18,2134276.25,2591.78
10047.14,519713.54,2134278.7,2591.79
11052.0,519723.3,2134292.76,2591.81
12056.96,519726.95,2134295.28,2591.82
13062.8,519737.01,2134309.48,2591.84
14066.82,519740.59,2134311.87,2591.85
15071.69,519750.36,2134325.93,2591.87
16075.59,519753.85,2134328.51,2591.88
17079.79,519764.07,2134342.78,2591.9
18084.83,519767.49,2134345.17,2591.91
19088.5,519777.38,2134359.37,2591.93
20093.72,519781.03,2134361.76,2591.94
21097.18,519791.2,2134376.03,2591.96
22101.22,519794.44,2134378.41,2591.96
23104.95,519804.5,2134392.62,2591.99
24108.53,519807.75,2134395.0,2591.99
25112.47,519817.55,2134409.13,2592.02
26116.74,519820.62,2134411.24,2592.02
27121.13,519830.71,2134425.57,2592.05
28126.15,519834.1,2134428.02,2592.05
29131.23,519844.12,2134442.42,2592.08
30135.09,519855.64,2134449.62,2592.09
31137.92,519913.75,2134509.45,2592.21
32141.66,519965.52,2134557.99,2592.31
33145.42,520023.69,2134618.48,2592.42
34149.64,520075.48,2134666.76,2592.52
35153.95,520133.64,2134727.11,2592.64
36157.36,520185.27,2134775.58,2592.73
37161.18,520243.4,2134835.8,2592.85
38165.7,520295.16,2134884.15,2592.95
39171.26,520353.25,2134944.18,2593.06
40176.51,520404.82,2134992.19,2593.16
41180.61,520463.12,2135052.1,2593.28
42185.15,520514.87,2135100.18,2593.37
43189.0,520573.47,2135160.41,2593.49
44192.93,520624.86,2135208.89,2593.59
45196.79,520682.8,2135269.18,2593.7
46199.05,520743.96,2135321.1,2593.81
47203.23,520795.65,2135369.96,2593.91
48207.93,520853.93,2135430.58,2594.03
49213.79,520909.58,2135483.59,2594.13
50216.02,520968.23,2135544.4,2594.25
51218.24,521019.89,2135593.07,2594.35
52221.01,521078.03,2135653.81,2594.46
53223.51,521129.79,2135702.09,2594.56
54226.33,521187.79,2135762.7,2594.68
55229.02,521239.41,2135811.5,2594.78
56232.07,521297.52,2135871.92,2594.89
57234.52,521349.12,2135920.84,2594.99
58238.06,521407.27,2135981.52,2595.11
59241.94,521458.54,2136030.58,2595.2
60244.6,521516.18,2136091.24,2595.32
61250.29,521579.82,2136145.04,2595.43
62253.74,521638.52,2136206.69,2595.55
63255.68,521690.16,2136255.74,2595.65
64261.15,521748.21,2136316.28,2595.77
65265.37,521799.43,2136365.26,2595.86
66269.66,521857.87,2136426.2,2595.98
67273.82,521909.37,2136474.99,2596.08
68277.14,521967.74,2136535.8,2596.19
69282.5,522019.08,2136584.65,2596.29
70285.06,522077.65,2136644.75,2596.41
71289.34,522129.58,2136693.35,2596.51
72293.55,522187.85,2136753.88,2596.62
73297.93,522239.32,2136802.74,2596.72
74302.07,522297.61,2136863.61,2596.84
75306.95,522349.34,2136912.15,2596.93
76313.09,522412.62,2136977.83,2597.06
77315.84,522464.37,2137027.46,2597.16
78318.47,522522.96,2137088.14,2597.28
79320.71,522574.7,2137136.68,2597.37
80323.01,522632.88,2137197.09,2597.49
81325.98,522684.48,2137245.95,2597.59
82328.64,522742.97,2137306.56,2597.7
83332.16,522794.47,2137354.84,2597.8
84334.75,522852.82,2137415.07,2597.92
85337.65,522904.36,2137464.19,2598.02
86341.49,522962.47,2137525.12,2598.13
87344.7,523013.76,2137573.98,2598.23
88348.03,523071.76,2137634.53,2598.35
89349.9,523123.36,2137683.57,2598.44
90353.81,523175.02,2137732.62,2598.54
91357.86,523233.69,2137793.88,2598.66
92361.17,523285.27,2137842.73,2598.76
93366.04,523343.36,2137902.76,2598.87
94370.17,523395.03,2137951.49,2598.97
95373.41,523453.29,2138012.17,2599.09
96377.65,523505.15,2138061.22,2599.19
97382.14,523563.41,2138121.51,2599.3
98386.05,523614.51,2138170.61,2599.4
99389.79,523672.36,2138231.22,2599.51
100393.9,523723.93,2138280.72,2599.61
101397.16,523781.58,2138341.26,2599.73
102400.52,523833.16,2138389.4,2599.83
103405.08,523891.25,2138450.08,2599.94
104409.91,523942.95,2138499.1,2600.04
105414.7,524005.83,2138563.79,2600.17
106417.84,524057.51,2138613.26,2600.26
107420.74,524118.98,2138679.03,2600.39
108425.62,524170.74,2138728.09,2600.49
109428.69,524229.2,2138788.44,2600.6
110431.6,524280.73,2138836.91,2600.7
111433.97,524339.01,2138897.72,2600.82
112437.34,524390.68,2138946.39,2600.92
113440.49,524448.75,2139006.47,2601.03
114443.87,524500.41,2139054.76,2601.13
