time,total,idle,mem_total,mem_free,3046/cpu,3046/rss,977/cpu,977/rss
1003.95,130277,111801,3887864,1645576,275,55312,9641,778636
2010.48,130673,111920,3887864,1611532,275,55312,9720,778764
3011.59,131069,112119,3887864,1586316,275,55312,9761,778828
4013.61,131466,112496,3887864,1588944,275,55312,9773,778828
5018.2,131866,112675,3887864,1598784,277,55312,9960,782360
6019.23,132263,113027,3887864,1598776,277,55312,10004,784076
7020.49,132660,113407,3887864,1588536,277,55312,10013,785684
8021.46,133058,113782,3887864,1584040,277,55312,10019,785688
9022.36,133456,114168,3887864,1584732,277,55312,10028,785748
10024.65,133854,114522,3887864,1570808,277,55312,10043,785780
11026.56,134248,114853,3887864,1570436,278,55312,10070,785800
12027.77,134645,115197,3887864,1590520,278,55312,10083,785812
13028.71,135036,115540,3887864,1594660,278,55312,10096,785816
14029.64,135431,115902,3887864,1581540,278,55312,10105,785816
15030.56,135828,116289,3887864,1589864,278,55312,10115,785908
16031.47,136225,116650,3887864,1583648,278,55312,10124,785908
17032.93,136620,117025,3887864,1583788,279,55312,10143,785912
18036.25,137016,117394,3887864,1583408,279,55312,10154,785912
19037.41,137415,117760,3887864,1592396,279,55312,10165,785916
20038.32,137811,118146,3887864,1592476,279,55312,10175,785916
21039.29,138205,118503,3887864,1591392,279,55312,10187,785916
22040.19,138600,118890,3887864,1592056,279,55312,10196,785912
23041.18,138998,119227,3887864,1598088,280,55312,10211,785916
24042.95,139391,119590,3887864,1597984,280,55312,10238,785660
25043.97,139784,119937,3887864,1599800,281,55312,10253,785664
26044.97,140177,120322,3887864,1600132,281,55312,10261,785664
27045.96,140576,120683,3887864,1603376,281,55312,10273,785664
28046.88,140974,121067,3887864,1602248,281,55312,10282,785668
29048.14,141368,121449,3887864,1595056,281,55312,10292,787436
30050.78,141765,121811,3887864,1584396,281,55312,10305,786040
31052.51,142158,122114,3887864,1582576,282,55312,10330,786044
32053.63,142552,122420,3887864,1591964,282,55312,10339,786044
33054.64,142946,122761,3887864,1592944,282,55312,10348,786044
34055.63,143335,123060,3887864,1597324,283,55312,10358,786044
35056.57,143730,123406,3887864,1597072,283,55316,10366,786044
36057.55,144120,123724,3887864,1595444,283,55316,10375,786044
37059.1,144512,124038,3887864,1595444,283,55320,10388,786044
38061.08,144906,124332,3887864,1583272,283,55320,10399,786044
39062.17,145302,124670,3887864,1596880,283,55320,10410,786044
40063.1,145693,125014,3887864,1596632,284,55320,10419,786044
41064.1,146085,125319,3887864,1593992,284,55320,10435,786044
42065.14,146481,125665,3887864,1593756,284,55320,10442,786044
43066.95,146875,125959,3887864,1594804,284,55320,10458,786048
44068.07,147263,126268,3887864,1596412,284,55320,10468,786048
45069.12,147656,126586,3887864,1597052,285,55320,10477,786052
46070.15,148046,126750,3887864,1582204,285,55340,10566,783864
47073.46,148434,126856,3887864,1516156,285,55340,10618,784148
48075.73,148832,126864,3887864,1479168,286,55340,10654,783564
49077.02,149230,126899,3887864,1440276,287,55340,10670,783592
50078.04,149623,127217,3887864,1429720,287,55340,10684,783644
51079.22,150020,127561,3887864,1429496,287,55340,10693,783712
52080.24,150411,127896,3887864,1428992,287,55340,10703,783732
53081.3,150807,128259,3887864,1428992,287,55340,10714,783736
54082.33,151205,128556,3887864,1419032,287,55340,10730,783916
55083.34,151603,128927,3887864,1421640,288,55340,10737,784004
56084.32,151995,129276,3887864,1424736,288,55340,10747,784020
57085.77,152388,129650,3887864,1426320,288,55340,10755,784020
58086.86,152781,130008,3887864,1428884,288,55340,10763,784032
59088.46,153174,130342,3887864,1443660,288,55348,10779,784064
60089.61,153568,130670,3887864,1444364,288,55348,10795,784080
61091.58,153959,130764,3887864,1445428,289,55348,10950,784172
62093.07,154339,130881,3887864,1431240,289,55348,11010,764984
63098.59,154736,130925,3887864,1373428,289,55364,11053,763532
64100.47,155136,130928,3887864,1339020,290,55364,11092,763520
65101.68,155531,131109,3887864,1317608,290,55368,11107,763524
66102.72,155924,131416,3887864,1321768,290,55368,11119,763524
67103.77,156319,131756,3887864,1322544,290,55376,11128,763524
68104.83,156713,132067,3887864,1313944,291,55376,11137,763524
69106.52,157111,132405,3887864,1315320,291,55388,11147,763524
70107.52,157500,132697,3887864,1323268,291,55388,11162,763524
71108.79,157893,133025,3887864,1323520,291,55388,11176,763552
72109.88,158282,133326,3887864,1313884,291,55400,11189,763580
73111.33,158678,133649,3887864,1313988,292,55456,11203,765072
74113.77,159071,133986,3887864,1314600,292,55456,11211,765072
75115.69,159461,134266,3887864,1319140,292,55468,11225,765088
76117.25,159851,134573,3887864,1319756,292,55468,11245,765124
77118.29,160241,134806,3887864,1321172,293,55504,11298,763228
78120.41,160633,135077,3887864,1321616,293,55576,11341,763308
79123.34,161031,135385,3887864,1324556,293,55592,11353,763348
80125.42,161419,135719,3887864,1325100,293,55596,11364,763364
81126.52,161809,136006,3887864,1319600,294,55660,11382,763368
82127.58,162203,136346,3887864,1321588,294,55660,11390,763380
83129.16,162601,136662,3887864,1314744,294,55664,11403,763388
84130.27,162991,136973,3887864,1334120,295,55664,11420,763428
85131.36,163382,137294,3887864,1335248,295,55708,11431,763496
86133.5,163777,137588,3887864,1338848,295,55708,11444,763508
87136.67,164167,137894,3887864,1337840,295,55748,11454,763508
88137.86,164559,138181,3887864,1340820,295,55748,11470,763528
89138.87,164949,138524,3887864,1339764,296,55752,11478,763540
90139.88,165340,138848,3887864,1339264,296,55764,11494,763560
91140.95,165730,139112,3887864,1336560,297,55816,11564,763388
92142.0,166125,139445,3887864,1323748,297,55816,11573,763416
93143.9,166514,139775,3887864,1324432,297,55832,11588,763416
94146.08,166910,140109,3887864,1325748,297,55832,11599,763416
95147.24,167298,140414,3887864,1327124,297,55852,11612,763448
96148.38,167688,140775,3887864,1327012,297,55852,11619,763448
97149.49,168085,141110,3887864,1335424,298,55860,11627,763452
98150.65,168477,141466,3887864,1333660,298,55860,11639,765172
99151.69,168869,141795,3887864,1336144,298,55888,11654,765164
100153.47,169257,142125,3887864,1335892,298,55896,11675,765164
101154.59,169652,142413,3887864,1333924,299,55912,11705,765164
102156.32,170045,142726,3887864,1332932,300,55552,11739,763436
103157.62,170430,143038,3887864,1326976,300,55552,11759,763388
104158.7,170823,143379,3887864,1322048,301,55552,11769,763388
105159.7,171215,143737,3887864,1323492,301,55552,11776,763528
106161.39,171605,144042,3887864,1324664,301,55552,11791,763572
107163.2,171995,144373,3887864,1325568,302,55552,11806,763576
108164.32,172385,144686,3887864,1324292,302,55552,11817,763588
109165.37,172778,145049,3887864,1324560,302,55556,11825,763600
110166.38,173171,145377,3887864,1333904,302,55556,11839,763656
111167.42,173561,145732,3887864,1333652,302,55556,11849,763676
112168.48,173955,146067,3887864,1323692,302,55556,11860,763680
113169.84,174344,146398,3887864,1336096,302,55556,11875,763712
114171.47,174736,146726,3887864,1335844,302,55556,11896,763724
115172.56,175129,147052,3887864,1334436,303,55568,11908,763904
116173.66,175521,147397,3887864,1336268,303,55568,11917,763956
117174.66,175913,147741,3887864,1329008,303,55568,11928,763964
118175.7,176306,148104,3887864,1328916,303,55568,11937,763980
119176.82,176702,148444,3887864,1314048,303,55604,11947,763984
120178.64,177095,148786,3887864,1314664,303,55604,11960,763992
121179.77,177479,149094,3887864,1314696,304,55604,11991,764152
122180.87,177877,149482,3887864,1321756,304,55604,11997,764168
123182.02,178273,149857,3887864,1326428,304,55608,12009,765260
124183.09,178667,150220,3887864,1325584,304,55608,12019,765260
125184.09,179063,150607,3887864,1325584,304,55608,12026,765260
126186.14,179457,150943,3887864,1331816,305,55608,12039,765260
127188.3,179851,151316,3887864,1331816,306,55612,12054,765260
128189.45,180248,151664,3887864,1327660,306,55612,12066,765272
129190.44,180647,152049,3887864,1327412,306,55616,12075,765284
130191.43,181042,152408,3887864,1327260,306,55620,12086,765292
131192.44,181437,152782,3887864,1326924,306,55620,12101,766348
132193.65,181835,153136,3887864,1313264,307,55620,12112,767452
133195.69,182226,153493,3887864,1313648,307,55620,12132,770172
134197.82,182619,153865,3887864,1315064,307,55620,12145,771212
135198.96,183013,154220,3887864,1306876,307,55636,12155,772580
136199.99,183406,154509,3887864,1318348,307,55636,12238,774160
137201.12,183803,154869,3887864,1314616,308,55644,12248,774268
138202.17,184198,155259,3887864,1315648,308,55644,12254,774300
139203.2,184590,155617,3887864,1305820,308,55648,12267,774408
140205.0,184987,155987,3887864,1306444,308,55648,12285,774476
141206.11,185379,156326,3887864,1309036,309,55660,12303,774528
142207.26,185776,156713,3887864,1309772,309,55660,12311,774564
143209.62,186173,157078,3887864,1294456,309,55664,12322,774600
144211.81,186568,157441,3887864,1302256,309,55672,12341,774632
145212.9,186968,157830,3887864,1304580,309,55680,12347,774636
146214.49,187364,158176,3887864,1313352,309,55680,12361,774640
147215.62,187756,158546,3887864,1308720,310,55688,12369,774640
148216.71,188150,158897,3887864,1315196,310,55688,12382,774640
149217.85,188548,159284,3887864,1315988,310,55688,12390,774640
150218.89,188951,159639,3887864,1321548,310,55688,12402,774644
151219.99,189346,159977,3887864,1322280,310,55704,12446,772844
152221.29,189737,160276,3887864,1327552,311,55724,12482,773016
153222.79,190131,160659,3887864,1326892,311,55724,12490,773036
154226.22,190527,161022,3887864,1313536,311,55736,12501,773124
155227.34,190923,161400,3887864,1324448,311,55740,12510,773132
156228.35,191319,161784,3887864,1324452,312,55744,12518,773184
157230.51,191713,162119,3887864,1319348,312,55744,12530,773268
158232.98,192105,162491,3887864,1319348,312,55744,12546,773276
159234.47,192499,162836,3887864,1303124,312,55744,12564,773324
160235.55,192891,163219,3887864,1303292,312,55752,12574,773344
161236.54,193287,163572,3887864,1295544,312,55752,12586,773356
162237.64,193687,163950,3887864,1296060,312,55752,12600,773168
163238.69,194081,164298,3887864,1301900,313,55756,12614,773172
164240.76,194483,164668,3887864,1303964,313,55756,12629,773172
165242.28,194882,165037,3887864,1299320,313,55772,12639,773172
166243.3,195278,165399,3887864,1308140,314,55772,12650,773172
167244.33,195673,165771,3887864,1319372,314,55772,12657,773172
168245.36,196072,166130,3887864,1305540,314,55772,12668,773172
169246.47,196470,166517,3887864,1306464,314,55772,12676,773268
170248.38,196867,166875,3887864,1306928,314,55784,12688,773180
171250.52,197261,167241,3887864,1307444,314,55784,12706,773180
172251.66,197654,167585,3887864,1293096,315,55800,12719,773180
173252.74,198050,167971,3887864,1293340,315,55800,12727,773180
174253.76,198447,168317,3887864,1301116,315,55804,12747,773180
175254.75,198842,168703,3887864,1303020,315,55812,12753,773180
176255.93,199238,169084,3887864,1304472,315,55820,12763,773176
177257.01,199629,169421,3887864,1315800,316,55820,12773,773180
178258.02,200025,169804,3887864,1315696,317,55820,12781,773180
179259.05,200417,170165,3887864,1311664,317,55820,12791,773180
180260.08,200816,170550,3887864,1312508,317,55828,12802,773100
