time,sent,received,total
4.78,1046.57,3346.07,4.29
1006.11,1049.92,3375.14,4.32
2006.74,1050.08,3375.27,4.32
3007.35,1050.73,3387.6,4.33
4007.94,1050.85,3387.79,4.33
5008.54,1056.09,3390.31,4.34
6009.53,1056.22,3391.68,4.34
7010.89,1058.41,3393.41,4.35
8012.04,1058.41,3393.47,4.35
9013.19,1059.51,3394.39,4.35
10014.34,1060.07,3394.87,4.35
11015.61,1060.07,3394.93,4.35
12016.79,1060.39,3395.15,4.35
13020.31,1061.76,3396.52,4.35
14020.98,1063.11,3396.72,4.35
15021.58,1063.11,3396.78,4.35
16022.19,1064.48,3398.66,4.36
17022.82,1064.64,3398.79,4.36
18023.88,1065.14,3407.44,4.37
19025.08,1065.26,3407.63,4.37
20026.18,1066.22,3408.56,4.37
21027.39,1067.68,3409.98,4.37
22028.49,1068.14,3410.97,4.37
23029.6,1069.77,3413.68,4.38
24030.32,1070.15,3415.06,4.38
25030.97,1070.22,3415.27,4.38
26031.58,1070.6,3415.82,4.38
27032.23,1070.76,3415.96,4.38
28032.86,1072.12,3417.46,4.38
29033.78,1073.47,3417.74,4.39
30035.05,1074.5,3418.66,4.39
31036.17,1089.23,3429.47,4.41
32037.16,1226.55,3530.12,4.64
33038.14,1363.98,3629.44,4.88
34038.88,1499.9,3728.33,5.11
35039.49,1638.51,3828.2,5.34
36040.11,1775.94,3928.49,5.57
37040.73,1912.14,4027.61,5.8
38041.35,2048.4,4126.5,6.03
39042.17,2185.0,4225.76,6.26
40043.1,2323.48,4327.05,6.49
41044.08,2461.84,4430.51,6.73
42045.04,2599.2,4531.7,6.96
43046.02,2737.46,4632.8,7.2
44046.77,2877.06,4733.97,7.43
45047.39,3012.53,4833.46,7.66
46048.01,3151.71,4951.94,7.91
47048.63,3296.69,5137.17,8.24
48049.41,3441.12,5269.7,8.51
49050.43,3590.53,5397.21,8.78
50051.81,3735.94,5564.32,9.08
51052.63,4036.65,14133.65,17.74
52053.59,4348.0,26463.29,30.09
53054.48,4646.3,38704.79,42.33
54055.62,4922.33,50325.24,53.95
55057.05,5232.44,62162.68,65.82
56057.77,5516.49,74693.76,78.33
57058.47,5790.9,88006.22,91.6
58059.26,6058.6,100226.8,103.79
59059.96,6289.85,113456.67,116.94
60061.55,6534.2,125903.55,129.33
61062.47,6678.81,126011.04,129.58
62063.62,6826.95,126214.46,129.92
63064.27,6962.9,126313.35,130.15
64064.9,7102.55,126439.95,130.41
66518.43,7444.44,126687.06,130.99
67520.62,7589.55,126804.98,131.24
68521.49,7723.99,126903.83,131.47
69522.25,7861.69,127005.6,131.71
70523.12,7997.57,127105.93,131.94
71523.94,8134.02,127206.02,132.17
72525.36,8269.48,127305.42,132.4
73526.06,8406.23,127405.28,132.63
74526.93,8541.88,127505.04,132.86
75527.65,8673.72,127602.11,133.08
76528.33,8815.26,127705.36,133.32
77531.25,8962.13,127864.68,133.62
78532.69,9143.24,129207.19,135.11
79533.74,9277.55,129307.43,135.34
80543.35,9415.8,129409.17,135.57
81544.12,9551.42,129509.72,135.8
82544.76,9688.19,129608.75,136.03
83545.38,9824.42,129709.26,136.26
84602.31,9967.04,129812.08,136.5
85603.07,10103.38,129911.91,136.73
86603.74,10241.03,130011.24,136.96
87604.61,10372.8,130109.17,137.19
88605.82,10507.21,130204.49,137.41
89607.06,10636.96,130300.78,137.63
90608.15,10752.5,130405.07,137.85
91609.12,10850.97,130538.76,138.08
92609.92,10953.62,130616.53,138.25
93610.6,11047.94,130687.35,138.41
96682.95,11336.63,130905.07,138.91
97684.35,11433.72,130978.19,139.07
99432.68,11604.19,131121.2,139.38
100434.69,11701.07,131194.94,139.55
101435.67,11763.48,131244.62,139.66
102436.78,11888.79,131924.57,140.44
103438.04,11993.45,132051.97,140.67
104438.98,12091.86,132124.83,140.84
105439.64,12186.03,132195.95,141.0
106440.3,12281.17,132268.16,141.16
107440.94,12375.33,132339.02,141.32
108441.6,12470.71,132410.88,141.49
109442.47,12567.99,132484.22,141.65
110443.52,12661.23,132553.59,141.81
111444.6,12749.68,132622.17,141.96
112445.54,12845.09,132694.47,142.13
113446.45,12939.08,132765.41,142.29
114447.6,13029.39,132833.75,142.44
115448.44,13121.92,132904.01,142.6
116449.12,13209.39,132970.55,142.75
117449.77,13289.74,133031.88,142.89
118450.59,13347.03,133075.84,142.99
119451.44,13432.5,133140.7,143.14
120452.45,13518.04,133205.82,143.28
121453.55,13553.66,133233.64,143.35
122454.76,13554.37,133234.47,143.35
123456.22,13554.37,133234.53,143.35
124457.38,13554.44,133234.76,143.35
125458.15,13557.56,133236.35,143.35
126458.83,13559.24,133238.03,143.36
127459.48,13563.4,133241.09,143.36
128460.14,13563.4,133241.15,143.36
129460.79,13563.47,133241.26,143.36
130461.85,13563.67,133241.56,143.36
131463.05,13563.82,133241.69,143.36
132464.29,13564.66,133242.64,143.37
133465.29,13568.22,133244.37,143.37
134466.6,13568.28,133244.64,143.37
135467.96,13568.28,133244.7,143.37
136469.16,13570.35,133247.1,143.38
137469.83,13570.35,133247.41,143.38
138470.47,13570.35,133247.46,143.38
139471.12,13570.42,133247.67,143.38
140471.76,13570.91,133248.35,143.38
141472.84,13572.86,133250.16,143.38
142474.1,13573.05,133251.03,143.38
143475.31,13574.22,133253.03,143.39
144476.45,13574.45,133253.37,143.39
145477.23,13574.58,133253.75,143.39
146477.87,13574.8,133254.07,143.39
147478.52,13574.93,133254.47,143.39
148479.22,13578.35,133256.2,143.39
149479.88,13578.86,133256.69,143.39
150480.7,13579.03,133256.84,143.39
151481.77,13579.19,133256.97,143.39
152482.6,13585.59,133306.51,143.45
153483.3,13588.6,133344.94,143.49
154483.92,13588.91,133345.13,143.49
155484.57,13591.57,133346.15,143.49
156485.28,13593.49,133347.74,143.5
157486.42,13593.81,133348.1,143.5
158487.76,13593.81,133348.16,143.5
159489.0,13593.94,133348.44,143.5
160490.26,13594.26,133349.5,143.5
161491.54,13595.88,133353.48,143.5
162492.81,13596.5,133354.56,143.51
163493.91,13600.88,133357.41,143.51
164495.0,13600.88,133357.47,143.51
165495.87,13600.94,133357.7,143.51
166496.92,13601.48,133358.28,143.51
167497.7,13602.88,133360.25,143.52
168498.32,13602.88,133360.31,143.52
169498.97,13603.21,133360.64,143.52
170499.62,13603.57,133360.93,143.52
171500.27,13605.1,133362.37,143.52
172501.24,13605.35,133363.21,143.52
173502.45,13606.38,133364.12,143.53
174503.71,13606.55,133364.4,143.53
175506.49,13606.68,133364.84,143.53
176507.74,13606.9,133365.17,143.53
177508.55,13607.22,133365.45,143.53
178509.21,13610.83,133367.45,143.53
179509.85,13610.89,133367.72,143.53
180510.51,13611.08,133368.08,143.53
181511.21,13611.37,133368.21,143.53
182512.01,13620.97,133478.52,143.65
183512.74,13638.52,133699.69,143.88
184513.36,13638.52,133699.75,143.88
185514.0,13641.2,133701.0,143.89
186514.62,13642.82,133703.65,143.89
187515.29,13645.8,133706.71,143.9
