response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0327,0.0094,0.0000,0.0001,0.0231,0.0001,200,0.1030
0.0330,0.0096,0.0000,0.0001,0.0232,0.0001,200,0.1029
0.0365,0.0098,0.0000,0.0000,0.0265,0.0001,200,0.1026
0.0385,0.0094,0.0000,0.0001,0.0289,0.0001,200,0.1029
0.0392,0.0094,0.0000,0.0002,0.0296,0.0000,200,0.1030
0.0447,0.0095,0.0000,0.0000,0.0350,0.0001,200,0.1030
0.0484,0.0096,0.0000,0.0001,0.0386,0.0001,200,0.1029
0.0511,0.0097,0.0000,0.0002,0.0411,0.0001,200,0.1026
0.0512,0.0097,0.0000,0.0000,0.0413,0.0001,200,0.1027
0.0181,0.0075,0.0000,0.0001,0.0103,0.0001,200,0.2034
0.0217,0.0077,0.0000,0.0000,0.0139,0.0001,200,0.2034
0.0219,0.0078,0.0000,0.0000,0.0140,0.0000,200,0.2033
0.0220,0.0078,0.0000,0.0002,0.0140,0.0000,200,0.2032
0.0219,0.0078,0.0000,0.0000,0.0140,0.0000,200,0.2033
0.0259,0.0077,0.0000,0.0001,0.0180,0.0000,200,0.2034
0.0259,0.0077,0.0000,0.0002,0.0181,0.0000,200,0.2034
0.0299,0.0077,0.0000,0.0001,0.0220,0.0000,200,0.2034
0.0310,0.0079,0.0000,0.0002,0.0229,0.0000,200,0.2031
0.0215,0.0086,0.0000,0.0001,0.0127,0.0001,200,0.3025
0.0214,0.0085,0.0000,0.0001,0.0127,0.0001,200,0.3026
0.0215,0.0085,0.0000,0.0000,0.0129,0.0000,200,0.3025
0.0217,0.0088,0.0000,0.0000,0.0128,0.0000,200,0.3023
0.0271,0.0086,0.0000,0.0000,0.0185,0.0000,200,0.3026
0.0273,0.0086,0.0000,0.0000,0.0185,0.0001,200,0.3026
0.0289,0.0088,0.0000,0.0000,0.0200,0.0000,200,0.3025
0.0288,0.0086,0.0000,0.0000,0.0201,0.0000,200,0.3025
0.0303,0.0088,0.0000,0.0001,0.0214,0.0001,200,0.3023
0.2848,0.0097,0.0000,0.0002,0.2747,0.0001,200,0.1025
0.0157,0.0049,0.0000,0.0000,0.0107,0.0001,200,0.3873
0.0164,0.0057,0.0000,0.0000,0.0105,0.0001,200,0.4026
0.0205,0.0057,0.0000,0.0001,0.0145,0.0001,200,0.4027
0.0218,0.0057,0.0000,0.0001,0.0160,0.0001,200,0.4027
0.0219,0.0057,0.0000,0.0000,0.0161,0.0001,200,0.4027
0.0251,0.0058,0.0000,0.0000,0.0192,0.0000,200,0.4027
0.0294,0.0059,0.0000,0.0000,0.0234,0.0001,200,0.4025
0.0292,0.0057,0.0000,0.0001,0.0233,0.0001,200,0.4027
0.0326,0.0058,0.0000,0.0001,0.0267,0.0000,200,0.4026
0.0323,0.0055,0.0000,0.0000,0.0267,0.0000,200,0.4030
0.0345,0.0058,0.0000,0.0001,0.0285,0.0000,200,0.4026
0.0212,0.0087,0.0000,0.0000,0.0124,0.0001,200,0.5025
0.0212,0.0086,0.0000,0.0002,0.0124,0.0000,200,0.5025
0.0254,0.0089,0.0000,0.0002,0.0162,0.0001,200,0.5023
0.0251,0.0086,0.0000,0.0000,0.0164,0.0000,200,0.5026
0.0260,0.0087,0.0000,0.0000,0.0172,0.0001,200,0.5026
0.0293,0.0088,0.0000,0.0001,0.0203,0.0001,200,0.5023
0.0292,0.0086,0.0000,0.0002,0.0204,0.0000,200,0.5026
0.0312,0.0088,0.0000,0.0000,0.0224,0.0001,200,0.5025
0.0344,0.0086,0.0000,0.0001,0.0256,0.0001,200,0.5026
