time,sent,received,total
5.14,96859.07,824269.34,899.54
1006.98,96881.76,824507.67,899.79
2011.5,96893.22,824526.32,899.82
3012.33,96903.13,824541.38,899.85
4013.11,96916.45,824560.38,899.88
5013.78,96923.91,824567.81,899.89
6014.89,96943.46,824867.97,900.21
7015.67,96943.85,824869.08,900.21
8016.33,96949.27,824902.76,900.25
9016.94,96953.63,824927.41,900.27
10017.56,96956.05,824927.9,900.28
11018.7,96957.73,824930.18,900.28
12020.3,96958.26,824930.7,900.28
13021.64,96958.55,824931.23,900.28
14022.95,96960.25,824931.9,900.29
15024.15,96960.52,824932.3,900.29
16024.92,96963.59,824936.28,900.29
17025.52,96963.65,824936.5,900.29
18026.13,96966.3,824939.32,900.3
19026.85,96969.54,824942.36,900.3
20027.46,96969.67,824942.47,900.3
21028.51,96969.89,824942.82,900.3
22029.66,96970.21,824943.53,900.31
23030.83,96970.4,824943.76,900.31
24031.91,96970.92,824944.26,900.31
25032.98,96970.98,824944.47,900.31
26033.72,96973.45,824946.97,900.31
27034.33,96973.83,824947.45,900.31
28035.02,96973.89,824947.72,900.31
29035.65,96975.42,824948.14,900.32
30036.29,96975.91,824949.03,900.32
31037.48,96985.91,824959.33,900.34
32040.62,97034.91,824999.94,900.42
33041.47,97075.3,825034.2,900.5
34042.2,97120.53,825071.91,900.58
35042.93,97169.59,825112.08,900.67
36043.57,97208.41,825144.25,900.73
37044.21,97255.98,825184.6,900.82
38044.9,97299.48,825221.39,900.9
39045.88,97341.43,825256.57,900.97
40047.08,97386.38,825313.44,901.07
41048.09,97436.24,825356.52,901.16
42049.58,97472.87,825387.79,901.23
43050.71,97512.01,825420.61,901.3
44051.4,97550.52,825450.5,901.37
45052.28,97601.79,825495.0,901.46
46053.07,97654.25,825641.83,901.66
47053.77,97705.9,825731.93,901.79
48055.4,97746.69,825781.42,901.88
49056.25,97837.98,825948.23,902.13
50057.04,97903.4,826029.37,902.28
51057.95,97967.76,826079.18,902.39
52059.22,98024.28,826123.11,902.49
53059.97,98106.92,826187.74,902.63
54062.06,98179.26,826253.39,902.77
55063.46,98248.42,826307.53,902.89
56064.84,98316.22,826359.09,903.0
57065.62,98396.74,826422.88,903.14
58066.29,98467.04,826476.94,903.26
59066.95,98532.03,826527.02,903.38
60067.6,98588.35,826570.79,903.48
61068.21,98668.99,826672.9,903.65
62068.98,98748.2,826850.09,903.9
63069.73,98816.79,826903.22,904.02
64070.93,98890.99,826998.61,904.19
65071.7,98982.08,827088.91,904.37
66072.39,99079.98,827228.13,904.6
67073.06,99151.86,827317.87,904.75
68073.72,99222.62,827373.07,904.88
69074.36,99297.04,827431.48,905.01
70075.05,99382.3,827497.23,905.16
71075.71,99443.17,827546.38,905.26
72076.56,99507.37,827595.69,905.37
73077.3,99580.5,827653.29,905.5
74077.96,99666.99,827720.44,905.65
75078.64,99737.38,827775.71,905.77
76079.34,99806.1,827829.58,905.89
77080.09,99859.53,827871.77,905.99
78081.81,99951.72,827941.83,906.15
79082.87,100025.5,827999.98,906.27
80083.81,100103.15,828059.36,906.41
81084.9,100170.28,828112.74,906.53
82085.94,100240.73,828167.21,906.65
83086.78,100303.67,828215.82,906.76
84087.49,100372.0,828269.5,906.88
85088.23,100441.71,828323.98,907.0
86088.91,100533.81,828395.84,907.16
87089.57,100605.91,828452.0,907.28
88090.42,100670.08,828502.09,907.39
89091.5,100743.29,828556.76,907.52
90092.42,100841.67,828631.81,907.69
91093.35,100910.51,828686.54,907.81
92094.26,100980.71,828742.42,907.93
93095.55,101043.51,828789.24,908.04
94096.39,101148.87,828870.54,908.22
95097.05,101223.11,828928.08,908.35
96097.71,101284.14,828974.6,908.46
97099.06,101346.43,829024.26,908.56
98099.88,101438.85,829095.35,908.72
99100.77,101513.85,829154.32,908.86
100101.54,101582.11,829207.71,908.97
101102.77,101644.92,829258.54,909.08
102103.59,101728.63,829322.91,909.23
103104.26,101805.21,829382.22,909.36
104104.91,101878.98,829437.86,909.49
105106.37,101939.16,829485.15,909.59
106108.41,102023.23,829550.56,909.74
107109.38,102106.84,829616.21,909.89
108110.14,102177.0,829672.11,910.01
109110.85,102243.38,829723.67,910.12
110111.5,102318.88,829782.85,910.25
111112.16,102401.95,829846.54,910.4
112112.81,102474.64,829902.72,910.52
113113.93,102542.78,829955.26,910.64
114114.89,102619.25,830014.97,910.78
