response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0299,0.0125,0.0000,0.0000,0.0171,0.0001,200,0.1029
0.0322,0.0123,0.0000,0.0001,0.0195,0.0001,200,0.1028
0.0371,0.0126,0.0000,0.0000,0.0244,0.0001,200,0.1030
0.0372,0.0124,0.0000,0.0001,0.0245,0.0001,200,0.1029
0.0396,0.0127,0.0000,0.0000,0.0265,0.0001,200,0.1027
0.0417,0.0123,0.0000,0.0001,0.0292,0.0000,200,0.1032
0.0473,0.0123,0.0000,0.0001,0.0349,0.0000,200,0.1032
0.0473,0.0123,0.0000,0.0000,0.0349,0.0000,200,0.1032
0.0490,0.0127,0.0000,0.0001,0.0361,0.0001,200,0.1028
0.0505,0.0124,0.0000,0.0001,0.0375,0.0000,200,0.1028
0.0216,0.0075,0.0000,0.0000,0.0139,0.0001,200,0.2027
0.0272,0.0075,0.0000,0.0001,0.0195,0.0000,200,0.2027
0.0311,0.0077,0.0000,0.0000,0.0234,0.0001,200,0.2026
0.0312,0.0076,0.0000,0.0001,0.0234,0.0000,200,0.2026
0.0349,0.0076,0.0000,0.0001,0.0272,0.0000,200,0.2027
0.0352,0.0078,0.0000,0.0000,0.0273,0.0000,200,0.2024
0.0393,0.0078,0.0000,0.0001,0.0313,0.0000,200,0.2024
0.0392,0.0076,0.0000,0.0002,0.0314,0.0000,200,0.2026
0.0435,0.0078,0.0000,0.0001,0.0356,0.0000,200,0.2025
0.0433,0.0075,0.0000,0.0002,0.0356,0.0000,200,0.2027
0.0263,0.0082,0.0000,0.0000,0.0180,0.0001,200,0.3036
0.0300,0.0083,0.0000,0.0002,0.0215,0.0001,200,0.3035
0.0300,0.0083,0.0000,0.0001,0.0216,0.0000,200,0.3036
0.0357,0.0084,0.0000,0.0002,0.0271,0.0000,200,0.3034
0.0357,0.0084,0.0000,0.0000,0.0273,0.0000,200,0.3035
0.0372,0.0086,0.0000,0.0001,0.0285,0.0000,200,0.3032
0.0400,0.0085,0.0000,0.0001,0.0314,0.0000,200,0.3034
0.0421,0.0084,0.0000,0.0001,0.0336,0.0001,200,0.3035
0.0464,0.0084,0.0000,0.0000,0.0378,0.0001,200,0.3034
0.0463,0.0084,0.0000,0.0001,0.0377,0.0001,200,0.3035
0.0184,0.0046,0.0000,0.0001,0.0137,0.0001,200,0.4031
0.0215,0.0047,0.0000,0.0001,0.0167,0.0001,200,0.4030
0.0241,0.0046,0.0000,0.0000,0.0194,0.0000,200,0.4031
0.0242,0.0048,0.0000,0.0000,0.0194,0.0000,200,0.4030
0.0279,0.0048,0.0000,0.0001,0.0229,0.0000,200,0.4029
0.0278,0.0048,0.0000,0.0000,0.0230,0.0000,200,0.4030
0.1342,0.0169,0.0000,0.0000,0.1172,0.0001,200,0.4032
0.1351,0.0168,0.0000,0.0000,0.1181,0.0001,200,0.4031
0.1391,0.0170,0.0000,0.0000,0.1220,0.0001,200,0.4031
0.1418,0.0169,0.0000,0.0000,0.1248,0.0000,200,0.4032
0.2431,0.1159,0.0000,0.0001,0.1271,0.0000,200,0.5374
0.2772,0.1500,0.0000,0.0000,0.1270,0.0001,200,0.5033
0.2842,0.1501,0.0000,0.0001,0.1338,0.0001,200,0.5031
0.2841,0.1501,0.0000,0.0001,0.1340,0.0000,200,0.5033
0.2843,0.1500,0.0000,0.0001,0.1340,0.0001,200,0.5033
0.2904,0.1503,0.0000,0.0001,0.1399,0.0001,200,0.5030
0.2951,0.1502,0.0000,0.0001,0.1447,0.0001,200,0.5032
0.2698,0.2422,0.0000,0.0001,0.0275,0.0000,200,0.5382
0.2659,0.2382,0.0000,0.0001,0.0275,0.0001,200,0.5422
0.2755,0.2355,0.0000,0.0000,0.0398,0.0001,200,0.5450
0.0506,0.0275,0.0000,0.0000,0.0231,0.0001,200,0.7805
0.0508,0.0276,0.0000,0.0000,0.0231,0.0001,200,0.7805
0.0377,0.0220,0.0000,0.0000,0.0156,0.0001,200,0.7983
0.0488,0.0329,0.0000,0.0000,0.0158,0.0001,200,0.7874
0.0488,0.0269,0.0000,0.0000,0.0217,0.0001,200,0.7934
0.0550,0.0330,0.0000,0.0000,0.0219,0.0001,200,0.7873
0.0386,0.0123,0.0000,0.0000,0.0262,0.0000,200,0.8080
0.0593,0.0329,0.0000,0.0000,0.0263,0.0001,200,0.7875
0.0429,0.0139,0.0000,0.0000,0.0290,0.0001,200,0.8080
0.0385,0.0215,0.0000,0.0000,0.0168,0.0000,200,0.8204
0.0376,0.0155,0.0000,0.0000,0.0220,0.0001,200,0.8313
0.0378,0.0155,0.0000,0.0001,0.0221,0.0001,200,0.8311
0.0375,0.0151,0.0000,0.0000,0.0224,0.0001,200,0.8359
0.0374,0.0147,0.0000,0.0000,0.0225,0.0001,200,0.8362
