time,sent,received,total
8.12,113562.16,502473.7,601.6
1008.85,113801.28,502493.28,601.85
2009.51,113802.86,502494.72,601.85
3010.56,113803.12,502494.91,601.85
4011.95,113805.86,502497.49,601.86
5012.81,113807.11,502498.16,601.86
6013.47,113825.58,502501.62,601.88
7014.11,113827.45,502502.62,601.88
8014.75,113861.01,502507.09,601.92
9015.44,113862.3,502507.48,601.92
10016.51,113865.88,502508.35,601.93
11017.28,113867.74,502509.82,601.93
12017.89,113868.95,502511.16,601.93
13018.63,113869.5,502511.38,601.93
14019.35,113870.41,502511.82,601.94
15020.0,113872.28,502512.99,601.94
16021.04,113873.35,502513.77,601.94
17021.87,113876.92,502519.57,601.95
18022.57,113877.04,502519.68,601.95
19023.24,113879.13,502521.4,601.95
20023.85,113880.86,502522.87,601.96
21024.57,113881.71,502523.13,601.96
22025.22,113884.26,502526.27,601.96
23025.86,113884.81,502526.38,601.96
24026.56,113885.51,502527.3,601.96
25027.24,113886.55,502527.93,601.97
26027.89,113887.17,502528.14,601.97
27028.94,113889.44,502529.85,601.97
28029.7,113889.44,502529.91,601.97
29030.34,113890.38,502530.44,601.97
30030.95,113919.46,502536.02,602.01
31031.6,113922.59,502538.12,602.01
32032.26,113923.0,502539.86,602.01
33033.35,113923.35,502540.02,602.01
34034.42,113925.26,502541.62,602.02
35035.18,113925.51,502541.73,602.02
36035.89,113926.4,502542.13,602.02
37036.59,113927.14,502542.44,602.02
38037.24,113930.12,502545.14,602.03
39037.89,113930.2,502545.33,602.03
40038.92,113931.37,502546.16,602.03
41040.04,113931.37,502546.27,602.03
42040.78,113934.58,502549.28,602.03
43041.43,113934.78,502549.39,602.04
44042.09,113935.47,502549.94,602.04
45042.73,113935.88,502550.04,602.04
46043.45,114103.83,502563.61,602.21
47044.99,114124.78,502854.11,602.52
48049.06,114134.19,502856.64,602.53
49049.88,114196.34,502865.68,602.6
50050.61,114236.39,502868.85,602.64
51052.1,114271.69,502884.47,602.69
52052.78,114291.16,502908.22,602.73
53053.42,114317.9,502939.4,602.79
54054.07,114334.26,502958.14,602.82
55054.84,114351.28,502977.79,602.86
56055.54,114372.87,503002.78,602.91
57056.6,114399.81,503034.18,602.96
58057.36,114420.66,503057.42,603.01
59058.06,114435.21,503074.76,603.04
60058.74,114458.25,503100.21,603.08
61059.53,114681.74,503141.76,603.34
62060.51,114712.54,503173.67,603.4
63061.64,114778.23,503203.27,603.5
64062.54,114833.19,503236.47,603.58
65063.27,114941.83,503282.09,603.73
66064.11,114965.68,503311.26,603.79
67064.95,114991.35,503339.67,603.84
68065.92,115017.49,503368.36,603.89
69066.72,115041.69,503397.28,603.94
70067.43,115074.6,503434.98,604.01
71071.48,115101.82,503466.88,604.07
72072.42,115131.22,503500.12,604.13
73073.21,115161.95,503534.97,604.2
74075.4,115193.52,503572.0,604.26
75076.32,115215.2,503596.18,604.31
76077.02,115241.19,503625.55,604.36
77077.75,115270.7,503662.05,604.43
78078.44,115304.54,503700.61,604.5
79079.19,115331.69,503731.14,604.55
80080.15,115361.0,503765.17,604.62
81080.92,115386.48,503794.06,604.67
82081.59,115427.27,503842.46,604.75
83082.27,115453.39,503872.29,604.81
84082.94,115474.11,503896.48,604.85
85083.92,115495.14,503920.4,604.9
86085.17,115533.26,503963.37,604.98
87085.96,115555.97,503990.09,605.03
88086.63,115579.12,504016.58,605.07
89087.32,115601.28,504040.66,605.12
90087.99,115636.88,504081.96,605.19
91088.86,115670.27,504119.41,605.26
92089.89,115696.78,504151.21,605.32
93091.01,115720.38,504178.12,605.37
94091.87,115755.13,504218.85,605.44
95092.98,115785.35,504253.2,605.51
96093.73,115809.82,504281.5,605.56
97094.41,115836.13,504311.35,605.61
98095.09,115866.96,504345.44,605.68
99096.09,115896.66,504380.24,605.74
100096.99,115921.34,504409.15,605.79
101098.59,115946.28,504438.08,605.84
102099.35,115980.43,504477.87,605.92
103100.12,116009.45,504510.4,605.98
104100.83,116032.41,504537.28,606.02
105101.87,116050.68,504558.07,606.06
106102.69,116079.55,504590.38,606.12
107103.35,116106.52,504624.67,606.18
108104.03,116133.7,504656.08,606.24
109104.71,116160.24,504687.0,606.3
110105.4,116189.61,504721.31,606.36
111106.14,116216.37,504752.5,606.41
112106.85,116244.45,504785.8,606.47
113107.7,116271.41,504816.03,606.53
114108.43,116305.66,504855.21,606.6
115109.17,116336.16,504890.71,606.67
116110.16,116364.56,504923.76,606.73
117111.24,116391.03,504952.76,606.78
118112.02,116419.97,504986.37,606.84
119112.74,116447.6,505017.99,606.9
120113.4,116476.12,505050.55,606.96
121117.06,116500.15,505057.68,606.99
122117.87,116507.72,505061.54,607.0
123118.54,116528.49,505063.37,607.02
124119.23,116558.41,505065.14,607.05
125119.89,116563.8,505067.85,607.06
126120.63,116563.8,505067.91,607.06
127121.31,116564.8,505068.33,607.06
128122.35,116565.9,505068.68,607.06
129123.13,116566.21,505068.86,607.07
130123.81,116566.58,505069.08,607.07
131124.73,116566.76,505069.18,607.07
132125.42,116569.72,505071.43,607.07
133126.13,116569.85,505071.73,607.07
134127.31,116570.69,505072.07,607.07
135128.16,116571.13,505072.23,607.07
136128.89,116573.97,505073.98,607.08
137129.6,116574.23,505075.83,607.08
138130.28,116575.03,505076.23,607.08
139130.95,116575.73,505076.58,607.08
140131.69,116577.71,505079.31,607.09
141132.42,116578.37,505079.52,607.09
142133.34,116585.79,505089.6,607.1
143134.2,116587.81,505090.73,607.11
144134.88,116588.15,505090.97,607.11
145136.0,116589.4,505092.06,607.11
146137.18,116590.06,505092.22,607.11
147138.01,116591.54,505092.81,607.11
148138.69,116593.33,505094.45,607.12
149139.39,116594.44,505094.64,607.12
150140.19,116594.66,505095.0,607.12
151141.27,116595.03,505095.16,607.12
152143.43,116601.51,505100.89,607.13
153145.13,116602.72,505101.68,607.13
154145.94,116603.06,505101.91,607.13
155146.64,116604.74,505104.41,607.14
156147.32,116605.06,505104.62,607.14
157147.99,116605.39,505104.67,607.14
158148.68,116609.5,505107.91,607.15
159150.11,116609.59,505108.15,607.15
160151.34,116609.72,505108.34,607.15
161152.09,116610.07,505108.45,607.15
162152.8,116610.35,505108.61,607.15
163153.47,116613.91,505111.35,607.15
164154.15,116614.66,505111.86,607.15
165155.19,116615.68,505112.17,607.16
166156.49,116615.84,505112.28,607.16
167157.29,116618.55,505115.62,607.16
168157.95,116618.55,505115.68,607.16
169158.61,116619.1,505116.1,607.16
170159.28,116623.26,505118.43,607.17
171160.73,116623.39,505118.49,607.17
172161.79,116625.0,505121.84,607.17
173162.58,116625.92,505122.57,607.18
174163.25,116627.14,505123.55,607.18
175163.96,116627.24,505123.75,607.18
176164.69,116627.96,505124.01,607.18
177165.37,116628.15,505124.25,607.18
178166.03,116631.61,505126.81,607.19
179166.72,116632.16,505127.2,607.19
180167.41,116632.9,505127.56,607.19
181168.13,116633.49,505127.86,607.19
182168.83,116767.72,505138.85,607.33
183169.51,116996.66,505158.43,607.57
184170.24,117200.34,505169.62,607.78
185170.94,117205.71,505171.46,607.79
186171.7,117222.62,505174.06,607.81
187172.41,117223.08,505174.22,607.81
188173.38,117224.2,505174.83,607.81
189174.16,117225.61,505175.54,607.81
