time,sent,received,total
2.86,103594.93,831725.51,913.4
1003.33,103617.16,831963.67,913.65
2003.89,103622.38,831970.44,913.66
3005.19,103632.66,831988.69,913.69
4007.01,103646.03,832010.63,913.73
5008.45,103656.77,832022.48,913.75
6009.21,103662.47,832026.93,913.76
7010.21,103675.91,832327.54,914.07
8011.0,103677.24,832329.8,914.07
9011.64,103680.86,832361.17,914.1
10012.29,103681.73,832362.13,914.1
11013.42,103682.05,832362.51,914.11
12014.65,103684.76,832365.29,914.11
13015.97,103684.89,832365.64,914.11
14017.35,103685.11,832366.12,914.11
15018.7,103685.3,832366.56,914.11
16019.93,103687.11,832368.74,914.12
17021.13,103691.89,832372.12,914.12
18022.27,103693.21,832372.4,914.13
19023.47,103694.88,832373.16,914.13
20024.61,103696.2,832374.48,914.13
21025.83,103696.6,832376.47,914.13
22027.0,103697.12,832377.49,914.13
23028.19,103700.47,832379.45,914.14
24029.46,103701.01,832379.97,914.14
25030.67,103701.47,832380.35,914.14
26031.89,103702.32,832381.65,914.14
27033.09,103704.04,832383.71,914.15
28034.2,103704.04,832383.77,914.15
29034.97,103704.13,832383.83,914.15
30035.59,103709.66,832409.17,914.18
31036.22,103729.96,832426.36,914.21
32036.87,103778.08,832465.29,914.3
33037.7,103821.98,832501.62,914.38
34038.42,103859.1,832531.27,914.44
35039.04,103906.45,832569.96,914.53
36039.7,103951.2,832607.08,914.61
37040.46,103996.34,832644.25,914.69
38042.5,104043.26,832683.16,914.77
39043.29,104085.82,832716.42,914.85
40044.06,104135.2,832757.59,914.93
41044.93,104176.18,832791.38,915.01
42045.83,104222.32,832829.0,915.09
43046.5,104264.69,832861.99,915.16
44047.54,104315.07,832905.63,915.25
45048.74,104359.76,832941.65,915.33
46049.61,104411.2,833062.31,915.5
47050.29,104463.35,833174.01,915.66
48051.88,104518.66,833223.0,915.76
49052.81,104569.73,833322.25,915.91
50053.75,104617.64,833397.17,916.03
51055.42,104663.95,833431.88,916.11
52056.18,104744.25,833514.39,916.27
53057.59,104810.6,833565.37,916.38
54058.29,104868.72,833609.23,916.48
55058.94,104926.67,833653.92,916.58
56059.59,105012.74,833720.18,916.73
57060.48,105082.27,833773.84,916.85
58061.48,105145.55,833823.13,916.96
59062.3,105201.02,833866.83,917.06
60062.99,105287.64,833934.21,917.21
61063.93,105359.92,834053.19,917.4
62064.74,105436.02,834231.12,917.64
63065.64,105500.96,834294.12,917.77
64068.08,105595.56,834392.89,917.96
65068.89,105688.77,834554.55,918.21
66069.68,105760.12,834609.51,918.33
67070.41,105825.41,834659.84,918.44
68071.15,105910.96,834725.72,918.59
69072.11,105986.69,834783.87,918.72
70073.32,106060.4,834839.77,918.85
71074.0,106130.47,834893.44,918.97
72074.67,106217.43,834960.59,919.12
73075.37,106304.91,835027.76,919.27
74076.02,106382.88,835087.55,919.4
75076.9,106451.16,835139.93,919.52
76078.11,106512.97,835187.64,919.63
77079.14,106612.8,835261.51,919.8
78079.89,106686.31,835318.5,919.93
79080.54,106760.61,835375.09,920.05
80081.26,106835.77,835433.05,920.18
81081.92,106929.3,835505.03,920.35
82082.58,107008.74,835565.95,920.48
83083.47,107089.47,835626.03,920.62
84084.2,107158.93,835679.17,920.74
85084.95,107240.72,835741.64,920.88
86085.66,107312.91,835798.62,921.01
87086.31,107386.4,835854.81,921.13
88086.96,107448.43,835903.24,921.24
89088.81,107535.48,835970.57,921.39
90089.64,107603.77,836024.16,921.51
91090.3,107684.78,836085.91,921.65
92090.95,107758.55,836141.8,921.78
93091.6,107850.13,836211.08,921.93
94092.26,107925.47,836269.26,922.06
95093.21,108000.46,836328.02,922.2
96094.45,108064.24,836376.3,922.3
97095.5,108164.98,836454.05,922.48
98096.46,108236.7,836509.95,922.6
99097.23,108305.92,836562.72,922.72
100097.98,108373.09,836613.87,922.84
101099.16,108470.44,836688.12,923.01
102099.82,108554.52,836751.2,923.15
103100.47,108618.7,836802.39,923.26
104101.47,108684.89,836852.96,923.38
105102.47,108770.26,836918.02,923.52
106103.45,108830.14,836963.63,923.63
107104.43,108901.04,837016.27,923.75
108105.61,108965.94,837067.22,923.86
109106.66,109054.95,837135.47,924.01
110107.64,109133.99,837196.2,924.15
111108.38,109205.35,837250.89,924.27
112109.05,109273.06,837302.72,924.39
113109.67,109365.01,837371.87,924.55
114110.33,109443.94,837431.92,924.68
115111.01,109511.91,837483.73,924.8
116111.96,109586.2,837541.23,924.93
117113.18,109670.78,837605.17,925.07
118114.16,109757.87,837673.64,925.23
119115.1,109821.03,837722.47,925.33
120116.08,109884.58,837771.9,925.45
121116.95,109940.86,837814.74,925.54
122117.69,109946.07,837837.1,925.57
123118.34,109947.62,837838.85,925.57
124118.99,109950.85,837887.27,925.62
125119.63,109953.43,837889.88,925.63
126120.8,109953.43,837889.94,925.63
127122.24,109953.43,837889.99,925.63
128123.48,109953.92,837891.27,925.63
129124.73,109954.21,837891.5,925.63
130128.01,109954.4,837891.97,925.63
131128.95,109954.4,837892.03,925.63
132129.66,109954.59,837892.48,925.63
133130.31,109957.12,837895.04,925.64
134130.96,109957.28,837895.31,925.64
135131.61,109957.54,837896.01,925.64
136132.74,109957.54,837896.07,925.64
137134.03,109961.13,837898.51,925.64
138135.16,109961.32,837898.94,925.64
139136.31,109961.81,837899.51,925.65
140137.51,109964.48,837900.97,925.65
141138.32,109964.73,837901.92,925.65
142139.0,109971.35,837905.66,925.66
143139.66,109976.55,837909.58,925.67
144140.31,109976.96,837910.5,925.67
145140.96,109977.91,837911.46,925.67
146142.16,109978.27,837912.18,925.67
147143.47,109978.59,837913.09,925.67
148144.67,109980.39,837914.94,925.68
149145.92,109980.74,837915.21,925.68
150147.17,109980.8,837915.47,925.68
151148.51,109981.0,837916.08,925.68
152149.38,109986.79,837921.96,925.69
153150.04,109987.5,837922.93,925.69
154150.7,109987.72,837923.3,925.69
155151.36,109987.72,837923.36,925.69
156152.19,109990.55,837925.09,925.7
157153.37,109990.55,837925.15,925.7
158154.54,109992.0,837926.12,925.7
159155.95,109994.2,837929.16,925.71
160157.17,109994.2,837929.36,925.71
161158.43,109994.51,837929.41,925.71
162159.25,109994.58,837929.68,925.71
163159.9,109997.34,837932.8,925.71
164160.55,109997.88,837933.46,925.71
165161.22,109998.18,837934.12,925.71
166161.88,109998.24,837934.33,925.71
167162.98,110001.62,837936.64,925.72
168164.17,110001.74,837936.7,925.72
169165.61,110002.17,837937.04,925.72
170167.0,110002.3,837937.23,925.72
171168.3,110004.7,837941.16,925.73
172169.54,110004.7,837941.22,925.73
173170.8,110008.22,837942.69,925.73
174171.93,110009.77,837944.18,925.74
175172.72,110009.83,837944.46,925.74
176173.4,110010.06,837944.82,925.74
177174.08,110010.26,837945.01,925.74
178174.75,110012.96,837947.83,925.74
179175.4,110013.18,837948.19,925.74
180176.57,110013.37,837948.59,925.74
181177.88,110013.94,837949.41,925.75
182178.8,110023.54,838059.76,925.86
183180.68,110033.94,838150.81,925.96
184181.47,110058.53,838457.85,926.29
185182.15,110061.2,838506.48,926.33
186182.77,110062.99,838508.34,926.34
187183.82,110065.82,838524.98,926.36
188184.78,110066.47,838525.98,926.36
189185.54,110067.13,838526.98,926.36
190186.17,110067.43,838527.72,926.36
191186.84,110068.81,838528.23,926.36
192187.54,110069.76,838529.26,926.37
193188.18,110072.66,838532.15,926.37
194189.33,110073.59,838533.04,926.37
195190.12,110073.72,838533.46,926.37
196190.76,110073.72,838533.52,926.37
197191.65,110078.77,838579.97,926.42
198192.31,110082.15,838637.53,926.48
199192.96,110086.5,838724.36,926.57
200193.98,110086.5,838724.41,926.57
201195.15,110089.59,838727.78,926.58
202196.3,110089.89,838728.08,926.58
203197.08,110093.38,838730.21,926.58
204197.71,110093.66,838730.67,926.59
205198.36,110094.63,838732.13,926.59
206198.98,110094.95,838732.92,926.59
207199.62,110095.27,838733.57,926.59
