time,total,idle,mem_total,mem_free,113608/cpu,113608/rss,114374/cpu,114374/rss
1005.65,11711024,11490594,16370456,8371348,701,55604,31670,818200
2010.47,11711622,11491183,16370456,8380444,701,55604,31677,818200
3013.6,11712219,11491766,16370456,8377672,701,55604,31684,818200
4017.75,11712819,11492354,16370456,8378228,701,55604,31691,818200
5022.43,11713417,11492947,16370456,8378984,701,55604,31696,818200
6026.24,11714015,11493535,16370456,8380116,702,55604,31705,818200
7029.73,11714613,11494125,16370456,8381272,702,55604,31710,818200
8033.1,11715210,11494712,16370456,8382960,702,55604,31719,818200
9037.14,11715807,11495303,16370456,8382496,702,55604,31726,818200
10040.69,11716407,11495894,16370456,8382316,702,55604,31732,818200
11045.57,11717004,11496485,16370456,8382568,702,55604,31738,818200
12050.35,11717603,11497076,16370456,8382568,703,55604,31744,818328
13052.97,11718199,11497659,16370456,8394460,703,55604,31751,818328
14058.58,11718799,11498249,16370456,8394208,703,55604,31758,818328
15062.54,11719400,11498840,16370456,8394208,703,55604,31767,818328
16067.9,11719999,11499430,16370456,8394208,703,55604,31774,818328
17073.22,11720599,11500021,16370456,8394208,703,55604,31781,818328
18078.5,11721198,11500613,16370456,8394208,703,55604,31787,818328
19083.22,11721798,11501207,16370456,8394208,703,55604,31792,818328
20088.97,11722396,11501799,16370456,8394208,703,55604,31798,818328
21092.49,11722995,11502390,16370456,8394208,703,55604,31805,818328
22095.73,11723594,11502981,16370456,8393956,703,55604,31810,818328
23100.73,11724193,11503563,16370456,8391940,703,55604,31818,818328
24104.85,11724791,11504152,16370456,8391688,704,55604,31825,818320
25110.2,11725389,11504744,16370456,8391688,704,55604,31831,819984
26113.53,11725987,11505333,16370456,8391688,705,55604,31839,819984
27116.78,11726585,11505924,16370456,8391688,705,55604,31845,820112
28121.09,11727185,11506515,16370456,8391688,705,55604,31852,820112
29126.6,11727783,11507108,16370456,8391688,705,55604,31858,820112
30131.45,11728381,11507697,16370456,8388692,705,55604,31865,820112
31134.78,11728975,11508274,16370456,8388188,705,55604,31870,820112
32138.84,11729572,11508848,16370456,8388188,705,55604,31879,820112
33142.69,11730168,11509420,16370456,8385920,705,55604,31884,820112
34147.48,11730765,11509925,16370456,8312336,705,55604,31964,887424
35151.13,11731363,11510502,16370456,8312336,705,55604,31970,888064
36154.99,11731960,11511075,16370456,8312084,706,55604,31980,888064
37158.01,11732556,11511653,16370456,8312084,706,55604,31984,888064
38162.11,11733151,11512218,16370456,8317688,706,55604,31994,888064
39165.99,11733748,11512795,16370456,8317688,706,55604,32001,888064
40169.55,11734343,11513372,16370456,8317440,706,55604,32007,888064
41172.9,11734940,11513952,16370456,8317440,706,55604,32012,888064
42177.02,11735535,11514529,16370456,8317440,706,55604,32019,888064
43181.23,11736132,11515106,16370456,8317440,706,55604,32025,888064
44183.99,11736728,11515678,16370456,8319208,706,55604,32032,888064
45187.55,11737322,11516231,16370456,8317484,706,55604,32053,884312
46192.5,11737918,11516640,16370456,8165988,708,55604,32076,884060
47196.29,11738515,11517214,16370456,8161472,708,55604,32081,884188
48200.03,11739112,11517790,16370456,8161220,708,55604,32087,884188
49204.86,11739709,11518366,16370456,8163456,708,55604,32092,884188
50210.56,11740308,11518943,16370456,8162560,708,55604,32098,884188
51214.8,11740903,11519518,16370456,8162080,708,55604,32105,884188
52217.71,11741500,11520093,16370456,8162080,708,55604,32111,884188
53219.96,11742093,11520663,16370456,8160820,708,55604,32118,884188
54222.43,11742686,11521229,16370456,8156540,708,55604,32126,884188
55224.97,11743283,11521805,16370456,8156288,708,55604,32133,884188
56228.81,11743880,11522380,16370456,8154524,708,55604,32140,885852
57231.3,11744475,11522958,16370456,8154524,709,55604,32144,885852
58234.92,11745073,11523532,16370456,8154524,709,55604,32151,885852
59237.78,11745666,11524107,16370456,8154524,709,55604,32156,885852
60241.02,11746263,11524656,16370456,8151172,709,55604,32179,884572
61244.14,11746854,11525014,16370456,7946540,709,55604,32204,884612
62247.08,11747447,11525578,16370456,7942536,709,55604,32213,884612
63250.22,11748043,11526150,16370456,7941040,709,55604,32219,884612
64253.16,11748635,11526714,16370456,7928492,709,55604,32226,884612
65257.54,11749230,11527285,16370456,7927992,709,55604,32234,884740
66262.35,11749827,11527858,16370456,7927500,710,55604,32240,884740
67263.78,11750423,11528433,16370456,7925736,710,55604,32244,884740
68267.72,11751020,11529004,16370456,7925736,711,55604,32251,884868
69272.16,11751619,11529580,16370456,7924728,711,55604,32258,886276
70277.61,11752217,11530153,16370456,7924228,711,55604,32263,886276
71282.49,11752816,11530729,16370456,7924228,711,55604,32269,886276
72288.3,11753412,11531301,16370456,7922464,711,55604,32275,886276
73292.38,11754009,11531873,16370456,7923584,711,55604,32281,886276
74296.52,11754605,11532441,16370456,7923956,711,55604,32288,886276
75299.99,11755197,11532988,16370456,7919776,712,55604,32310,884424
76303.86,11755789,11533350,16370456,7843016,712,55604,32356,809180
77307.34,11756384,11533919,16370456,7840752,712,55604,32364,809180
78313.47,11756982,11534490,16370456,7840260,712,55604,32371,809180
79316.68,11757578,11535062,16370456,7839000,712,55604,32376,809180
80321.51,11758174,11535635,16370456,7839000,712,55604,32382,809180
81324.92,11758768,11536205,16370456,7839000,712,55604,32388,809180
82328.54,11759361,11536774,16370456,7839000,712,55604,32394,809180
83331.31,11759956,11537339,16370456,7839000,712,55604,32402,809180
84336.45,11760551,11537905,16370456,7827912,712,55604,32409,809308
85338.74,11761148,11538476,16370456,7827664,712,55604,32416,809308
86343.05,11761745,11539046,16370456,7827664,713,55604,32422,809308
87346.36,11762340,11539617,16370456,7827664,713,55604,32429,809308
88349.99,11762937,11540188,16370456,7828128,714,55604,32436,809308
89354.7,11763534,11540762,16370456,7828128,714,55604,32440,809308
90359.44,11764129,11541332,16370456,7828380,714,55604,32448,809308
91362.64,11764724,11541905,16370456,7828884,714,55604,32453,809308
92367.92,11765319,11542475,16370456,7828820,714,55604,32460,809436
93372.76,11765914,11543044,16370456,7828568,714,55604,32467,809436
94375.77,11766507,11543612,16370456,7828568,714,55604,32474,809436
95380.67,11767102,11544176,16370456,7826552,714,55604,32483,809564
96384.59,11767696,11544742,16370456,7826300,714,55604,32491,809564
97389.38,11768292,11545315,16370456,7826048,714,55604,32497,810716
98392.41,11768889,11545880,16370456,7827096,714,55604,32505,810844
99396.2,11769483,11546452,16370456,7826624,714,55604,32512,810844
100399.19,11770079,11547023,16370456,7826624,714,55604,32518,810844
101401.95,11770673,11547594,16370456,7826624,714,55604,32523,810844
102408.7,11771268,11548169,16370456,7826624,716,55604,32529,810844
103415.42,11771866,11548737,16370456,7826132,716,55604,32536,810844
104418.09,11772460,11549308,16370456,7826132,716,55604,32543,810844
105420.89,11773055,11549872,16370456,7821344,716,55604,32552,809456
106424.86,11773650,11550441,16370456,7821344,716,55604,32558,809456
107428.01,11774244,11551010,16370456,7821344,716,55604,32566,809456
108431.19,11774838,11551579,16370456,7820616,716,55604,32573,809456
109433.9,11775433,11552151,16370456,7820616,716,55604,32578,809456
110436.63,11776027,11552723,16370456,7820616,716,55604,32584,809456
111440.87,11776623,11553295,16370456,7820616,716,55604,32590,809456
112445.12,11777218,11553866,16370456,7820616,716,55604,32596,809456
113448.37,11777811,11554430,16370456,7820364,716,55604,32605,809456
114451.84,11778406,11555001,16370456,7820364,716,55604,32610,809456
115456.18,11779001,11555565,16370456,7826160,717,55604,32618,809456
116463.3,11779598,11556139,16370456,7826160,717,55604,32624,809456
117466.07,11780195,11556712,16370456,7825908,717,55604,32629,809456
118469.95,11780789,11557283,16370456,7825908,717,55604,32636,809456
119474.3,11781386,11557857,16370456,7825908,717,55604,32641,809456
120478.3,11781980,11558431,16370456,7825908,717,55604,32648,809456
121482.29,11782578,11559020,16370456,7827672,717,55604,32654,809456
122487.13,11783175,11559603,16370456,7827420,717,55604,32662,809456
123490.35,11783772,11560185,16370456,7826664,717,55604,32670,809456
124496.08,11784368,11560771,16370456,7826664,717,55604,32677,809456
125501.49,11784964,11561351,16370456,7811304,717,55604,32685,809456
126504.83,11785561,11561934,16370456,7811304,719,55604,32694,809456
127509.1,11786156,11562519,16370456,7811304,719,55604,32701,809456
128515.47,11786753,11563103,16370456,7811824,719,55604,32709,809968
129521.0,11787351,11563688,16370456,7813900,719,55604,32718,809968
130525.21,11787947,11564275,16370456,7815672,719,55604,32724,810096
131528.09,11788543,11564862,16370456,7817088,719,55604,32729,810096
132531.16,11789139,11565448,16370456,7817116,719,55604,32735,810096
133535.03,11789736,11566032,16370456,7817116,719,55604,32743,810096
134540.67,11790334,11566619,16370456,7817116,719,55604,32750,810224
135544.42,11790928,11567196,16370456,7828176,719,55604,32760,810352
136548.41,11791526,11567782,16370456,7828216,719,55604,32767,810352
137552.56,11792123,11568366,16370456,7827964,719,55604,32775,810352
138557.48,11792720,11568953,16370456,7827964,719,55604,32780,810352
139562.85,11793320,11569542,16370456,7827964,719,55604,32786,810352
140567.73,11793918,11570129,16370456,7827964,720,55604,32793,810352
141574.1,11794519,11570717,16370456,7827964,720,55604,32798,810352
142577.82,11795115,11571302,16370456,7827964,720,55604,32807,811504
143581.65,11795712,11571858,16370456,7827460,720,55604,32837,812144
144585.48,11796309,11572446,16370456,7827460,721,55604,32842,812144
145591.4,11796906,11573032,16370456,7827208,721,55604,32850,812272
146595.28,11797503,11573610,16370456,7825184,721,55604,32858,812272
147600.3,11798101,11574197,16370456,7825184,721,55604,32864,812272
148604.82,11798698,11574784,16370456,7825184,721,55604,32871,812272
149609.79,11799296,11575373,16370456,7825184,721,55604,32877,812272
150613.52,11799891,11575957,16370456,7825184,721,55604,32885,812208
151618.06,11800487,11576544,16370456,7825184,721,55604,32892,812208
152621.42,11801085,11577131,16370456,7825184,722,55604,32898,812208
153625.6,11801682,11577715,16370456,7825184,722,55604,32906,812208
154630.02,11802278,11578298,16370456,7825184,722,55604,32915,812208
155634.17,11802872,11578880,16370456,7824932,722,55604,32925,812208
156637.88,11803470,11579460,16370456,7822664,722,55604,32932,812336
157642.07,11804067,11580048,16370456,7822664,722,55604,32938,812336
158646.89,11804663,11580628,16370456,7830000,723,55604,32946,812336
159649.75,11805258,11581213,16370456,7829496,723,55604,32954,812464
160653.78,11805853,11581799,16370456,7828740,723,55604,32959,812464
161658.66,11806452,11582387,16370456,7828488,723,55604,32966,814000
162662.88,11807049,11582974,16370456,7828488,723,55604,32972,814000
163667.6,11807644,11583557,16370456,7827732,723,55604,32980,814000
164672.44,11808243,11584146,16370456,7827732,723,55604,32985,814000
165676.75,11808839,11584731,16370456,7827480,723,55604,32993,813828
166681.58,11809435,11585308,16370456,7826052,724,55604,33002,813956
167686.04,11810033,11585895,16370456,7826052,724,55604,33009,813956
168689.39,11810629,11586484,16370456,7826052,724,55604,33014,813956
169691.83,11811224,11587071,16370456,7826052,724,55604,33020,813956
170696.11,11811822,11587658,16370456,7825588,724,55604,33026,813956
171701.16,11812417,11588244,16370456,7825588,724,55604,33033,813956
