time,total,idle,mem_total,mem_free,113608/cpu,113608/rss,114374/cpu,114374/rss
1013.89,9635380,9458891,16370456,8919796,170,55728,5729,769052
2019.3,9635979,9459466,16370456,8923080,170,56112,5741,769120
3025.25,9636579,9460058,16370456,8923080,170,56112,5747,769120
4029.32,9637176,9460643,16370456,8920816,170,56112,5753,769120
5031.72,9637774,9461233,16370456,8920340,170,56112,5760,769376
6036.33,9638371,9461825,16370456,8928152,170,56112,5765,769376
7040.81,9638972,9462417,16370456,8927928,171,56112,5772,769376
8044.05,9639570,9463008,16370456,8927688,171,56112,5777,769376
9046.7,9640166,9463596,16370456,8927688,171,56112,5784,769504
10051.11,9640765,9464184,16370456,8927688,171,56112,5793,770912
11054.26,9641362,9464775,16370456,8927688,171,56112,5799,770912
12058.56,9641961,9465365,16370456,8927688,171,56112,5806,771552
13060.94,9642556,9465953,16370456,8927688,171,56112,5813,771552
14066.88,9643155,9466539,16370456,8931944,171,56112,5820,771552
15072.57,9643754,9467128,16370456,8931748,171,56112,5827,771680
16078.29,9644352,9467720,16370456,8931748,171,56112,5833,771680
17083.61,9644950,9468311,16370456,8931748,172,56112,5839,771680
18088.08,9645549,9468905,16370456,8931748,172,56112,5844,771680
19091.86,9646148,9469495,16370456,8931748,172,56112,5852,771808
20096.06,9646746,9470085,16370456,8931748,173,56112,5858,771808
21099.4,9647343,9470673,16370456,8931748,173,56112,5866,771808
22103.46,9647942,9471266,16370456,8931748,173,56112,5871,771808
23108.4,9648541,9471857,16370456,8931748,173,56112,5879,771808
24114.89,9649139,9472437,16370456,8933236,173,56112,5886,771808
25120.59,9649739,9473028,16370456,8933236,173,56112,5894,771808
26124.58,9650336,9473618,16370456,8933236,173,56112,5900,771808
27127.86,9650933,9474206,16370456,8933236,173,56112,5907,771808
28130.24,9651533,9474795,16370456,8933236,173,56112,5914,771808
29133.58,9652131,9475385,16370456,8933236,173,56112,5921,771808
30138.0,9652732,9475951,16370456,8928196,173,56112,5948,771808
31141.7,9653325,9476523,16370456,8928196,174,56112,5954,771808
32144.85,9653917,9477095,16370456,8928196,174,56112,5960,771808
33147.94,9654514,9477667,16370456,8927944,174,56112,5966,771808
34153.16,9655112,9478235,16370456,8926936,174,56112,5973,771808
35157.47,9655707,9478802,16370456,8918620,174,56112,5980,771808
36164.29,9656303,9479376,16370456,8918620,174,56112,5985,771808
37168.05,9656900,9479947,16370456,8918692,174,56112,5991,771808
38173.77,9657494,9480516,16370456,8918988,174,56112,5998,771808
39178.44,9658090,9481087,16370456,8918988,174,56112,6005,771808
40182.91,9658689,9481658,16370456,8926604,175,56112,6012,771808
41187.24,9659285,9482226,16370456,8926604,175,56112,6018,771808
42191.82,9659882,9482796,16370456,8926604,175,56112,6024,771808
43197.54,9660479,9483367,16370456,8926604,175,56112,6031,771632
44201.85,9661073,9483937,16370456,8926352,175,56112,6036,771632
45207.05,9661666,9484473,16370456,8926820,176,56752,6062,770148
46210.32,9662256,9484930,16370456,8788424,178,57648,6091,770144
47214.58,9662853,9485474,16370456,8781940,178,57648,6104,769964
48217.45,9663448,9486043,16370456,8793436,178,57648,6109,769964
49219.99,9664042,9486614,16370456,8792696,178,57648,6116,770092
50222.9,9664635,9487184,16370456,8792664,178,57648,6122,770092
51225.6,9665230,9487755,16370456,8792424,178,57648,6128,770092
52229.87,9665827,9488328,16370456,8792424,178,57648,6133,770220
53232.45,9666422,9488899,16370456,8792424,178,57648,6139,770220
54235.37,9667016,9489470,16370456,8792424,178,57648,6145,770220
55238.66,9667612,9490039,16370456,8791164,179,57648,6151,770348
56241.91,9668207,9490611,16370456,8790912,179,57648,6157,770476
57245.08,9668803,9491182,16370456,8790420,180,57648,6162,770476
58249.04,9669399,9491756,16370456,8790420,180,57648,6167,770476
59253.41,9669998,9492329,16370456,8790172,180,57648,6174,770476
60256.61,9670592,9492865,16370456,8788620,181,57648,6201,771840
61261.84,9671187,9493275,16370456,8647504,181,57648,6261,783904
62263.37,9671777,9493796,16370456,8638540,182,58032,6282,784708
63267.47,9672372,9494364,16370456,8653160,182,58032,6288,784708
64271.05,9672966,9494933,16370456,8652660,182,58032,6295,784708
65274.62,9673559,9495499,16370456,8645424,182,58032,6301,784708
66279.7,9674154,9496071,16370456,8644932,182,58032,6307,784836
67286.13,9674750,9496643,16370456,8645184,182,58032,6313,784964
68290.83,9675345,9497211,16370456,8644692,182,58032,6320,784964
69295.37,9675942,9497781,16370456,8644444,183,58032,6328,784964
70299.31,9676539,9498346,16370456,8643980,183,58032,6336,784964
71303.02,9677133,9498919,16370456,8643728,183,58032,6341,784964
72306.59,9677728,9499487,16370456,8643240,183,58032,6347,784964
73310.93,9678324,9500060,16370456,8643240,183,58032,6353,784964
74316.55,9678919,9500630,16370456,8643240,184,58032,6359,784964
75319.8,9679514,9501196,16370456,8641980,184,58032,6365,784964
76322.78,9680107,9501766,16370456,8641228,184,58032,6371,785220
77324.93,9680703,9502337,16370456,8640976,184,58032,6377,785348
78328.18,9681297,9502870,16370456,8605592,184,58288,6397,785152
79330.6,9681889,9503436,16370456,8624040,184,58288,6405,784988
80334.9,9682484,9504005,16370456,8623552,184,58288,6411,784988
81337.96,9683080,9504574,16370456,8622040,185,58288,6418,784988
82340.84,9683675,9505145,16370456,8622040,185,58288,6423,784988
