response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0401,0.0087,0.0000,0.0001,0.0312,0.0001,200,0.1029
0.0564,0.0085,0.0000,0.0001,0.0473,0.0001,200,0.1029
0.0566,0.0084,0.0000,0.0001,0.0474,0.0001,200,0.1028
0.0737,0.0089,0.0000,0.0000,0.0647,0.0001,200,0.1029
0.0737,0.0087,0.0000,0.0001,0.0648,0.0001,200,0.1030
0.0867,0.0087,0.0000,0.0001,0.0779,0.0001,200,0.1032
0.1001,0.0087,0.0000,0.0000,0.0909,0.0002,200,0.1029
0.1072,0.0089,0.0000,0.0001,0.0981,0.0001,200,0.1028
0.1095,0.0087,0.0000,0.0001,0.1003,0.0001,200,0.1029
0.1171,0.0087,0.0000,0.0001,0.1083,0.0000,200,0.1032
0.0362,0.0069,0.0000,0.0000,0.0291,0.0001,200,0.2030
0.0528,0.0071,0.0000,0.0000,0.0456,0.0000,200,0.2029
0.0657,0.0071,0.0000,0.0000,0.0585,0.0001,200,0.2030
0.0780,0.0072,0.0000,0.0000,0.0707,0.0001,200,0.2029
0.0989,0.0072,0.0000,0.0000,0.0916,0.0001,200,0.2028
0.1159,0.0070,0.0000,0.0000,0.1087,0.0001,200,0.2029
0.1248,0.0070,0.0000,0.0001,0.1176,0.0001,200,0.2030
0.1596,0.0102,0.0000,0.0000,0.1491,0.0002,200,0.2101
0.1636,0.0079,0.0000,0.0000,0.1556,0.0001,200,0.2124
0.1670,0.0102,0.0000,0.0000,0.1565,0.0002,200,0.2203
0.0983,0.0092,0.0000,0.0001,0.0889,0.0001,200,0.3029
0.1163,0.0093,0.0000,0.0000,0.1069,0.0001,200,0.3029
0.1178,0.0093,0.0000,0.0000,0.1084,0.0000,200,0.3029
0.1748,0.0094,0.0000,0.0000,0.1653,0.0001,200,0.3029
0.1840,0.0093,0.0000,0.0000,0.1745,0.0001,200,0.3029
0.1820,0.0035,0.0000,0.0000,0.1783,0.0001,200,0.3188
0.1865,0.0038,0.0000,0.0001,0.1826,0.0000,200,0.3278
0.1522,0.0054,0.0000,0.0001,0.1466,0.0001,200,0.3697
0.1534,0.0089,0.0000,0.0000,0.1444,0.0000,200,0.3760
0.1553,0.0083,0.0000,0.0001,0.1468,0.0001,200,0.3873
0.1528,0.0075,0.0000,0.0000,0.1451,0.0001,200,0.4033
0.1416,0.0039,0.0000,0.0000,0.1376,0.0001,200,0.4206
0.1527,0.0053,0.0000,0.0001,0.1473,0.0000,200,0.4192
0.1112,0.0093,0.0000,0.0000,0.1018,0.0001,200,0.4776
0.1182,0.0070,0.0000,0.0001,0.1111,0.0001,200,0.4869
0.1110,0.0135,0.0000,0.0000,0.0973,0.0001,200,0.5007
0.1087,0.0077,0.0000,0.0000,0.1009,0.0001,200,0.5143
0.1011,0.0075,0.0000,0.0000,0.0936,0.0001,200,0.5219
0.1268,0.0131,0.0000,0.0000,0.1136,0.0001,200,0.5294
0.1220,0.0058,0.0000,0.0000,0.1161,0.0001,200,0.5426
0.1316,0.0059,0.0000,0.0000,0.1257,0.0001,200,0.5561
0.1380,0.0096,0.0000,0.0000,0.1283,0.0001,200,0.5622
0.1354,0.0060,0.0000,0.0000,0.1293,0.0000,200,0.5718
0.1254,0.0064,0.0000,0.0000,0.1189,0.0001,200,0.5889
0.1200,0.0113,0.0000,0.0001,0.1086,0.0001,200,0.6117
0.1266,0.0065,0.0000,0.0000,0.1200,0.0001,200,0.6051
0.1339,0.0069,0.0000,0.0000,0.1270,0.0001,200,0.6230
0.1477,0.0070,0.0000,0.0000,0.1405,0.0001,200,0.6230
0.1455,0.0070,0.0000,0.0000,0.1384,0.0001,200,0.6562
0.1505,0.0059,0.0000,0.0000,0.1445,0.0000,200,0.6646
0.1348,0.0090,0.0000,0.0000,0.1257,0.0000,200,0.6877
0.1306,0.0070,0.0000,0.0000,0.1235,0.0001,200,0.7002
0.1325,0.0068,0.0000,0.0000,0.1255,0.0001,200,0.7072
0.1358,0.0085,0.0000,0.0000,0.1272,0.0001,200,0.7143
0.1419,0.0060,0.0000,0.0000,0.1357,0.0001,200,0.7317
0.1525,0.0060,0.0000,0.0000,0.1463,0.0001,200,0.7317
0.1504,0.0063,0.0000,0.0000,0.1440,0.0001,200,0.7569
0.1439,0.0038,0.0000,0.0000,0.1400,0.0001,200,0.7707
