time,total,idle,mem_total,mem_free,2257/cpu,2257/rss,2290/cpu,2290/rss,2305/cpu,2305/rss,2313/cpu,2313/rss,25899/cpu,25899/rss,3197/cpu,3197/rss,3198/cpu,3198/rss
1008.18,1952728,1704237,3887864,546900,23591,114036,9638,71820,57304,704444,11410,124244,497,51100,486,42116,2115,91656
2009.97,1953123,1704609,3887864,546144,23594,114036,9639,71820,57311,704444,11413,124244,497,51100,487,42120,2115,91656
3012.03,1953512,1704918,3887864,524904,23602,114036,9641,71820,57330,704444,11416,124244,497,51100,487,42120,2117,91656
4016.01,1953900,1705267,3887864,524300,23607,114036,9642,71820,57341,704444,11419,124244,497,51100,487,42120,2118,91656
5018.44,1954292,1705595,3887864,537424,23612,114036,9646,71820,57355,704444,11422,124244,498,51100,487,42120,2119,91656
6020.37,1954688,1705936,3887864,543060,23616,114036,9647,71820,57363,704444,11423,124244,498,51100,487,42120,2119,91656
7022.26,1955080,1706282,3887864,549708,23620,114036,9648,71820,57372,704444,11425,124244,498,51100,487,42120,2119,91656
8024.18,1955469,1706610,3887864,536272,23626,114036,9652,71820,57386,704444,11427,124244,498,51100,487,42120,2119,91656
9026.03,1955864,1706966,3887864,524956,23629,114036,9654,71820,57392,704444,11428,124244,498,51100,487,42120,2121,91656
10027.99,1956256,1707290,3887864,533792,23634,114036,9656,71820,57406,704444,11431,124244,499,51100,487,42120,2121,91656
11030.15,1956650,1707632,3887864,544184,23637,114036,9657,71820,57444,704444,11433,124244,499,51100,487,42120,2121,91656
12032.7,1957041,1707926,3887864,547308,23643,114036,9659,71820,57481,682976,11436,124244,499,51100,487,42120,2121,91656
13034.58,1957436,1708287,3887864,550600,23647,114036,9660,71820,57490,682976,11436,124244,499,51100,487,42120,2121,91656
14037.67,1957831,1708635,3887864,538284,23652,114036,9662,71820,57500,682976,11438,124244,499,51100,487,42120,2121,91656
15042.91,1958218,1708959,3887864,554228,23658,114036,9664,71820,57515,682976,11443,124244,499,51100,487,42120,2122,91656
16044.92,1958612,1709273,3887864,550588,23664,114036,9667,71820,57531,682976,11446,124244,499,51100,487,42120,2122,91656
17046.73,1959003,1709613,3887864,566076,23667,114036,9668,71820,57540,682976,11447,124244,500,51100,487,42120,2122,91656
18048.78,1959395,1709948,3887864,574252,23672,114036,9671,71820,57549,682976,11449,124244,500,51100,487,42120,2123,91656
19050.61,1959785,1710292,3887864,565684,23676,114036,9672,71820,57559,682976,11450,124244,500,51100,487,42120,2123,91656
20053.3,1960182,1710668,3887864,566752,23680,114036,9673,71820,57565,682976,11452,124244,500,51100,487,42120,2123,91656
21056.89,1960573,1710981,3887864,555988,23685,114036,9675,71820,57577,682976,11454,124244,501,51100,487,42120,2123,91656
22058.79,1960967,1711350,3887864,576204,23688,114036,9677,71820,57583,682976,11456,124244,501,51100,488,42120,2124,91656
23060.69,1961357,1711689,3887864,580744,23694,114036,9678,71820,57595,682976,11458,124244,501,51104,488,42120,2124,91656
24062.59,1961751,1712032,3887864,578524,23698,114036,9679,71820,57606,682976,11460,124244,501,51104,488,42120,2124,91656
25064.5,1962147,1712380,3887864,570236,23702,114036,9682,71820,57614,682976,11461,124244,501,51104,488,42120,2124,91656
26068.38,1962538,1712713,3887864,553616,23706,114036,9683,71820,57625,682980,11464,124244,501,51104,488,42120,2124,91656
27070.39,1962931,1713035,3887864,558864,23712,114036,9686,71820,57638,682980,11466,124244,501,51104,488,42120,2125,91656
28072.3,1963321,1713365,3887864,552348,23716,114036,9688,71820,57649,682980,11469,124244,501,51104,488,42120,2125,91656
29074.97,1963717,1713714,3887864,542496,23721,114036,9690,71820,57659,682980,11471,124244,502,51104,488,42120,2125,91656
30078.17,1964109,1714058,3887864,567388,23725,114040,9691,71820,57667,682980,11473,124244,502,51104,488,42120,2125,91656
31080.61,1964494,1714373,3887864,569084,23733,114040,9693,71820,57678,682980,11475,124244,502,51104,488,42120,2125,91656
32084.93,1964894,1714671,3887864,569968,23736,114040,9694,71820,57689,682980,11480,124244,502,51104,488,42124,2125,91656
33086.87,1965281,1714977,3887864,574288,23743,114040,9696,71820,57700,682980,11482,124244,502,51104,488,42124,2126,91656
34088.81,1965666,1715295,3887864,579380,23746,114040,9697,71820,57710,682980,11484,124244,502,51104,488,42124,2127,91656
35090.67,1966064,1715611,3887864,584684,23751,114040,9699,71820,57721,682980,11485,124244,503,51104,488,42124,2127,91656
36092.63,1966444,1715916,3887864,570612,23754,114040,9700,71820,57730,682980,11488,124244,503,51104,488,42124,2127,91656
37094.46,1966831,1716230,3887864,568764,23757,114040,9702,71820,57738,682980,11489,124244,503,51104,488,42124,2127,91656
38096.38,1967222,1716521,3887864,561484,23764,114040,9707,71820,57752,682980,11492,124244,503,51104,488,42124,2128,91656
39098.23,1967617,1716832,3887864,560312,23768,114040,9708,71820,57763,682980,11494,124244,503,51104,488,42124,2128,91656
40100.42,1968004,1717159,3887864,560212,23772,114040,9710,71820,57770,682980,11496,124244,503,51104,488,42124,2128,91656
41102.58,1968392,1717460,3887864,559960,23777,114040,9711,71820,57780,682980,11497,124244,504,51104,488,42124,2129,91656
42104.49,1968793,1717774,3887864,565308,23780,114040,9712,71820,57790,682980,11501,124244,504,51104,489,42152,2129,91656
43108.04,1969185,1718055,3887864,564104,23787,114040,9715,71820,57803,682980,11502,124244,504,51104,489,42152,2129,91656
44109.98,1969573,1718356,3887864,570452,23793,114040,9716,71820,57816,682980,11504,124244,504,51104,489,42152,2129,91656
45111.95,1969953,1718675,3887864,566664,23796,114040,9718,71820,57825,682980,11506,124244,504,51112,489,42152,2129,91656
46113.81,1970342,1718941,3887864,579108,23812,114044,9721,71820,57863,682984,11516,124244,505,51112,489,42156,2133,91656
47115.66,1970737,1719265,3887864,581432,23818,114044,9723,71820,57879,682988,11517,124244,505,51112,489,42156,2135,91656
48118.53,1971135,1719552,3887864,582428,23823,114044,9725,71820,57890,682988,11519,124244,505,51112,489,42156,2136,91656
49123.37,1971518,1719836,3887864,576064,23831,114044,9728,71820,57909,682988,11523,124244,505,51112,490,42164,2137,91656
50125.46,1971913,1720166,3887864,570136,23838,114044,9730,71820,57925,682988,11527,124244,506,51112,491,42172,2139,91660
51127.94,1972312,1720481,3887864,567872,23842,114044,9731,71820,57936,682988,11529,124244,507,51112,491,42172,2140,91660
52129.78,1972706,1720785,3887864,553004,23846,114044,9733,71820,57944,682988,11532,124244,507,51112,491,42172,2140,91660
53131.72,1973094,1721076,3887864,557528,23852,114044,9735,71820,57958,682988,11534,124244,507,51112,491,42172,2140,91660
54135.61,1973488,1721367,3887864,561820,23857,114044,9735,71820,57968,682988,11536,124244,508,51112,491,42172,2140,91660
55137.81,1973874,1721673,3887864,562880,23861,114044,9739,71820,57982,682988,11539,124244,509,51112,491,42172,2141,91660
56139.75,1974263,1721962,3887864,551072,23866,114044,9740,71820,57990,682988,11540,124244,509,51112,491,42172,2141,91660
57145.82,1974658,1722266,3887864,550588,23871,114044,9741,71820,58002,682988,11542,124244,509,51112,491,42172,2141,91660
58147.84,1975053,1722575,3887864,558132,23874,114044,9744,71820,58011,682988,11546,124244,509,51112,491,42172,2141,91660
59150.63,1975439,1722884,3887864,577364,23879,114044,9746,71820,58021,682988,11547,124244,509,51112,491,42172,2142,91660
60155.13,1975824,1723173,3887864,567716,23884,114044,9747,71820,58032,682988,11550,124244,509,51112,491,42172,2142,91660
61157.2,1976208,1723413,3887864,567964,23901,114048,9750,71820,58071,682992,11557,124244,511,51112,493,42236,2146,91660
62159.75,1976600,1723738,3887864,562704,23904,114048,9751,71820,58081,682992,11560,124244,511,51112,493,42236,2146,91660
63161.61,1976986,1724027,3887864,561020,23913,114048,9753,71820,58098,682992,11564,124244,511,51112,493,42236,2147,91660
64163.57,1977372,1724336,3887864,562916,23916,114048,9754,71820,58108,682992,11565,124244,511,51112,493,42236,2148,91660
65165.8,1977775,1724656,3887864,556628,23920,114048,9757,71820,58118,682996,11567,124244,511,51112,493,42236,2148,91660
66170.24,1978164,1724939,3887864,554112,23925,114048,9759,71820,58127,683000,11569,124244,511,51112,493,42236,2148,91660
67173.82,1978555,1725241,3887864,559748,23932,114048,9761,71820,58137,683000,11571,124244,512,51112,493,42236,2149,91660
68175.82,1978935,1725530,3887864,566968,23936,114048,9763,71820,58148,683000,11574,124244,512,51112,493,42236,2149,91660
69178.44,1979327,1725846,3887864,581868,23940,114048,9764,71820,58159,683000,11575,124244,512,51112,493,42236,2149,91660
70183.42,1979726,1726008,3887864,576692,23946,114048,9767,71820,58332,683020,11578,124244,512,51112,493,42236,2149,91660
71188.48,1980123,1726285,3887864,565288,23951,114048,9768,71820,58374,688200,11581,124244,512,51112,493,42236,2150,91660
72190.71,1980517,1726576,3887864,557156,23957,114048,9771,71820,58386,688336,11584,124244,513,51112,493,42236,2150,91660
73193.03,1980915,1726889,3887864,555252,23962,114048,9772,71820,58398,688528,11585,124244,513,51112,493,42236,2150,91660
74195.36,1981310,1727204,3887864,548452,23966,114048,9773,71820,58408,688612,11587,124244,513,51112,493,42236,2151,91660
75197.43,1981695,1727514,3887864,550016,23970,114048,9776,71820,58418,688664,11589,124244,513,51112,493,42236,2151,91660
76199.5,1982083,1727831,3887864,558272,23976,114048,9777,71820,58429,688728,11592,124268,513,51112,493,42236,2152,91660
77202.77,1982470,1728128,3887864,568800,23981,114048,9779,71820,58443,688748,11594,124268,514,51112,493,42236,2152,91660
78204.8,1982858,1728424,3887864,565976,23986,114048,9782,71820,58453,688788,11596,124268,514,51112,493,42236,2152,91660
79206.69,1983256,1728737,3887864,555728,23991,114052,9784,71820,58463,688828,11599,124268,514,51112,493,42236,2153,91660
80212.14,1983653,1729062,3887864,544348,23994,114056,9786,71820,58473,688872,11599,124268,514,51112,493,42236,2153,91660
81214.03,1984052,1729372,3887864,548668,24001,114060,9787,71820,58482,688900,11602,124268,514,51112,493,42236,2153,91660
82215.93,1984445,1729664,3887864,544432,24006,114060,9788,71820,58492,688924,11605,124300,514,51112,494,42240,2153,91660
83220.13,1984833,1729931,3887864,539064,24016,114060,9790,71820,58510,689068,11607,124304,514,51112,494,42240,2154,91660
84222.22,1985218,1730260,3887864,537564,24019,114060,9791,71820,58518,689088,11609,124304,514,51112,494,42240,2154,91660
85224.98,1985609,1730580,3887864,555584,24024,114060,9793,71820,58527,689180,11610,124304,515,51112,494,42240,2154,91660
86227.68,1985999,1730882,3887864,544188,24028,114060,9794,71820,58537,689248,11612,124304,515,51112,494,42240,2154,91660
87229.59,1986384,1731211,3887864,542560,24032,114060,9797,71820,58548,689480,11614,124304,516,51112,494,42240,2154,91660
88232.43,1986786,1731526,3887864,545240,24038,114064,9798,71820,58562,689628,11618,125016,516,51112,494,42240,2155,91660
89235.41,1987182,1731831,3887864,557684,24043,114064,9801,71820,58575,689788,11620,125056,516,51112,494,42240,2155,91660
90237.56,1987565,1732133,3887864,558608,24047,114064,9803,71820,58584,689892,11621,125064,516,51112,494,42240,2156,91660
91239.41,1987949,1732408,3887864,543488,24053,114064,9804,71820,58598,690164,11631,125192,516,51112,494,42240,2156,91660
92242.43,1988342,1732697,3887864,533284,24057,114064,9806,71820,58607,690264,11635,125196,516,51112,495,42240,2156,91660
93244.63,1988735,1733012,3887864,529764,24062,114064,9808,71820,58617,690372,11636,125196,516,51112,495,42240,2156,91660
94249.12,1989133,1733303,3887864,534116,24069,114064,9809,71820,58631,690592,11639,125200,517,51112,495,42240,2157,91660
95251.04,1989539,1733626,3887864,541716,24073,114064,9811,71820,58641,690764,11641,125200,517,51112,495,42240,2157,91660
96252.92,1989937,1733933,3887864,552752,24076,114064,9814,71820,58649,690936,11642,125200,517,51112,495,42240,2157,91660
97254.77,1990333,1734232,3887864,548252,24080,114064,9815,71820,58658,691116,11645,125200,517,51112,495,42240,2157,91660
98257.28,1990713,1734509,3887864,554004,24086,114064,9818,71820,58671,691456,11647,125204,517,51112,495,42240,2157,91660
99260.48,1991101,1734802,3887864,565068,24090,114064,9820,71820,58683,691556,11649,125204,517,51112,495,42240,2157,91660
100262.73,1991493,1735091,3887864,551080,24097,114064,9823,71820,58696,691724,11652,125204,517,51112,495,42240,2158,91660
101264.62,1991886,1735391,3887864,560280,24102,114064,9824,71820,58708,692072,11653,125204,518,51112,495,42240,2158,91660
102266.58,1992282,1735730,3887864,559336,24105,114064,9826,71820,58716,692300,11656,125204,518,51112,496,42248,2158,91660
103270.19,1992673,1736048,3887864,545760,24111,114064,9827,71820,58726,692532,11658,125204,519,51112,496,42248,2161,91660
104272.14,1993070,1736404,3887864,560632,24114,114064,9828,71820,58736,692676,11659,125212,519,51112,496,42248,2161,91660
105275.64,1993454,1736689,3887864,558660,24119,114064,9830,71820,58747,692984,11661,125212,519,51112,496,42248,2163,91660
106277.71,1993842,1736973,3887864,545948,24124,114064,9831,71820,58761,693376,11665,125212,519,51112,496,42248,2163,91660
107279.59,1994232,1737266,3887864,528320,24128,114064,9833,71820,58771,693760,11666,125212,519,51112,496,42248,2163,91660
108282.21,1994618,1737559,3887864,540260,24132,114064,9835,71820,58780,693912,11668,125212,519,51112,496,42248,2163,91660
109284.54,1995018,1737877,3887864,531072,24137,114064,9838,71820,58789,694080,11671,125216,520,51112,496,42248,2164,91660
110287.97,1995411,1738170,3887864,534324,24142,114064,9839,71820,58801,694460,11673,125216,520,51112,496,42248,2164,91660
111289.98,1995801,1738518,3887864,534724,24147,114064,9841,71820,58811,694716,11674,125216,520,51112,496,42248,2164,91660
112292.68,1996191,1738831,3887864,528480,24151,114064,9842,71820,58820,694928,11677,125216,520,51112,496,42248,2164,91660
113295.76,1996579,1739161,3887864,548668,24158,114064,9844,71820,58832,695300,11679,125216,520,51112,497,42248,2164,91660
114297.62,1996965,1739472,3887864,547800,24161,114064,9845,71820,58843,695528,11680,125216,520,51112,497,42248,2164,91660
115300.3,1997362,1739765,3887864,546484,24168,114064,9847,71820,58855,695916,11683,125216,521,51112,497,42248,2164,91660
116302.18,1997752,1740051,3887864,547420,24171,114064,9849,71820,58864,696152,11685,125216,521,51112,497,42248,2165,91660
117304.33,1998148,1740360,3887864,548468,24177,114064,9850,71820,58876,696552,11687,125216,521,51112,497,42248,2166,91660
118306.51,1998530,1740661,3887864,544252,24181,114064,9853,71820,58885,696664,11690,125232,521,51112,497,42248,2166,91660
119308.4,1998925,1740963,3887864,540936,24185,114064,9855,71820,58897,697076,11692,125232,521,51112,497,42248,2166,91660
120310.66,1999314,1741312,3887864,542072,24189,114064,9856,71820,58905,697252,11693,125232,521,51112,497,42248,2166,91660
121312.63,1999700,1741605,3887864,539048,24195,114064,9858,71820,58923,697888,11696,125232,521,51112,497,42248,2166,91660
122314.48,2000096,1741979,3887864,538800,24198,114064,9859,71820,58929,697944,11699,125232,521,51112,497,42248,2167,91660
123317.08,2000489,1742315,3887864,540876,24204,114064,9861,71820,58940,698308,11701,125232,522,51112,497,42248,2167,91660
124319.1,2000878,1742665,3887864,543288,24207,114064,9862,71820,58948,698492,11702,125232,522,51112,497,42248,2167,91660
125321.36,2001272,1743005,3887864,537336,24210,114064,9864,71820,58958,698932,11704,125232,522,51112,497,42248,2167,91660
126325.3,2001665,1743341,3887864,536912,24215,114064,9865,71820,58967,699188,11706,125232,523,51112,497,42248,2167,91660
127327.96,2002045,1743653,3887864,532396,24222,114064,9870,71820,58981,699352,11708,125232,523,51112,497,42248,2168,91660
128330.38,2002435,1743970,3887864,536212,24226,114064,9871,71820,58993,699724,11711,125232,523,51112,497,42248,2168,91660
129332.43,2002835,1744343,3887864,536212,24231,114064,9873,71820,59002,700052,11712,125232,523,51112,497,42248,2169,91660
130334.5,2003225,1744653,3887864,531532,24237,114064,9874,71820,59017,702448,11714,125232,523,51112,497,42248,2169,91660
131336.41,2003620,1745026,3887864,531372,24241,114064,9875,71820,59025,702736,11716,125232,523,51112,497,42248,2169,91660
132340.24,2004012,1745340,3887864,533860,24246,114064,9877,71820,59038,703124,11719,125232,523,51112,497,42248,2169,91660
133342.43,2004404,1745697,3887864,542468,24251,114064,9878,71820,59048,703560,11721,125232,524,51112,498,42248,2169,91660
134344.39,2004798,1746043,3887864,532452,24255,114064,9879,71820,59058,703848,11723,125232,524,51112,498,42248,2170,91660
135347.33,2005195,1746378,3887864,536336,24260,114064,9882,71820,59069,704276,11724,125232,524,51112,499,42248,2170,91660
136350.74,2005588,1746715,3887864,515688,24264,114064,9883,71820,59081,704672,11727,125232,524,51112,499,42248,2170,91660
137354.91,2005983,1747055,3887864,523500,24269,114064,9886,71820,59089,705056,11729,125232,524,51112,499,42248,2171,91660
138358.84,2006372,1747397,3887864,526352,24274,114064,9889,71820,59102,705164,11732,125232,524,51112,499,42248,2171,91660
139360.76,2006770,1747709,3887864,544168,24279,114064,9890,71820,59116,705756,11734,125232,525,51112,499,42248,2172,91660
140362.62,2007170,1748089,3887864,544440,24282,114064,9891,71820,59120,705932,11734,125232,525,51112,499,42248,2172,91660
141364.62,2007564,1748398,3887864,516272,24288,114064,9893,71820,59136,706812,11736,125232,526,51112,499,42248,2173,91660
142366.56,2007961,1748777,3887864,523060,24291,114064,9894,71820,59139,706912,11739,125232,526,51112,499,42248,2173,91660
143370.72,2008357,1749097,3887864,525092,24298,114064,9896,71820,59154,707540,11741,125232,526,51112,499,42248,2173,91660
144373.13,2008746,1749448,3887864,535180,24301,114064,9898,71820,59165,707816,11743,125232,526,51112,499,42248,2173,91660
145375.01,2009140,1749789,3887864,536852,24306,114064,9900,71820,59174,708304,11744,125232,526,51112,499,42248,2173,91660
146376.94,2009535,1750127,3887864,525196,24310,114064,9901,71820,59184,708740,11746,125232,526,51112,499,42248,2173,91660
