time,sent,received,total
1.68,15331.16,52800.8,66.53
1002.42,15334.1,52814.66,66.55
2003.08,15339.18,52832.96,66.57
3006.75,15346.52,53130.05,66.87
4007.41,15352.82,53155.79,66.9
5008.02,15355.85,53164.77,66.91
6008.62,15357.46,53166.06,66.92
7009.23,15358.3,53167.28,66.92
8009.83,15358.3,53167.34,66.92
9010.47,15361.04,53178.79,66.93
10011.06,15361.11,53179.02,66.93
11011.65,15361.48,53179.21,66.93
12012.24,15362.06,53180.33,66.94
13013.24,15362.06,53180.39,66.94
14014.38,15362.76,53184.54,66.94
15015.48,15362.76,53184.6,66.94
16016.61,15364.56,53185.97,66.94
17017.74,15367.62,53189.99,66.95
18018.82,15367.62,53190.05,66.95
19019.46,15368.52,53194.42,66.96
20020.04,15368.87,53194.7,66.96
21020.63,15370.19,53195.03,66.96
22021.22,15371.03,53196.41,66.96
23022.29,15371.03,53196.47,66.96
24023.44,15371.5,53200.62,66.96
25024.59,15371.86,53200.73,66.96
26025.71,15373.48,53202.05,66.97
27026.91,15374.18,53203.28,66.97
28028.05,15374.18,53203.34,66.97
29028.8,15376.11,53208.16,66.98
30029.41,15376.11,53208.27,66.98
31030.04,15386.77,53218.45,67.0
32030.75,15440.82,53270.22,67.1
33031.34,15462.61,53289.64,67.14
34032.19,15496.47,53321.5,67.2
35033.23,15532.99,53358.92,67.28
36034.76,15550.95,53376.4,67.31
37035.62,15590.16,53414.89,67.39
38037.3,15628.75,53459.48,67.47
39038.37,15648.53,53478.91,67.51
40038.96,15691.33,53521.99,67.59
41039.56,15750.07,53577.61,67.7
42040.14,15808.34,53633.28,67.81
43040.74,15832.08,53655.48,67.86
44041.59,15877.68,53699.58,67.95
45043.02,15916.66,53740.84,68.02
46044.5,15950.32,53773.33,68.09
47045.58,15967.34,53822.28,68.15
48046.75,15993.56,53860.75,68.22
49047.53,16047.05,53912.24,68.32
50048.52,16102.63,54315.83,68.77
51049.34,16117.65,54597.32,69.06
52050.01,16135.79,54628.42,69.11
53050.78,16190.34,54680.11,69.21
54051.44,16248.41,54735.43,69.32
55052.06,16312.26,54799.92,69.45
56052.68,16330.93,54817.62,69.48
57053.29,16395.89,54879.13,69.6
58054.23,16426.85,54908.74,69.66
59055.06,16461.29,54942.45,69.73
60055.77,16524.04,55001.73,69.85
61056.38,16581.83,55060.36,69.96
62056.99,16629.41,55128.65,70.08
63058.28,16653.75,55151.82,70.12
64059.25,16695.48,55493.96,70.5
65059.97,16722.29,55521.04,70.55
66060.64,16748.12,55545.45,70.6
67061.32,16796.63,55589.44,70.69
68061.98,16863.54,55653.11,70.82
69063.07,16929.06,55715.61,70.94
70064.1,16951.06,55737.42,70.98
71065.21,16958.7,55747.84,71.0
72066.25,16990.56,55780.11,71.06
73067.28,17004.74,55793.01,71.09
74068.26,17036.08,55824.85,71.15
75069.18,17078.19,55876.27,71.24
76070.45,17116.11,55914.39,71.32
77071.42,17157.7,55961.48,71.41
78072.32,17195.71,55997.79,71.48
79073.26,17231.85,56033.38,71.55
80073.99,17266.76,56065.09,71.61
81074.6,17290.35,56090.68,71.66
82075.22,17319.21,56118.04,71.72
83075.83,17381.77,56177.16,71.83
84076.44,17434.18,56225.75,71.93
85077.27,17482.61,56276.99,72.03
86078.28,17521.25,56313.34,72.1
87079.25,17560.88,56351.78,72.18
88080.3,17574.87,56365.23,72.21
89081.38,17583.48,56372.22,72.22
90082.13,17604.28,56391.84,72.26
91082.77,17668.16,56453.11,72.38
92083.39,17731.78,56517.52,72.51
93084.01,17794.56,56577.07,72.63
94084.62,17858.79,56639.19,72.75
95085.5,17878.31,56660.6,72.79
96086.23,17890.22,56672.29,72.81
97086.84,17900.73,56684.4,72.84
98087.45,17963.4,56743.88,72.96
99088.05,18029.42,56806.1,73.08
100088.67,18091.75,56865.48,73.2
101089.52,18130.51,56902.63,73.27
102090.54,18156.6,56931.94,73.33
103091.63,18187.21,56962.04,73.39
104092.65,18198.56,56972.71,73.41
105093.65,18205.9,56979.68,73.42
106094.39,18263.58,57043.89,73.54
107094.97,18324.07,57102.09,73.66
108095.58,18389.28,57164.0,73.78
109096.18,18439.24,57209.89,73.88
110096.87,18468.87,57237.33,73.93
111097.66,18512.29,57279.36,74.01
112098.66,18520.02,57287.68,74.03
113099.66,18534.34,57304.68,74.06
114100.6,18569.83,57339.62,74.13
115101.51,18606.63,57375.94,74.2
116102.19,18663.42,57433.64,74.31
117102.83,18723.39,57496.43,74.43
118103.45,18741.71,57514.24,74.47
119104.06,18805.46,57575.08,74.59
120104.68,18832.03,57599.97,74.64
121105.29,18871.3,57638.21,74.72
122105.9,18871.88,57639.33,74.72
123106.54,18872.75,57643.57,74.72
124107.16,18874.06,57644.85,74.72
125107.81,18877.09,57653.74,74.74
126108.92,18877.79,57657.89,74.74
127110.12,18879.07,57659.3,74.74
128111.39,18879.07,57659.36,74.74
129112.58,18881.78,57669.49,74.76
130113.76,18883.28,57670.89,74.76
131114.58,18883.79,57671.92,74.76
132115.2,18883.98,57672.26,74.76
133115.87,18884.99,57676.46,74.77
134116.48,18884.99,57676.46,74.77
135117.09,18884.99,57676.52,74.77
136118.13,18889.59,57692.97,74.79
137119.48,18890.49,57694.04,74.79
138120.57,18892.45,57702.34,74.8
139121.61,18892.45,57702.4,74.8
140122.8,18894.35,57703.83,74.8
141123.74,18895.11,57704.85,74.8
142124.83,18895.37,57705.38,74.8
143126.03,18896.27,57709.64,74.81
144127.31,18896.27,57709.7,74.81
145128.53,18896.27,57709.75,74.81
146129.76,18897.55,57715.02,74.82
147130.97,18897.64,57715.19,74.82
148132.15,18897.96,57715.47,74.82
149133.37,18899.32,57716.3,74.82
150134.74,18900.75,57717.54,74.82
151135.92,18903.12,57720.48,74.83
152136.67,18903.49,57720.67,74.83
153137.29,18904.26,57724.88,74.83
154137.91,18906.73,57733.94,74.84
155138.54,18907.02,57734.05,74.84
156139.15,18908.42,57739.42,74.85
157140.18,18908.62,57739.63,74.85
158141.34,18908.62,57739.69,74.85
159142.6,18908.62,57739.75,74.85
160143.79,18909.62,57739.8,74.85
161144.82,18911.08,57743.37,74.86
162145.54,18911.08,57743.43,74.86
163146.19,18911.55,57747.58,74.86
164197.13,18911.91,57747.69,74.86
165197.72,18911.91,57747.75,74.86
166198.34,18913.08,57753.1,74.87
167199.35,18913.62,57753.21,74.87
168200.5,18914.79,57753.94,74.87
169201.57,18914.79,57754.0,74.87
170202.75,18915.26,57754.24,74.87
171203.72,18916.88,57755.48,74.88
172204.4,18918.8,57757.67,74.88
173204.99,18918.86,57757.78,74.88
174205.6,18919.81,57762.12,74.88
175206.25,18920.0,57762.17,74.88
176206.87,18920.45,57763.35,74.89
177207.89,18921.55,57767.6,74.89
178209.07,18921.55,57767.66,74.89
179210.21,18921.55,57767.72,74.89
180211.38,18921.55,57767.78,74.89
181212.43,18925.22,57778.43,74.91
182213.17,18928.82,57800.46,74.93
183213.78,18932.9,57821.93,74.96
184214.41,18940.19,57859.74,75.0
185215.08,18942.39,57871.94,75.01
186215.71,18943.09,57873.06,75.02
187216.74,18943.86,57877.27,75.02
188218.48,18945.22,57878.09,75.02
189219.72,18946.17,57879.08,75.02
190220.85,18946.17,57879.14,75.02
191222.02,18947.11,57880.5,75.03
192223.01,18948.55,57881.73,75.03
193223.64,18948.55,57881.79,75.03
194224.25,18948.55,57881.85,75.03
195224.84,18949.31,57886.05,75.03
196225.47,18951.5,57889.21,75.04
197226.83,18953.96,57904.06,75.06
198227.95,18958.48,57925.33,75.08
199228.64,18960.7,57937.4,75.1
200229.25,18960.99,57937.51,75.1
201229.85,18961.63,57938.86,75.1
202230.48,18963.14,57940.27,75.1
203231.08,18963.4,57940.47,75.1
204231.67,18963.4,57940.47,75.1
205232.26,18964.31,57945.79,75.11
206232.86,18965.84,57948.48,75.11
207233.46,18966.54,57952.63,75.12
208234.43,18967.71,57953.3,75.12
209235.57,18967.71,57953.3,75.12
210236.63,18967.71,57953.36,75.12
211237.6,18970.01,57956.3,75.12
212238.67,18971.63,57957.67,75.13
213239.41,18971.82,57957.73,75.13
214240.01,18971.82,57957.79,75.13
215240.59,18973.12,57962.24,75.13
216241.2,18973.82,57963.3,75.13
217241.8,18974.58,57967.51,75.14
218242.83,18974.78,57967.72,75.14
219243.99,18974.78,57967.78,75.14
220245.14,18974.78,57967.89,75.14
221246.28,18976.95,57977.3,75.15
222247.42,18977.96,57977.36,75.15
223248.18,18979.26,57979.36,75.15
224248.78,18979.45,57979.61,75.16
225249.38,18980.46,57983.75,75.16
226249.98,18982.38,57993.17,75.17
227250.6,18983.08,57997.37,75.18
228251.48,18984.25,57998.1,75.18
229252.61,18984.63,57998.35,75.18
230253.75,18984.91,57998.4,75.18
231254.76,18987.12,58008.0,75.19
232255.75,18987.12,58008.06,75.19
233256.68,18988.82,58009.56,75.19
234257.37,18989.19,58009.7,75.19
235257.95,18989.54,58013.85,75.2
236258.55,18990.82,58015.09,75.2
237259.15,18991.92,58019.34,75.21
238259.76,18991.92,58019.4,75.21
239260.75,18991.92,58019.4,75.21
240261.93,18991.92,58019.46,75.21
241263.11,18993.63,58021.45,75.21
242264.2,18995.3,58029.85,75.22
243265.3,18997.69,58032.24,75.22
244266.72,18999.52,58033.33,75.23
245267.39,18999.87,58033.44,75.23
246267.98,19001.41,58038.72,75.23
247268.62,19002.24,58042.86,75.24
248269.22,19003.48,58043.07,75.24
249270.29,19004.94,58044.02,75.24
250271.48,19005.0,58044.3,75.24
251272.6,19005.68,58045.39,75.25
252273.92,19006.05,58045.52,75.25
253275.14,19007.48,58046.76,75.25
254275.86,19007.48,58046.88,75.25
255276.46,19007.48,58046.93,75.25
256277.04,19009.76,58052.77,75.26
257277.65,19010.59,58056.97,75.26
258278.28,19011.46,58057.79,75.26
