time,total,idle,mem_total,mem_free,2117/cpu,2117/rss,2292/cpu,2292/rss
1003.19,1975380,1910655,3887864,1723156,12863,100664,207,2816
2004.31,1975774,1911006,3887864,1710004,12868,100664,207,2816
3006.27,1976171,1911250,3887864,1663396,12873,100664,207,2816
4015.07,1976570,1911477,3887864,1643556,12881,100904,207,2816
5019.34,1976976,1911862,3887864,1643556,12884,100916,207,2816
6020.3,1977374,1912251,3887864,1644312,12886,100916,207,2816
7021.17,1977772,1912648,3887864,1644312,12887,100916,207,2816
8022.03,1978167,1913024,3887864,1649508,12888,100916,207,2816
9022.94,1978568,1913420,3887864,1649928,12890,100916,207,2816
10023.82,1978968,1913818,3887864,1650436,12891,100916,207,2816
11024.72,1979367,1914215,3887864,1650688,12891,100916,207,2816
12025.63,1979767,1914612,3887864,1651800,12892,100916,207,2816
13027.66,1980167,1915010,3887864,1655152,12893,100916,207,2816
14029.34,1980567,1915397,3887864,1656724,12899,100916,207,2816
15031.4,1980964,1915791,3887864,1656976,12901,100916,207,2816
16033.46,1981360,1916181,3887864,1658128,12904,100916,207,2816
17035.77,1981756,1916570,3887864,1659176,12907,100916,207,2816
18036.88,1982153,1916945,3887864,1652976,12909,100916,207,2816
19037.73,1982552,1917339,3887864,1654232,12912,100916,207,2816
20038.58,1982952,1917737,3887864,1654944,12913,100916,208,2816
21039.46,1983354,1918135,3887864,1656240,12914,100916,208,2816
22040.3,1983753,1918532,3887864,1657020,12916,100916,208,2816
23042.22,1984152,1918929,3887864,1657504,12916,100916,208,2816
24044.33,1984552,1919324,3887864,1658720,12918,100916,208,2816
25046.47,1984949,1919712,3887864,1658972,12924,100916,208,2816
26048.28,1985346,1920101,3887864,1660080,12927,100916,208,2816
27050.35,1985744,1920493,3887864,1660584,12929,100916,208,2816
28052.36,1986143,1920890,3887864,1661048,12931,100916,208,2816
29053.37,1986540,1921260,3887864,1661788,12933,100916,208,2816
30054.22,1986939,1921658,3887864,1661788,12933,100916,208,2816
31055.18,1987338,1922043,3887864,1661088,12934,100916,208,2816
32056.07,1987730,1922390,3887864,1661228,12935,100916,208,2816
33056.91,1988124,1922767,3887864,1661444,12937,100916,208,2816
