response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0475,0.0120,0.0000,0.0001,0.0352,0.0001,200,0.1024
0.0586,0.0118,0.0000,0.0001,0.0466,0.0000,200,0.1027
0.0641,0.0117,0.0000,0.0002,0.0521,0.0000,200,0.1027
0.0646,0.0120,0.0000,0.0002,0.0523,0.0000,200,0.1023
0.0740,0.0120,0.0000,0.0002,0.0617,0.0000,200,0.1024
0.0914,0.0122,0.0000,0.0001,0.0790,0.0000,200,0.1022
0.0912,0.0164,0.0000,0.0000,0.0748,0.0000,200,0.1027
0.1506,0.0163,0.0000,0.0001,0.1342,0.0001,200,0.1028
0.1508,0.0164,0.0000,0.0000,0.1343,0.0001,200,0.1028
0.1561,0.0165,0.0000,0.0001,0.1394,0.0001,200,0.1026
0.0649,0.0077,0.0000,0.0000,0.0571,0.0001,200,0.2023
0.0726,0.0078,0.0000,0.0000,0.0647,0.0001,200,0.2021
0.0821,0.0076,0.0000,0.0001,0.0743,0.0001,200,0.2023
0.0875,0.0081,0.0000,0.0000,0.0793,0.0001,200,0.2024
0.1159,0.0079,0.0000,0.0000,0.1079,0.0001,200,0.2021
0.1539,0.0077,0.0000,0.0000,0.1460,0.0001,200,0.2023
0.1583,0.0077,0.0000,0.0001,0.1504,0.0001,200,0.2023
0.1151,0.0051,0.0000,0.0000,0.1099,0.0001,200,0.2534
0.1202,0.0050,0.0000,0.0000,0.1151,0.0000,200,0.2536
0.1155,0.0084,0.0000,0.0000,0.1070,0.0000,200,0.2587
0.0828,0.0039,0.0000,0.0001,0.0787,0.0001,200,0.3031
0.1065,0.0040,0.0000,0.0000,0.1024,0.0001,200,0.3031
0.1088,0.0041,0.0000,0.0000,0.1046,0.0001,200,0.3031
0.1535,0.0041,0.0000,0.0000,0.1492,0.0001,200,0.3031
0.1504,0.0074,0.0000,0.0000,0.1428,0.0001,200,0.3180
0.1278,0.0122,0.0000,0.0000,0.1155,0.0001,200,0.3561
