time,total,idle,mem_total,mem_free,2257/cpu,2257/rss,2290/cpu,2290/rss,2305/cpu,2305/rss,2313/cpu,2313/rss,25899/cpu,25899/rss,3197/cpu,3197/rss,3198/cpu,3198/rss
1005.32,2181133,1897470,3887864,570528,26424,116324,10714,71848,64335,671172,12699,124172,619,51216,535,42096,2324,91684
2007.04,2181527,1897777,3887864,558460,26430,116324,10715,71848,64349,671172,12701,124172,620,51216,535,42096,2327,91768
3008.72,2181926,1898140,3887864,558600,26434,116324,10717,71848,64360,671172,12704,124172,620,51216,536,42096,2328,91768
4011.24,2182320,1898443,3887864,578752,26440,116324,10719,71848,64372,671172,12705,124172,620,51216,537,42096,2329,91768
5014.86,2182715,1898806,3887864,580264,26444,116324,10723,71848,64382,671172,12708,124172,621,51216,537,42096,2329,91768
6017.37,2183106,1899111,3887864,572564,26456,116324,10725,71848,64402,671172,12710,124172,621,51216,537,42096,2329,91768
7019.54,2183502,1899472,3887864,565020,26459,116324,10727,71848,64409,671172,12712,124172,621,51216,537,42096,2330,91768
8021.68,2183900,1899831,3887864,561436,26462,116324,10728,71848,64416,671172,12713,124172,622,51216,537,42096,2330,91768
9023.88,2184295,1900166,3887864,579712,26465,116324,10729,71848,64427,671172,12714,124172,622,51216,537,42096,2330,91768
10025.87,2184685,1900529,3887864,579784,26470,116324,10731,71848,64435,671172,12717,124172,622,51216,537,42096,2330,91768
11032.56,2185081,1900834,3887864,586400,26476,116324,10734,71848,64448,671172,12719,124172,622,51216,537,42096,2331,91768
12036.98,2185476,1901178,3887864,586844,26485,116324,10736,71848,64467,671172,12723,124172,622,51216,537,42096,2331,91768
13039.17,2185873,1901481,3887864,571220,26489,116324,10737,71848,64479,671172,12725,124172,623,51216,537,42096,2331,91768
14041.03,2186269,1901848,3887864,573788,26493,116324,10739,71848,64486,671172,12726,124172,623,51216,537,42096,2332,91768
15043.24,2186660,1902159,3887864,570740,26497,116324,10741,71848,64499,671172,12730,124172,623,51216,537,42096,2332,91768
16045.1,2187057,1902527,3887864,571928,26501,116324,10744,71848,64509,671172,12732,124172,623,51216,537,42096,2332,91768
17047.05,2187455,1902889,3887864,559812,26504,116324,10745,71848,64515,671172,12734,124172,623,51216,537,42096,2332,91768
18051.13,2187848,1903206,3887864,578304,26511,116324,10747,71848,64531,671172,12737,124172,623,51216,537,42096,2333,91768
19053.12,2188244,1903564,3887864,578544,26515,116324,10749,71848,64540,671180,12739,124172,623,51216,537,42096,2334,91768
20055.15,2188632,1903861,3887864,567220,26520,116324,10751,71848,64553,671180,12742,124172,624,51216,537,42096,2334,91768
21056.99,2189028,1904232,3887864,571976,26525,116324,10752,71848,64561,671180,12743,124172,624,51216,537,42096,2334,91768
22058.9,2189420,1904547,3887864,560760,26530,116324,10753,71848,64573,671180,12746,124172,624,51216,537,42096,2334,91768
23060.82,2189813,1904924,3887864,560928,26533,116324,10754,71848,64579,671180,12747,124172,624,51216,537,42096,2334,91768
24062.81,2190210,1905199,3887864,574040,26540,116324,10756,71848,64595,671180,12749,124172,625,51216,538,42096,2334,91768
25064.68,2190604,1905580,3887864,573924,26541,116324,10758,71848,64600,671180,12751,124172,625,51216,538,42096,2334,91768
26066.89,2190998,1905950,3887864,571684,26546,116324,10760,71848,64607,671180,12752,124172,625,51216,538,42096,2334,91768
27071.2,2191390,1906266,3887864,555740,26551,116324,10761,71848,64621,671180,12754,124172,625,51216,538,42096,2335,91768
28073.58,2191785,1906642,3887864,556488,26555,116324,10763,71848,64629,671180,12756,124172,625,51216,538,42096,2335,91768
29079.01,2192179,1906947,3887864,574628,26560,116324,10766,71848,64640,671180,12757,124172,626,51216,538,42096,2336,91768
30081.27,2192574,1907294,3887864,574460,26564,116324,10767,71848,64650,671180,12762,124172,626,51216,538,42096,2336,91768
31084.76,2192970,1907565,3887864,579324,26570,116964,10769,71848,64665,671180,12764,124172,626,51216,538,42096,2336,91768
32087.04,2193369,1907907,3887864,579448,26574,116964,10770,71848,64674,671180,12766,124172,626,51216,538,42096,2337,91768
33094.35,2193774,1908207,3887864,564900,26578,116964,10771,71848,64683,671180,12768,124172,626,51216,538,42096,2337,91768
34098.07,2194169,1908502,3887864,579604,26584,116964,10773,71848,64693,671180,12770,124172,626,51216,539,42096,2337,91768
35102.68,2194558,1908833,3887864,580336,26586,116964,10778,71848,64701,671180,12771,124172,626,51216,539,42096,2337,91768
36106.22,2194944,1909105,3887864,571636,26591,116964,10779,71848,64714,671180,12774,124172,627,51216,539,42096,2337,91768
37108.06,2195341,1909457,3887864,574568,26595,116964,10780,71848,64721,671180,12776,124172,627,51216,539,42096,2337,91768
38110.05,2195729,1909732,3887864,573076,26600,116964,10783,71848,64735,671180,12778,124172,627,51216,539,42096,2338,91768
39112.02,2196122,1910092,3887864,573076,26603,116964,10784,71848,64740,671180,12779,124172,627,51216,539,42096,2338,91768
40117.31,2196519,1910361,3887864,557000,26608,116964,10786,71848,64753,671180,12783,124172,628,51216,539,42096,2338,91768
41122.48,2196907,1910668,3887864,557100,26613,116964,10788,71848,64766,671180,12785,124172,628,51216,539,42096,2339,91768
42124.73,2197300,1910949,3887864,555884,26623,116964,10791,71848,64783,671180,12788,124172,628,51216,539,42096,2339,91768
43126.92,2197691,1911225,3887864,572728,26628,116964,10792,71848,64796,671180,12790,124172,628,51216,539,42096,2340,91768
44128.89,2198085,1911558,3887864,572480,26632,116964,10794,71848,64804,671180,12793,124172,628,51216,540,42096,2340,91768
45132.11,2198484,1911838,3887864,571132,26636,116964,10797,71848,64817,671180,12795,124172,628,51216,540,42096,2340,91768
46137.05,2198871,1912137,3887864,572612,26648,116964,10800,71848,64847,671184,12805,124172,629,51216,540,42096,2344,91768
47142.71,2199265,1912434,3887864,589736,26653,116964,10800,71848,64862,671184,12807,124172,629,51216,540,42096,2344,91768
48144.88,2199662,1912754,3887864,588280,26662,116964,10803,71848,64882,671188,12812,124172,630,51216,540,42096,2345,91772
49151.15,2200060,1913026,3887864,556528,26668,116964,10805,71848,64893,671188,12814,124172,630,51216,540,42096,2345,91772
50153.04,2200449,1913313,3887864,556528,26674,116964,10806,71848,64906,671192,12817,124172,630,51216,540,42096,2345,91772
51154.99,2200843,1913629,3887864,553608,26676,116964,10807,71848,64913,671192,12820,124172,630,51216,540,42096,2346,91772
52156.9,2201233,1913920,3887864,557480,26681,116964,10809,71848,64926,671192,12821,124172,631,51216,540,42096,2346,91772
53161.09,2201629,1914255,3887864,560560,26684,116964,10812,71848,64933,671192,12824,124172,631,51216,540,42096,2347,91772
54163.22,2202032,1914509,3887864,554804,26692,116964,10813,71848,64947,671192,12826,124172,631,51216,541,42112,2347,91772
55165.07,2202437,1914880,3887864,557060,26694,116964,10816,71848,64953,671192,12827,124172,631,51216,541,42112,2347,91772
56166.98,2202827,1915182,3887864,568652,26699,116964,10818,71848,64965,671192,12830,124172,631,51216,541,42112,2348,91772
57168.85,2203219,1915531,3887864,568888,26702,116964,10819,71848,64973,671192,12831,124172,631,51216,541,42112,2348,91772
58171.12,2203599,1915833,3887864,556544,26708,116964,10820,71848,64985,671192,12833,124172,631,51216,541,42112,2348,91772
59175.88,2203981,1916124,3887864,567356,26715,116964,10824,71848,64999,671192,12835,124172,631,51216,541,42112,2348,91772
60181.08,2204369,1916416,3887864,566708,26723,116964,10825,71848,65014,671192,12840,124172,632,51216,541,42112,2349,91772
61183.86,2204754,1916597,3887864,572644,26748,117124,10828,71848,65066,671260,12850,124172,632,51216,542,42112,2354,91772
62185.71,2205148,1916921,3887864,574028,26752,117128,10830,71848,65075,671260,12853,124172,632,51216,542,42112,2356,91772
63187.65,2205550,1917196,3887864,566232,26758,117128,10831,71848,65092,671260,12855,124172,633,51216,542,42112,2357,91780
64189.5,2205946,1917518,3887864,566472,26763,117136,10834,71848,65104,671260,12857,124172,634,51216,543,42132,2358,91780
65193.72,2206342,1917812,3887864,559336,26770,117136,10839,71848,65117,671260,12859,124172,634,51216,543,42132,2359,91780
66196.14,2206733,1918150,3887864,566908,26774,117140,10840,71848,65125,671260,12860,124172,634,51216,543,42132,2359,91780
67198.32,2207116,1918469,3887864,562308,26780,117180,10842,71848,65137,671268,12864,124172,634,51244,543,42132,2361,91780
68203.18,2207506,1918751,3887864,571324,26789,117184,10844,71848,65163,671276,12869,124172,634,51252,543,42140,2363,91780
69206.63,2207891,1919076,3887864,572532,26792,117184,10845,71848,65170,671276,12871,124172,634,51252,543,42140,2363,91780
70211.42,2208280,1919308,3887864,577296,26803,117184,10847,71848,65190,671276,12875,124172,635,51252,543,42140,2364,91780
71218.19,2208683,1919624,3887864,577044,26807,117184,10850,71848,65200,671276,12878,124172,635,51252,543,42140,2364,91780
72220.25,2209092,1919901,3887864,567048,26812,117184,10851,71848,65214,671276,12880,124172,636,51256,543,42140,2365,91780
73222.17,2209487,1920251,3887864,566904,26814,117184,10852,71848,65218,671276,12882,124172,637,51256,543,42140,2365,91780
74225.53,2209881,1920539,3887864,549364,26819,117184,10855,71848,65230,671276,12883,124172,637,51256,544,42140,2365,91780
75228.25,2210274,1920848,3887864,553868,26824,117184,10857,71852,65240,671276,12886,124172,637,51256,544,42140,2365,91780
76230.25,2210662,1921142,3887864,552796,26830,117184,10860,71852,65255,671276,12891,124256,637,51256,544,42140,2366,91780
77232.12,2211056,1921452,3887864,552000,26833,117184,10862,71852,65264,671276,12892,124256,637,51256,544,42140,2366,91780
78235.11,2211450,1921796,3887864,551752,26837,117184,10863,71852,65272,671276,12894,124256,638,51256,544,42140,2366,91780
79237.07,2211848,1922077,3887864,562520,26841,117184,10865,71852,65285,671276,12895,124256,638,51256,544,42140,2366,91784
80238.97,2212234,1922387,3887864,563808,26847,117184,10866,71852,65294,671276,12899,124280,638,51260,544,42140,2366,91784
81245.08,2212624,1922686,3887864,558604,26852,117184,10868,71852,65307,671276,12901,124280,638,51260,544,42140,2367,91784
82248.51,2213023,1922989,3887864,561988,26859,117184,10871,71852,65321,671276,12904,124280,639,51260,544,42140,2367,91784
83252.51,2213410,1923258,3887864,561224,26862,117184,10873,71852,65331,671276,12907,124280,639,51260,544,42140,2368,91784
84254.76,2213802,1923566,3887864,565328,26868,117184,10875,71852,65342,671276,12908,124288,640,51260,545,42176,2368,91784
