time,sent,received,total
1.88,19268.9,58668.54,76.11
1002.71,19271.33,58682.41,76.13
2004.48,19275.73,58699.61,76.15
3005.65,19285.12,58988.48,76.44
4006.46,19289.15,59010.05,76.46
5007.47,19289.15,59010.11,76.46
6008.65,19291.2,59011.6,76.47
7009.98,19291.2,59011.66,76.47
8011.99,19291.85,59011.9,76.47
9013.11,19293.07,59017.17,76.47
10013.89,19294.47,59025.47,76.48
11014.52,19296.03,59026.84,76.49
12015.13,19296.21,59026.9,76.49
13015.74,19297.17,59031.26,76.49
14016.32,19299.48,59040.72,76.5
15017.31,19299.81,59040.88,76.5
16018.51,19299.88,59041.11,76.5
17019.63,19299.88,59041.17,76.5
18020.76,19299.88,59041.17,76.5
19021.99,19301.32,59046.76,76.51
20022.76,19301.32,59046.82,76.51
21023.36,19303.5,59048.74,76.52
22023.95,19305.39,59049.83,76.52
23024.55,19305.74,59050.11,76.52
24025.13,19308.4,59056.45,76.53
25026.19,19308.98,59056.72,76.53
26027.33,19310.15,59057.44,76.53
27028.48,19310.15,59057.5,76.53
28029.61,19310.34,59057.71,76.53
29030.84,19311.75,59062.98,76.54
30031.84,19311.75,59063.04,76.54
31032.58,19316.28,59066.98,76.55
32033.23,19350.07,59098.71,76.61
33033.88,19363.89,59111.25,76.64
34034.49,19391.9,59140.24,76.69
35035.4,19455.98,59200.05,76.81
36036.38,19491.52,59233.57,76.88
37037.43,19526.31,59267.33,76.95
38038.47,19561.58,59300.62,77.01
39039.16,19600.26,59341.43,77.09
40039.77,19620.14,59359.91,77.13
41040.36,19637.53,59375.26,77.16
42040.96,19684.62,59417.94,77.25
43041.57,19734.4,59462.75,77.34
44042.4,19796.51,59530.05,77.47
45043.38,19834.22,59565.87,77.54
46044.35,19872.59,59601.55,77.61
47051.22,19915.5,59665.01,77.71
48052.03,19928.24,59677.67,77.74
49053.41,19952.91,59998.24,78.08
50054.2,20017.66,60057.15,78.2
51054.84,20081.99,60117.95,78.32
52055.5,20150.44,60181.67,78.45
53056.56,20189.73,60219.53,78.52
54057.76,20226.51,60258.03,78.6
55059.04,20244.29,60281.51,78.64
56060.14,20253.04,60290.56,78.66
57061.19,20262.26,60299.4,78.67
58063.09,20298.32,60333.97,78.74
59064.21,20333.85,60368.34,78.81
60065.15,20372.94,60408.89,78.89
61065.9,20416.28,60450.04,78.97
62066.54,20484.27,60557.55,79.14
63067.32,20540.72,60615.04,79.25
64068.07,20563.3,60647.09,79.31
65068.72,20591.44,60683.29,79.37
66069.56,20600.47,60691.29,79.39
67070.59,20650.3,61015.04,79.75
68074.26,20705.85,61648.4,80.42
69075.06,20728.71,61690.58,80.49
70075.71,20790.81,61751.87,80.61
71076.34,20842.68,61798.84,80.7
72076.97,20888.82,61841.63,80.79
73080.44,20917.5,61873.84,80.85
74081.07,20961.47,61916.4,80.93
75081.69,21000.74,61951.34,81.01
76082.36,21064.1,62010.03,81.13
77083.24,21103.84,62052.35,81.21
78084.18,21140.51,62087.08,81.28
79085.15,21177.94,62123.48,81.35
80085.97,21196.2,62143.37,81.39
81086.72,21261.57,62204.3,81.51
82087.34,21278.45,62219.0,81.54
83087.95,21327.31,62262.99,81.63
84088.58,21376.37,62308.72,81.72
85089.46,21429.44,62360.06,81.83
86090.52,21464.85,62393.53,81.89
87091.57,21486.96,62417.83,81.94
