time,total,idle,mem_total,mem_free,2163/cpu,2163/rss,2216/cpu,2216/rss,2234/cpu,2234/rss,2255/cpu,2255/rss,2285/cpu,2285/rss,2286/cpu,2286/rss
1005.77,977991,901792,3887864,1432944,4229,112544,8788,88028,23734,341776,76,80796,1184,64964,4839,114728
2009.35,978388,902151,3887864,1435580,4230,112544,8795,88028,23753,341776,76,80796,1185,64964,4842,114728
3013.02,978787,902512,3887864,1435332,4232,112544,8799,88028,23766,341776,76,80796,1186,64964,4847,114732
4016.49,979185,902885,3887864,1435332,4232,112544,8803,88028,23776,341840,76,80796,1186,64964,4849,114732
5020.64,979581,903263,3887864,1435332,4233,112544,8805,88028,23780,341840,76,80796,1187,64964,4851,114732
6022.42,979975,903595,3887864,1435332,4233,112544,8816,88028,23822,341848,76,80796,1187,64964,4854,114732
7024.01,980370,903969,3887864,1434780,4233,112544,8817,88028,23826,341848,76,80796,1187,64964,4855,114732
8025.73,980766,904346,3887864,1435728,4235,112544,8822,88028,23834,341848,76,80796,1188,64968,4857,114732
9027.33,981164,904734,3887864,1435436,4235,112544,8823,88028,23837,341848,76,80796,1188,64968,4858,114732
10028.94,981561,905119,3887864,1435632,4235,112544,8824,88028,23840,341848,76,80796,1188,64968,4859,114732
11032.61,981955,905462,3887864,1436368,4236,112544,8833,88028,23874,341856,76,80796,1188,64968,4862,114732
12037.25,982349,905829,3887864,1436748,4237,112544,8838,88028,23888,341856,76,80796,1189,64968,4864,114732
13041.0,982745,906188,3887864,1437288,4238,112544,8844,88028,23901,341856,76,80796,1189,64968,4867,114732
14044.67,983141,906566,3887864,1437780,4239,112544,8847,88028,23908,341860,76,80796,1190,64968,4869,114732
15048.37,983539,906937,3887864,1437528,4239,112544,8849,88028,23913,341860,76,80796,1190,64968,4871,114732
16051.61,983934,907294,3887864,1437944,4240,112544,8855,88028,23937,341860,76,80796,1191,64972,4874,114732
17053.46,984330,907654,3887864,1431564,4240,112544,8857,88032,23941,341860,76,80796,1191,64972,4876,114732
18055.22,984732,908035,3887864,1431316,4241,112544,8861,88032,23948,341860,76,80796,1191,64972,4877,114732
19057.01,985129,908428,3887864,1431396,4241,112544,8862,88032,23950,341860,76,80796,1192,64972,4877,114732
20058.67,985527,908815,3887864,1431924,4242,112544,8864,88032,23954,341860,76,80796,1192,64972,4879,114732
21061.28,985922,909183,3887864,1432212,4242,112544,8869,88032,23971,341860,76,80796,1192,64972,4880,114732
22062.92,986318,909520,3887864,1432472,4243,112544,8873,88032,24022,342096,76,80796,1193,64972,4883,114732
23064.56,986715,909902,3887864,1433468,4244,112544,8876,88032,24028,342168,76,80796,1193,64972,4884,114732
24066.21,987114,910288,3887864,1433700,4244,112544,8878,88032,24032,342204,76,80796,1193,64972,4885,114732
25067.84,987512,910678,3887864,1434508,4245,112544,8879,88032,24034,342204,76,80796,1193,64972,4886,114732
26069.5,987910,911062,3887864,1434712,4245,112544,8881,88032,24041,342212,76,80796,1194,64972,4888,114732
27073.1,988306,911432,3887864,1432760,4245,112544,8882,88032,24045,342212,76,80796,1194,64972,4888,114732
28076.79,988698,911779,3887864,1433140,4247,112544,8893,88032,24069,342240,76,80796,1194,64972,4891,114732
29079.83,989091,912158,3887864,1433908,4247,112544,8896,88032,24074,342252,76,80796,1198,64972,4894,114732
30081.58,989483,912505,3887864,1433916,4248,112544,8903,88032,24094,342284,76,80796,1198,64972,4896,114732
31083.24,989879,912889,3887864,1434128,4248,112544,8905,88032,24101,342288,76,80796,1198,64972,4897,114732
32084.91,990278,913275,3887864,1433536,4248,112544,8907,88032,24107,342288,76,80796,1199,64972,4898,114732
33086.53,990678,913649,3887864,1433052,4249,112544,8913,88032,24115,342288,76,80796,1199,64972,4901,114732
34088.7,991070,914030,3887864,1434052,4249,112544,8915,88032,24118,342288,76,80796,1199,64972,4906,114732
35092.23,991469,914402,3887864,1433828,4253,112544,8918,88032,24129,342288,76,80796,1199,64972,4908,114732
36096.43,991866,914777,3887864,1433700,4253,112544,8922,88032,24141,342288,76,80796,1200,64976,4910,114732
37098.27,992261,915132,3887864,1432188,4254,112544,8924,88032,24146,342288,76,80796,1201,64976,4912,114732
38099.91,992663,915514,3887864,1432440,4255,112544,8928,88032,24153,342288,76,80796,1201,64976,4914,114732
39101.61,993061,915902,3887864,1432616,4255,112544,8930,88032,24156,342288,76,80796,1201,64976,4915,114732
40103.26,993459,916270,3887864,1432536,4255,112544,8934,88032,24172,342288,76,80796,1201,64976,4916,114732
41105.05,993860,916660,3887864,1432700,4255,112544,8936,88032,24174,342288,76,80796,1201,64976,4916,114732
42108.52,994258,917048,3887864,1433072,4256,112544,8938,88032,24178,342288,76,80796,1202,64976,4918,114732
43112.68,994644,917411,3887864,1433072,4257,112544,8945,88032,24192,342288,76,80796,1202,64976,4921,114732
44117.18,995041,917778,3887864,1433612,4258,112544,8949,88032,24203,342292,76,80796,1203,64976,4923,114732
45124.15,995437,918140,3887864,1434100,4258,112544,8953,88032,24220,342296,76,80796,1203,64976,4926,114732
46128.39,995835,918517,3887864,1434880,4259,112544,8957,88032,24228,342296,76,80796,1203,64976,4928,114732
47135.2,996228,918888,3887864,1434308,4260,112544,8959,88032,24234,342296,76,80796,1204,64976,4930,114732
48137.0,996629,919249,3887864,1436060,4261,112544,8964,88032,24243,342296,76,80796,1204,64976,4931,114732
49138.63,997029,919641,3887864,1436240,4261,112544,8965,88032,24244,342296,76,80796,1204,64976,4932,114732
50140.31,997421,919940,3887864,1436224,4261,112544,8981,88040,24308,342304,76,80796,1205,64984,4935,114736
51141.98,997820,920327,3887864,1436764,4261,112544,8983,88040,24315,342304,76,80796,1205,64984,4936,114736
52143.64,998215,920680,3887864,1437760,4261,112544,8985,88040,24353,342304,76,80796,1205,64984,4937,114736
53147.53,998609,921046,3887864,1437588,4263,112544,8991,88040,24365,342308,76,80796,1205,64984,4940,114736
54151.34,999006,921404,3887864,1437864,4264,112544,8995,88040,24378,342308,76,80796,1205,64984,4942,114736
55155.67,999404,921778,3887864,1438376,4264,112544,8998,88040,24388,342308,76,80796,1206,64984,4945,114736
56159.41,999799,922160,3887864,1438376,4265,112544,9002,88040,24393,342308,76,80796,1206,64984,4946,114736
57163.2,1000193,922538,3887864,1438584,4265,112544,9004,88040,24400,342308,76,80796,1206,64984,4948,114736
58165.04,1000591,922887,3887864,1433536,4266,112544,9009,88040,24411,342308,76,80796,1207,64984,4950,114736
59166.68,1000991,923280,3887864,1433536,4266,112544,9010,88040,24413,342308,76,80796,1207,64984,4951,114736
60168.33,1001386,923665,3887864,1433536,4266,112544,9012,88040,24417,342308,76,80796,1208,64984,4953,114736
61170.0,1001786,924053,3887864,1434040,4267,112544,9013,88040,24421,342308,76,80796,1208,64984,4954,114736
62171.65,1002185,924440,3887864,1433844,4268,112548,9015,88040,24427,342308,76,80796,1208,64984,4955,114736
63173.51,1002581,924809,3887864,1434260,4269,112548,9018,88040,24434,342308,76,80796,1208,64984,4956,114736
64175.63,1002976,925196,3887864,1435356,4269,112548,9021,88040,24438,342308,76,80796,1208,64984,4957,114736
65177.33,1003376,925588,3887864,1436276,4270,112548,9021,88040,24440,342308,76,80796,1208,64984,4958,114736
66178.99,1003771,925974,3887864,1437096,4270,112548,9023,88040,24444,342308,76,80796,1208,64984,4960,114736
67180.63,1004166,926366,3887864,1437920,4270,112548,9024,88040,24445,342308,76,80796,1210,64984,4961,114736
68182.31,1004560,926723,3887864,1435264,4271,112552,9029,88040,24455,342308,76,80796,1210,64984,4962,114736
69183.97,1004954,927111,3887864,1435264,4271,112552,9030,88040,24456,342308,76,80796,1210,64984,4963,114736
70185.65,1005352,927496,3887864,1435264,4271,112552,9032,88040,24461,342308,76,80796,1210,64984,4964,114736
71187.32,1005751,927886,3887864,1435768,4271,112552,9034,88040,24464,342308,76,80796,1210,64984,4965,114736
72189.02,1006154,928274,3887864,1436020,4271,112552,9035,88040,24470,342308,76,80796,1210,64984,4966,114736
73192.49,1006552,928647,3887864,1436104,4273,112552,9039,88040,24479,342308,76,80796,1211,64984,4968,114736
74195.32,1006946,929015,3887864,1436276,4274,112552,9043,88040,24488,342308,76,80796,1211,64984,4970,114736
75198.59,1007341,929380,3887864,1436052,4275,112552,9048,88040,24499,343508,76,80796,1211,64984,4973,114736
76201.9,1007737,929760,3887864,1436052,4275,112552,9051,88040,24506,343508,76,80796,1212,64984,4975,114736
77205.66,1008130,930138,3887864,1436172,4276,112552,9054,88040,24510,343508,76,80796,1212,64984,4977,114736
78207.43,1008526,930479,3887864,1434984,4277,112552,9064,88040,24525,343508,76,80796,1214,64984,4979,114736
79209.41,1008926,930873,3887864,1434984,4277,112552,9064,88040,24526,343508,76,80796,1214,64984,4980,114736
80211.09,1009329,931258,3887864,1434984,4278,112552,9067,88040,24531,343508,76,80796,1214,64984,4981,114736
81212.79,1009726,931643,3887864,1435236,4278,112552,9069,88040,24538,343516,76,80796,1214,64984,4982,114736
82214.89,1010123,932027,3887864,1435236,4278,112552,9073,88040,24544,343516,76,80796,1214,64984,4984,114736
83219.15,1010517,932402,3887864,1435488,4280,112552,9076,88040,24551,343516,76,80796,1214,64984,4984,114736
84222.5,1010911,932766,3887864,1435488,4280,112552,9080,88040,24559,343516,76,80796,1215,64984,4987,114736
85226.19,1011306,933147,3887864,1435740,4282,112552,9082,88040,24565,343516,76,80796,1215,64984,4989,114736
86229.4,1011705,933527,3887864,1435740,4282,112552,9084,88040,24570,343516,76,80796,1216,64984,4992,114736
87232.55,1012097,933898,3887864,1436604,4282,112552,9087,88040,24577,343520,76,80796,1216,64984,4994,114736
88234.54,1012487,934221,3887864,1435328,4284,112552,9098,88040,24602,343520,76,80796,1216,64984,4997,114736
89236.2,1012885,934613,3887864,1435052,4284,112552,9099,88040,24604,343520,76,80796,1216,64984,4998,114736
90237.93,1013277,934989,3887864,1435052,4284,112552,9103,88040,24613,343520,76,80796,1216,64984,4999,114736
91239.59,1013671,935369,3887864,1435052,4284,112552,9105,88040,24623,343520,76,80796,1217,64984,5000,114736
92241.31,1014067,935753,3887864,1434804,4285,112552,9106,88040,24627,343520,76,80796,1218,64984,5002,114736
93244.87,1014466,936133,3887864,1435180,4286,112552,9109,88040,24633,343524,76,80796,1218,64984,5004,114736
94247.85,1014862,936509,3887864,1435244,4287,112552,9112,88040,24640,343524,76,80796,1218,64984,5006,114736
95251.52,1015260,936884,3887864,1435908,4288,112552,9116,88040,24648,343524,76,80796,1219,64984,5008,114736
96254.97,1015655,937262,3887864,1436192,4288,112552,9120,88040,24655,343524,76,80796,1219,64984,5011,114736
97258.7,1016048,937642,3887864,1436064,4288,112552,9121,88040,24659,343524,76,80796,1219,64984,5013,114736
98262.31,1016444,937996,3887864,1436568,4290,112552,9130,88040,24674,343524,76,80796,1220,64984,5016,114736
99264.06,1016840,938365,3887864,1434332,4291,112552,9131,88040,24676,343524,76,80796,1220,64984,5016,114736
100265.97,1017237,938742,3887864,1434116,4291,112552,9134,88040,24687,343524,76,80796,1220,64984,5017,114736
101267.67,1017637,939131,3887864,1434368,4291,112552,9136,88040,24688,343524,76,80796,1220,64984,5019,114736
102269.43,1018031,939517,3887864,1434508,4292,112556,9138,88040,24694,343524,76,80796,1221,64984,5019,114736
103271.09,1018434,939902,3887864,1434556,4293,112560,9140,88040,24700,343524,76,80796,1221,64984,5021,114736
104274.72,1018826,940259,3887864,1434888,4293,112560,9147,88040,24718,343524,76,80796,1221,64984,5023,114736
105278.51,1019222,940635,3887864,1435128,4293,112560,9148,88040,24725,343524,76,80796,1222,64984,5025,114736
106282.27,1019622,941016,3887864,1435128,4294,112560,9152,88040,24730,343524,76,80796,1222,64984,5028,114736
107286.74,1020022,941393,3887864,1435560,4294,112560,9155,88040,24737,343524,76,80796,1223,64984,5030,114736
108290.32,1020413,941753,3887864,1435472,4296,112560,9163,88040,24751,343524,76,80796,1223,64984,5032,114736
109292.1,1020812,942118,3887864,1431800,4296,112560,9165,88040,24754,343524,76,80796,1224,64984,5034,114736
110294.0,1021210,942503,3887864,1434572,4297,112564,9166,88040,24759,343524,76,80796,1224,64984,5035,114736
111295.66,1021611,942892,3887864,1434572,4297,112564,9168,88040,24763,343524,76,80796,1224,64984,5036,114736
112297.38,1022009,943284,3887864,1434572,4298,112572,9169,88040,24766,343524,76,80796,1224,64984,5037,114736
113299.09,1022405,943660,3887864,1434072,4299,112572,9171,88040,24772,343524,77,80796,1224,64984,5038,114736
114302.13,1022803,944035,3887864,1434072,4299,112572,9174,88040,24778,343524,77,80796,1225,64984,5040,114736
115305.86,1023198,944406,3887864,1434072,4299,112572,9181,88040,24790,343524,77,80796,1225,64984,5042,114736
116310.15,1023596,944790,3887864,1434324,4300,112572,9182,88040,24792,343524,77,80796,1225,64984,5044,114736
117313.52,1023993,945163,3887864,1434576,4300,112572,9186,88040,24803,343524,77,80796,1227,64984,5046,114736
118317.2,1024390,945528,3887864,1434576,4302,112572,9193,88040,24814,343536,77,80796,1227,64984,5049,114736
119319.0,1024781,945883,3887864,1435300,4303,112572,9198,88040,24822,343536,77,80796,1227,64984,5050,114736
120320.66,1025178,946270,3887864,1435300,4303,112572,9199,88040,24824,343536,77,80796,1227,64984,5051,114736
121322.36,1025578,946658,3887864,1435300,4303,112572,9200,88040,24828,343536,77,80796,1228,64984,5053,114736
122324.02,1025977,947014,3887864,1435556,4304,112572,9201,88040,24865,343536,77,80796,1228,64984,5055,114740
123325.73,1026373,947395,3887864,1435556,4304,112572,9205,88040,24870,343536,77,80796,1228,64984,5057,114740
124330.67,1026769,947778,3887864,1435556,4305,112572,9206,88040,24873,343536,77,80796,1229,64984,5058,114740
