time,sent,received,total
4.05,20855.56,184052.69,200.11
1005.1,20957.45,186031.86,202.14
2005.83,20969.59,186046.39,202.16
3006.53,20976.03,186052.41,202.18
4007.2,20980.23,186056.54,202.18
5007.91,20980.23,186056.6,202.18
6008.83,21032.2,187982.36,204.12
7009.82,21038.32,187988.0,204.13
8010.7,21042.04,188034.29,204.18
9011.63,21047.1,188036.96,204.18
10014.34,21050.37,188039.14,204.19
11015.19,21088.96,189704.47,205.85
12015.97,21097.17,189934.33,206.08
13016.7,21103.81,189939.66,206.1
14017.47,21103.81,189939.71,206.1
15018.23,21105.89,189941.57,206.1
16019.0,21164.11,191783.04,207.96
17019.69,21166.06,191784.82,207.96
18020.45,21168.16,191786.73,207.96
19021.21,21168.94,191787.71,207.96
20021.95,21169.43,191788.37,207.97
21022.66,21219.71,193658.48,209.84
22023.49,21221.97,193660.79,209.85
23024.26,21223.17,193667.78,209.85
24024.95,21228.41,193670.43,209.86
25025.71,21230.57,193672.49,209.87
26026.52,21260.69,195491.77,211.67
27027.34,21262.98,195493.86,211.68
28028.06,21272.33,195513.59,211.7
29028.9,21273.6,195518.02,211.71
30030.19,21278.81,195542.84,211.74
31030.89,21308.34,197364.44,213.55
32031.72,21316.47,197383.27,213.57
33032.47,21319.11,197386.28,213.58
34033.22,21319.29,197386.34,213.58
35033.99,21337.36,197676.74,213.88
36034.74,21363.68,199225.91,215.42
37035.46,21365.63,199228.26,215.42
38036.18,21366.15,199228.68,215.42
39036.85,21373.25,199233.97,215.44
40038.22,21404.01,201089.26,217.28
41039.04,21404.07,201089.5,217.28
42039.87,21405.96,201091.42,217.28
43040.78,21411.96,201097.08,217.29
44042.24,21412.91,201103.96,217.3
45046.22,21446.86,202934.55,219.12
46046.97,21448.94,202936.5,219.13
47047.79,21452.89,202940.27,219.13
48048.77,21455.23,202943.07,219.14
49049.83,21455.23,202943.13,219.14
50050.75,21527.09,203155.35,219.42
51051.45,21545.14,203175.97,219.45
52052.14,21551.15,203181.62,219.46
53052.81,21555.23,203185.6,219.47
54053.5,21561.27,203195.12,219.49
55054.22,21563.29,203197.02,219.49
56054.91,21567.62,203201.06,219.5
57055.59,21569.89,203202.98,219.5
58056.27,21577.08,203208.79,219.52
59058.22,21577.27,203208.85,219.52
60059.11,21580.36,203211.75,219.52
61059.8,21586.47,203217.53,219.54
62060.49,21590.44,203221.21,219.54
63061.17,21592.54,203223.12,219.55
64061.85,21592.61,203223.36,219.55
65062.54,21592.61,203223.42,219.55
66063.22,21598.49,203228.98,219.56
67063.88,21600.55,203230.81,219.56
68064.56,21600.55,203230.86,219.56
69065.25,21605.91,203234.45,219.57
70066.41,21609.05,203237.52,219.58
71067.76,21613.39,203241.6,219.58
72069.11,21615.39,203243.41,219.59
73070.41,21620.92,203248.85,219.6
74071.74,21621.11,203249.05,219.6
