time,total,idle,mem_total,mem_free,42939/cpu,42939/rss,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,43714/cpu,43714/rss,4450/cpu,4450/rss,4451/cpu,4451/rss
1003.37,5254172,5159304,16370460,10208948,236,17408,2587,109788,15776,63328,25542,383092,681,56388,1393,65228,9159,120184
2007.81,5254771,5159824,16370460,10205168,236,17408,2588,109788,15782,63328,25551,383092,684,56388,1393,65228,9160,120184
3011.74,5255370,5160356,16370460,10197356,236,17408,2588,109788,15785,63328,25558,383092,687,56388,1393,65228,9161,120184
4016.34,5255968,5160886,16370460,10194248,236,17408,2588,109788,15788,63328,25565,383092,688,56644,1394,65228,9162,120184
5020.09,5256567,5161415,16370460,10192736,237,17408,2588,109788,15791,63328,25569,383092,689,56900,1395,65228,9163,120184
6023.58,5257162,5161960,16370460,10194248,237,17408,2588,109788,15800,63584,25593,383092,693,57028,1395,65228,9164,120184
7026.51,5257760,5162551,16370460,10194248,238,17408,2588,109788,15801,63584,25597,383092,694,57028,1395,65228,9166,120184
8033.66,5258360,5163144,16370460,10194008,238,17408,2589,109788,15802,63712,25599,383092,694,57156,1395,65228,9166,120184
9037.93,5258959,5163739,16370460,10194008,238,17408,2589,109788,15804,65760,25600,383092,694,57156,1395,65228,9168,120184
10041.54,5259557,5164323,16370460,10194008,238,17408,2590,109788,15806,65888,25607,383092,696,57156,1395,65228,9169,120184
11046.0,5260154,5164913,16370460,10194008,238,17408,2590,109788,15809,65888,25610,383092,697,57156,1395,65228,9170,120184
12050.12,5260754,5165502,16370460,10193256,238,17408,2590,109788,15810,66016,25613,383092,697,57156,1396,65228,9171,120184
13055.23,5261353,5166096,16370460,10193256,238,17408,2590,109788,15811,66016,25616,383092,697,57156,1396,65228,9172,120184
14060.23,5261951,5166687,16370460,10193256,238,17408,2590,109788,15811,66016,25617,383092,697,57156,1396,65228,9173,120184
15065.74,5262549,5167275,16370460,10193256,238,17408,2591,109788,15815,66016,25620,383092,697,57156,1396,65228,9175,120184
16070.06,5263147,5167861,16370460,10184420,238,17408,2591,109788,15816,64344,25622,383092,698,56552,1396,65228,9175,120184
17075.7,5263745,5168452,16370460,10186108,238,17408,2592,109788,15817,64344,25625,383092,698,56552,1396,65228,9177,120184
18080.21,5264345,5169046,16370460,10187520,238,17408,2592,109788,15819,64344,25628,383092,698,56552,1396,65228,9177,120184
19085.46,5264946,5169641,16370460,10187520,239,17408,2592,109788,15819,64344,25630,383092,698,56552,1396,65228,9178,120184
20090.67,5265547,5170236,16370460,10187520,239,17408,2593,109788,15820,64472,25631,383092,698,56552,1396,65228,9180,120184
21095.54,5266147,5170828,16370460,10187520,239,17408,2593,109788,15821,64472,25634,383092,698,56552,1396,65228,9181,120184
22100.09,5266745,5171423,16370460,10187648,240,17408,2593,109788,15822,64472,25636,383092,698,56552,1397,65228,9182,120184
23103.95,5267344,5172014,16370460,10187648,240,17408,2593,109788,15823,64472,25639,383092,698,56552,1397,65228,9183,120184
24107.45,5267942,5172603,16370460,10187656,240,17408,2593,109788,15824,64472,25641,383092,698,56552,1397,65228,9184,120184
25112.64,5268539,5173184,16370460,10187404,240,17408,2593,109788,15829,64728,25647,383092,700,56552,1397,65228,9185,120184
26116.46,5269138,5173766,16370460,10188888,240,17408,2595,109788,15831,64728,25651,383092,701,56552,1397,65228,9186,120184
27121.8,5269734,5174342,16370460,10188412,240,17408,2595,109788,15838,64508,25660,383092,703,56552,1397,65228,9188,120184
28125.74,5270334,5174935,16370460,10188412,240,17408,2595,109788,15839,64508,25661,383092,703,56552,1398,65228,9191,120184
29129.82,5270933,5175529,16370460,10188412,240,17408,2595,109788,15840,64508,25663,383092,703,56552,1398,65228,9192,120184
30134.11,5271534,5176122,16370460,10188412,240,17408,2596,109788,15840,64508,25666,383092,703,56552,1398,65228,9193,120184
31139.1,5272133,5176710,16370460,10187908,240,17408,2596,109788,15841,64508,25668,383092,704,56552,1398,65228,9193,120184
32143.0,5272734,5177303,16370460,10187156,241,17408,2596,109788,15842,64508,25669,383092,704,56552,1398,65228,9195,120184
33147.58,5273330,5177893,16370460,10187156,241,17408,2596,109788,15844,64636,25673,383092,704,56552,1398,65228,9197,120184
34151.0,5273926,5178478,16370460,10186904,241,17408,2597,109788,15844,64636,25676,383092,704,56552,1399,65228,9198,120184
35155.03,5274524,5179066,16370460,10186904,241,17408,2597,109788,15847,64764,25679,383092,704,56552,1399,65228,9199,120184
36159.03,5275123,5179653,16370460,10180100,241,17408,2597,109788,15848,64764,25681,383092,704,56552,1399,65228,9200,120184
37162.86,5275721,5180247,16370460,10180792,242,17408,2597,109788,15848,64764,25683,383092,704,56552,1399,65228,9201,120184
38167.27,5276320,5180839,16370460,10180904,242,17408,2598,109788,15850,64764,25685,383092,704,56552,1400,65228,9202,120184
39170.93,5276919,5181432,16370460,10180652,242,17408,2598,109788,15851,64764,25687,383092,704,56552,1400,65228,9203,120184
40173.67,5277515,5182013,16370460,10178888,242,17408,2598,109788,15856,66684,25693,383092,705,56552,1400,65228,9204,120184
41177.79,5278113,5182598,16370460,10179080,242,17408,2598,109788,15858,66684,25699,383092,708,56552,1400,65228,9205,120184
42183.21,5278712,5183190,16370460,10179080,242,17408,2598,109788,15860,66684,25702,383092,708,56552,1400,65228,9206,120184
43187.97,5279311,5183782,16370460,10179080,242,17408,2599,109788,15861,66684,25704,383092,708,56552,1400,65228,9208,120184
44193.57,5279910,5184371,16370460,10179080,242,17408,2600,109788,15863,66684,25708,383092,708,56552,1400,65228,9209,120184
45197.77,5280506,5184958,16370460,10178828,242,17408,2600,109788,15865,66684,25711,383092,708,56552,1400,65228,9210,120184
46201.54,5281104,5185542,16370460,10176860,242,17408,2600,109788,15866,65908,25713,383092,708,56552,1400,65228,9211,120184
47206.86,5281704,5186136,16370460,10176860,242,17408,2600,109788,15868,65908,25716,383092,708,56552,1400,65228,9212,120184
48212.39,5282304,5186731,16370460,10176860,242,17408,2600,109788,15868,65908,25718,383092,708,56552,1400,65228,9213,120184
49217.57,5282904,5187327,16370460,10176860,242,17408,2601,109788,15869,65908,25719,383092,708,56552,1401,65228,9214,120184
50223.03,5283503,5187919,16370460,10176860,242,17408,2601,109788,15870,65908,25721,383092,708,56552,1401,65228,9215,120184
51227.67,5284103,5188514,16370460,10176860,242,17408,2601,109788,15871,65908,25724,383092,708,56552,1401,65228,9216,120184
52232.21,5284703,5189106,16370460,10176860,242,17408,2601,109788,15871,65908,25725,383092,708,56552,1402,65228,9218,120184
53235.31,5285300,5189698,16370460,10176860,242,17408,2602,109788,15873,65908,25729,383092,709,56552,1402,65228,9218,120184
54239.65,5285897,5190286,16370460,10176860,242,17408,2602,109788,15875,66036,25731,383092,709,56552,1402,65228,9219,120184
55243.8,5286495,5190867,16370460,10176860,244,17408,2602,109788,15879,64440,25737,383092,711,56552,1402,65228,9220,120184
56246.99,5287093,5191455,16370460,10176860,244,17408,2603,109788,15881,64296,25741,383092,711,56552,1402,65228,9222,120184
57252.15,5287692,5192045,16370460,10183664,244,17408,2603,109788,15883,64296,25743,383092,711,56552,1402,65228,9222,120184
58257.81,5288292,5192639,16370460,10183664,244,17408,2603,109788,15883,64296,25745,383092,711,56552,1402,65228,9224,120184
59262.21,5288892,5193234,16370460,10183664,244,17408,2604,109788,15884,64296,25747,383092,711,56552,1402,65228,9225,120184
60266.03,5289492,5193828,16370460,10183664,244,17408,2604,109788,15884,64296,25748,383092,711,56552,1402,65228,9225,120184
61271.48,5290091,5194418,16370460,10183664,244,17408,2604,109788,15886,64296,25751,383092,711,56552,1402,65228,9227,120184
62277.06,5290689,5195011,16370460,10183664,244,17408,2604,109788,15887,64296,25753,383092,711,56552,1402,65228,9228,120184
63279.76,5291286,5195599,16370460,10183664,244,17408,2604,109788,15888,64296,25756,383092,711,56552,1402,65228,9229,120184
64284.46,5291886,5196188,16370460,10183664,244,17408,2605,109788,15891,64296,25759,383092,711,56552,1404,65228,9230,120184
65287.64,5292484,5196778,16370460,10183664,244,17408,2605,109788,15891,64296,25761,383092,711,56552,1404,65228,9231,120184
66291.82,5293084,5197368,16370460,10183664,244,17408,2605,109788,15893,64296,25763,383092,712,56552,1404,65228,9232,120184
67295.88,5293683,5197956,16370460,10186472,244,17408,2606,109788,15894,64296,25766,383092,712,56552,1404,65228,9234,120184
68299.39,5294280,5198548,16370460,10186472,244,17408,2606,109788,15895,64296,25769,383092,712,56552,1404,65228,9235,120184
69303.67,5294878,5199142,16370460,10186472,244,17408,2607,109788,15895,64296,25771,383092,713,56552,1404,65228,9235,120184
70307.2,5295475,5199725,16370460,10186472,244,17408,2607,109788,15898,64296,25777,383092,714,56552,1404,65228,9237,120184
71312.53,5296075,5200315,16370460,10186472,245,17408,2607,109788,15901,64296,25781,383092,714,56552,1404,65228,9238,120184
72316.98,5296674,5200907,16370460,10186472,246,17408,2607,109788,15901,64296,25783,383092,714,56552,1405,65228,9239,120184
73322.63,5297272,5201498,16370460,10186472,247,17408,2607,109788,15902,64296,25785,383092,715,56552,1405,65228,9240,120184
74333.06,5297875,5202092,16370460,10186472,247,17408,2607,109788,15904,64296,25788,383092,715,56552,1405,65228,9241,120184
75336.41,5298475,5202681,16370460,10186472,247,17408,2609,109788,15906,64296,25790,383092,715,56552,1405,65228,9243,120184
76341.71,5299073,5203271,16370460,10186472,247,17408,2609,109788,15907,64296,25793,383092,715,56552,1405,65228,9244,120184
77347.57,5299671,5203859,16370460,10186724,247,17408,2609,109788,15908,64296,25795,383092,715,56552,1405,65228,9245,120184
78351.95,5300271,5204453,16370460,10186724,247,17408,2609,109788,15908,64296,25797,383092,715,56552,1405,65228,9247,120184
79356.83,5300870,5205048,16370460,10186724,247,17408,2609,109788,15909,64296,25799,383092,715,56552,1405,65228,9247,120184
80361.34,5301468,5205642,16370460,10186724,247,17408,2610,109788,15910,64296,25801,383092,715,56552,1406,65228,9248,120184
81366.35,5302067,5206236,16370460,10186724,247,17408,2610,109788,15911,64296,25804,383092,715,56552,1406,65228,9249,120184
82369.88,5302664,5206825,16370460,10186724,247,17408,2610,109788,15913,64424,25806,383092,715,56552,1407,65228,9251,120184
83374.44,5303262,5207412,16370460,10184960,247,17408,2611,109788,15915,67324,25810,383732,715,56552,1407,65228,9251,120184
84380.02,5303862,5207994,16370460,10184960,247,17408,2611,109788,15917,67452,25822,383732,715,56552,1407,65228,9253,120184
85383.75,5304458,5208576,16370460,10184708,247,17408,2611,109788,15920,67452,25828,383732,716,56552,1407,65228,9254,120184
86388.0,5305055,5209165,16370460,10184708,247,17408,2612,109788,15922,67452,25832,383732,717,56552,1407,65228,9255,120184
87393.62,5305652,5209741,16370460,10172360,248,17408,2612,109788,15926,67452,25840,383732,720,56552,1407,65228,9256,120184
88397.96,5306251,5210334,16370460,10172360,248,17408,2612,109788,15927,67452,25842,383732,720,56552,1408,65228,9257,120184
89401.39,5306850,5210929,16370460,10178060,248,17408,2612,109788,15927,67452,25843,383732,720,56552,1408,65228,9258,120184
90405.85,5307448,5211518,16370460,10177052,248,17408,2612,109788,15928,67452,25846,383732,720,56552,1408,65228,9259,120184
