response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0409,0.0205,0.0000,0.0001,0.0199,0.0003,200,0.1028
0.0406,0.0202,0.0000,0.0001,0.0203,0.0000,200,0.1032
0.0406,0.0201,0.0000,0.0001,0.0203,0.0001,200,0.1032
0.0520,0.0203,0.0000,0.0002,0.0203,0.0109,200,0.1027
0.0516,0.0201,0.0000,0.0002,0.0312,0.0001,200,0.1032
0.0629,0.0202,0.0000,0.0000,0.0426,0.0001,200,0.1032
0.0630,0.0202,0.0000,0.0001,0.0427,0.0001,200,0.1031
0.0633,0.0203,0.0000,0.0002,0.0425,0.0001,200,0.1028
0.0631,0.0204,0.0000,0.0001,0.0425,0.0000,200,0.1030
0.0629,0.0202,0.0000,0.0001,0.0426,0.0001,200,0.1032
0.0332,0.0165,0.0000,0.0001,0.0165,0.0001,200,0.2035
0.0333,0.0167,0.0000,0.0001,0.0165,0.0001,200,0.2034
0.0375,0.0166,0.0000,0.0000,0.0208,0.0001,200,0.2035
0.0467,0.0167,0.0000,0.0000,0.0298,0.0001,200,0.2034
0.0468,0.0168,0.0000,0.0000,0.0299,0.0000,200,0.2033
0.0543,0.0166,0.0000,0.0000,0.0376,0.0001,200,0.2036
0.0545,0.0168,0.0000,0.0000,0.0376,0.0000,200,0.2034
0.0545,0.0167,0.0000,0.0000,0.0377,0.0000,200,0.2035
0.0544,0.0167,0.0000,0.0000,0.0377,0.0000,200,0.2035
0.0545,0.0166,0.0000,0.0001,0.0377,0.0001,200,0.2035
0.0417,0.0180,0.0000,0.0000,0.0235,0.0001,200,0.3034
0.0418,0.0181,0.0000,0.0000,0.0236,0.0000,200,0.3033
0.0419,0.0179,0.0000,0.0001,0.0238,0.0001,200,0.3033
0.0419,0.0178,0.0000,0.0001,0.0239,0.0000,200,0.3034
0.0419,0.0178,0.0000,0.0001,0.0239,0.0000,200,0.3034
0.0497,0.0179,0.0000,0.0000,0.0317,0.0001,200,0.3034
0.0502,0.0181,0.0000,0.0001,0.0318,0.0001,200,0.3030
0.0502,0.0182,0.0000,0.0000,0.0318,0.0000,200,0.3031
0.0498,0.0179,0.0000,0.0000,0.0318,0.0001,200,0.3035
0.0500,0.0180,0.0000,0.0000,0.0318,0.0001,200,0.3033
0.0379,0.0151,0.0000,0.0000,0.0227,0.0001,200,0.4026
0.0493,0.0149,0.0000,0.0000,0.0313,0.0031,200,0.4027
0.0495,0.0151,0.0000,0.0000,0.0343,0.0001,200,0.4026
0.0495,0.0150,0.0000,0.0001,0.0343,0.0001,200,0.4027
0.0498,0.0151,0.0000,0.0000,0.0313,0.0032,200,0.4024
0.0495,0.0150,0.0000,0.0001,0.0343,0.0001,200,0.4027
0.0495,0.0150,0.0000,0.0000,0.0344,0.0000,200,0.4027
0.0577,0.0151,0.0000,0.0000,0.0424,0.0001,200,0.4024
0.0575,0.0151,0.0000,0.0000,0.0423,0.0001,200,0.4026
0.0576,0.0151,0.0000,0.0000,0.0423,0.0000,200,0.4026
0.0266,0.0104,0.0000,0.0000,0.0161,0.0001,200,0.5037
0.0266,0.0105,0.0000,0.0000,0.0160,0.0000,200,0.5037
0.0343,0.0105,0.0000,0.0000,0.0237,0.0000,200,0.5036
0.0436,0.0107,0.0000,0.0000,0.0329,0.0000,200,0.5034
0.0436,0.0105,0.0000,0.0000,0.0329,0.0000,200,0.5036
0.0438,0.0106,0.0000,0.0000,0.0330,0.0000,200,0.5034
0.0438,0.0106,0.0000,0.0000,0.0331,0.0000,200,0.5035
0.0438,0.0105,0.0000,0.0000,0.0331,0.0001,200,0.5034
0.0436,0.0105,0.0000,0.0000,0.0331,0.0000,200,0.5036
0.0489,0.0105,0.0000,0.0000,0.0383,0.0000,200,0.5036
0.0413,0.0142,0.0000,0.0001,0.0269,0.0001,200,0.6031
0.0414,0.0143,0.0000,0.0001,0.0270,0.0000,200,0.6031
0.0414,0.0143,0.0000,0.0000,0.0270,0.0001,200,0.6031
0.0416,0.0145,0.0000,0.0000,0.0270,0.0000,200,0.6029
0.0414,0.0143,0.0000,0.0000,0.0270,0.0001,200,0.6031
0.0417,0.0146,0.0000,0.0000,0.0270,0.0000,200,0.6028
0.0481,0.0147,0.0000,0.0000,0.0270,0.0064,200,0.6028
0.0480,0.0146,0.0000,0.0000,0.0270,0.0064,200,0.6029
0.0479,0.0144,0.0000,0.0000,0.0334,0.0000,200,0.6030
0.0479,0.0144,0.0000,0.0000,0.0334,0.0001,200,0.6031
0.0356,0.0146,0.0000,0.0001,0.0208,0.0001,200,0.7034
0.0356,0.0147,0.0000,0.0000,0.0208,0.0001,200,0.7033
0.0358,0.0149,0.0000,0.0000,0.0209,0.0001,200,0.7031
0.0357,0.0148,0.0000,0.0000,0.0209,0.0000,200,0.7032
0.0465,0.0146,0.0000,0.0000,0.0318,0.0000,200,0.7034
0.0466,0.0146,0.0000,0.0000,0.0319,0.0000,200,0.7033
0.0467,0.0147,0.0000,0.0001,0.0319,0.0001,200,0.7033
0.0469,0.0146,0.0000,0.0001,0.0321,0.0001,200,0.7034
0.0469,0.0147,0.0000,0.0000,0.0321,0.0000,200,0.7033
0.0509,0.0148,0.0000,0.0001,0.0359,0.0000,200,0.7031
0.0341,0.0156,0.0000,0.0000,0.0169,0.0015,200,0.8033
0.0448,0.0154,0.0000,0.0000,0.0292,0.0001,200,0.8034
0.0448,0.0155,0.0000,0.0000,0.0293,0.0000,200,0.8034
0.0448,0.0154,0.0000,0.0001,0.0292,0.0000,200,0.8034
0.0556,0.0156,0.0000,0.0001,0.0398,0.0001,200,0.8033
0.0555,0.0155,0.0000,0.0000,0.0399,0.0000,200,0.8034
0.0558,0.0156,0.0000,0.0001,0.0399,0.0000,200,0.8031
0.0556,0.0155,0.0000,0.0000,0.0400,0.0000,200,0.8033
0.0555,0.0155,0.0000,0.0001,0.0399,0.0000,200,0.8034
0.0600,0.0157,0.0000,0.0000,0.0441,0.0001,200,0.8032
0.0312,0.0146,0.0000,0.0001,0.0163,0.0001,200,0.9033
0.0309,0.0146,0.0000,0.0000,0.0163,0.0000,200,0.9037
0.0448,0.0146,0.0000,0.0001,0.0301,0.0001,200,0.9034
0.0446,0.0145,0.0000,0.0000,0.0300,0.0000,200,0.9037
0.0448,0.0145,0.0000,0.0001,0.0301,0.0000,200,0.9036
0.0472,0.0144,0.0000,0.0001,0.0326,0.0001,200,0.9036
0.0513,0.0148,0.0000,0.0000,0.0364,0.0001,200,0.9034
0.0510,0.0145,0.0000,0.0001,0.0365,0.0000,200,0.9037
0.0511,0.0146,0.0000,0.0000,0.0365,0.0000,200,0.9036
0.0515,0.0146,0.0000,0.0000,0.0368,0.0001,200,0.9036
0.0345,0.0159,0.0000,0.0001,0.0184,0.0001,200,1.0035
0.0360,0.0159,0.0000,0.0001,0.0183,0.0016,200,1.0035
0.0431,0.0158,0.0000,0.0001,0.0271,0.0001,200,1.0036
0.0433,0.0159,0.0000,0.0000,0.0273,0.0000,200,1.0035
0.0554,0.0148,0.0000,0.0000,0.0404,0.0001,200,1.0035
0.0603,0.0157,0.0000,0.0000,0.0445,0.0001,200,1.0036
0.0638,0.0150,0.0000,0.0000,0.0486,0.0001,200,1.0033
0.0638,0.0150,0.0000,0.0000,0.0486,0.0001,200,1.0034
0.0693,0.0158,0.0000,0.0001,0.0486,0.0047,200,1.0035
0.0739,0.0158,0.0000,0.0000,0.0580,0.0001,200,1.0036
0.0337,0.0106,0.0000,0.0001,0.0229,0.0001,200,1.1029
0.0335,0.0106,0.0000,0.0000,0.0228,0.0001,200,1.1030
0.0335,0.0106,0.0000,0.0000,0.0228,0.0001,200,1.1030
0.0443,0.0105,0.0000,0.0000,0.0337,0.0000,200,1.1030
0.0443,0.0105,0.0000,0.0000,0.0337,0.0001,200,1.1030
0.0443,0.0106,0.0000,0.0000,0.0336,0.0000,200,1.1031
0.0528,0.0107,0.0000,0.0000,0.0420,0.0001,200,1.1029
0.0528,0.0107,0.0000,0.0000,0.0420,0.0001,200,1.1030
0.0552,0.0105,0.0000,0.0001,0.0427,0.0019,200,1.1030
0.0555,0.0108,0.0000,0.0000,0.0420,0.0027,200,1.1027
0.0350,0.0151,0.0000,0.0000,0.0196,0.0001,200,1.2034
0.0347,0.0183,0.0000,0.0000,0.0164,0.0000,200,1.2037
0.0460,0.0183,0.0000,0.0000,0.0224,0.0053,200,1.2037
0.0464,0.0152,0.0000,0.0000,0.0311,0.0000,200,1.2034
0.0553,0.0150,0.0000,0.0000,0.0401,0.0000,200,1.2036
0.0553,0.0183,0.0000,0.0000,0.0369,0.0001,200,1.2036
0.0552,0.0182,0.0000,0.0000,0.0369,0.0001,200,1.2037
0.0552,0.0184,0.0000,0.0000,0.0367,0.0000,200,1.2037
0.0553,0.0183,0.0000,0.0000,0.0369,0.0000,200,1.2036
0.0623,0.0182,0.0000,0.0000,0.0440,0.0000,200,1.2037
0.0306,0.0100,0.0000,0.0000,0.0205,0.0000,200,1.3033
0.0307,0.0096,0.0000,0.0000,0.0210,0.0001,200,1.3031
0.0327,0.0100,0.0000,0.0000,0.0205,0.0022,200,1.3033
0.0451,0.0099,0.0000,0.0000,0.0351,0.0001,200,1.3033
0.0612,0.0097,0.0000,0.0001,0.0514,0.0001,200,1.3031
0.0612,0.0102,0.0000,0.0000,0.0510,0.0000,200,1.3031
0.0612,0.0097,0.0000,0.0000,0.0515,0.0000,200,1.3032
0.0698,0.0100,0.0000,0.0000,0.0588,0.0009,200,1.3033
0.0699,0.0100,0.0000,0.0000,0.0598,0.0001,200,1.3033
0.0701,0.0099,0.0000,0.0001,0.0600,0.0000,200,1.3033
0.0353,0.0104,0.0000,0.0000,0.0248,0.0000,200,1.4028
0.0354,0.0105,0.0000,0.0000,0.0161,0.0088,200,1.4028
0.0354,0.0104,0.0000,0.0000,0.0249,0.0000,200,1.4029
0.0355,0.0104,0.0000,0.0000,0.0249,0.0001,200,1.4028
0.0521,0.0103,0.0000,0.0000,0.0417,0.0000,200,1.4029
0.0521,0.0103,0.0000,0.0000,0.0417,0.0000,200,1.4028
0.0523,0.0104,0.0000,0.0000,0.0418,0.0000,200,1.4027
0.0594,0.0104,0.0000,0.0001,0.0488,0.0001,200,1.4028
0.0678,0.0105,0.0000,0.0000,0.0572,0.0000,200,1.4027
0.0766,0.0106,0.0000,0.0000,0.0658,0.0000,200,1.4026
0.0280,0.0091,0.0000,0.0000,0.0186,0.0000,200,1.5033
0.0277,0.0090,0.0000,0.0000,0.0186,0.0000,200,1.5036
0.0361,0.0090,0.0000,0.0001,0.0270,0.0001,200,1.5033
0.0359,0.0091,0.0000,0.0000,0.0267,0.0001,200,1.5035
0.0420,0.0090,0.0000,0.0000,0.0329,0.0001,200,1.5036
0.0419,0.0089,0.0000,0.0001,0.0267,0.0062,200,1.5036
0.0421,0.0090,0.0000,0.0000,0.0330,0.0001,200,1.5035
0.0477,0.0090,0.0000,0.0000,0.0338,0.0048,200,1.5034
0.0537,0.0091,0.0000,0.0000,0.0445,0.0000,200,1.5036
0.0538,0.0092,0.0000,0.0000,0.0446,0.0000,200,1.5035
0.0358,0.0171,0.0000,0.0000,0.0187,0.0001,200,1.6027
0.0360,0.0172,0.0000,0.0001,0.0186,0.0000,200,1.6026
0.0495,0.0170,0.0000,0.0000,0.0324,0.0001,200,1.6028
0.0497,0.0172,0.0000,0.0001,0.0323,0.0000,200,1.6026
0.0498,0.0171,0.0000,0.0000,0.0326,0.0000,200,1.6027
0.0572,0.0171,0.0000,0.0000,0.0400,0.0001,200,1.6027
0.0572,0.0169,0.0000,0.0001,0.0401,0.0000,200,1.6028
0.0574,0.0170,0.0000,0.0001,0.0402,0.0000,200,1.6028
0.0662,0.0170,0.0000,0.0001,0.0491,0.0000,200,1.6028
0.0666,0.0171,0.0000,0.0000,0.0493,0.0001,200,1.6027
0.0352,0.0141,0.0000,0.0000,0.0209,0.0001,200,1.7034
0.0409,0.0148,0.0000,0.0000,0.0260,0.0001,200,1.7035
0.0410,0.0149,0.0000,0.0000,0.0260,0.0000,200,1.7035
0.0557,0.0148,0.0000,0.0000,0.0408,0.0001,200,1.7036
0.0577,0.0140,0.0000,0.0000,0.0419,0.0017,200,1.7034
0.0646,0.0140,0.0000,0.0000,0.0505,0.0001,200,1.7034
0.0645,0.0150,0.0000,0.0000,0.0495,0.0000,200,1.7036
0.0733,0.0149,0.0000,0.0000,0.0580,0.0001,200,1.7034
0.0737,0.0149,0.0000,0.0000,0.0585,0.0001,200,1.7034
0.0805,0.0149,0.0000,0.0000,0.0655,0.0001,200,1.7035
0.0302,0.0097,0.0000,0.0000,0.0204,0.0001,200,1.8036
0.0303,0.0096,0.0000,0.0001,0.0206,0.0000,200,1.8035
0.0445,0.0095,0.0000,0.0000,0.0348,0.0001,200,1.8034
0.0441,0.0096,0.0000,0.0000,0.0345,0.0000,200,1.8038
0.0548,0.0097,0.0000,0.0000,0.0450,0.0001,200,1.8036
0.0548,0.0097,0.0000,0.0000,0.0450,0.0000,200,1.8037
0.0548,0.0096,0.0000,0.0000,0.0450,0.0001,200,1.8038
