time,sent,received,total
4.82,208096.19,590617.43,779.99
1006.0,208097.35,590621.51,780.0
2007.2,208097.72,590621.67,780.0
3008.38,208098.48,590622.45,780.0
4009.74,208099.23,590624.18,780.0
5011.04,208099.44,590624.37,780.0
6012.36,208099.44,590624.43,780.0
7013.2,208099.67,590624.54,780.0
8013.9,208099.85,590624.65,780.0
9014.57,208102.87,590627.17,780.01
10015.23,208103.16,590627.36,780.01
11015.89,208103.16,590627.47,780.01
12016.95,208103.52,590627.59,780.01
13018.4,208104.62,590628.56,780.01
14019.72,208104.75,590628.62,780.01
15020.81,208105.79,590634.04,780.02
16022.13,208106.57,590637.92,780.02
17022.95,208106.57,590637.98,780.02
18023.61,208106.82,590638.14,780.02
19024.28,208109.58,590641.23,780.03
20024.96,208109.91,590641.56,780.03
21025.67,208109.91,590641.62,780.03
22026.82,208110.33,590641.78,780.03
23028.04,208111.67,590643.06,780.03
24029.23,208111.88,590643.17,780.03
25030.57,208111.97,590643.36,780.03
26031.88,208112.47,590643.57,780.04
27033.08,208112.47,590643.63,780.04
28033.92,208112.47,590643.69,780.04
29034.58,208112.47,590643.75,780.04
30035.27,208113.01,590648.83,780.04
31035.93,208113.35,590652.61,780.04
32036.61,208115.61,590661.85,780.06
33037.28,208119.81,590679.25,780.08
34037.97,208120.24,590680.81,780.08
35038.65,208120.33,590681.0,780.08
36039.32,208120.52,590681.11,780.08
37039.97,208120.52,590681.17,780.08
38040.64,208122.31,590690.57,780.09
39041.31,208124.6,590692.84,780.09
40042.01,208124.82,590693.16,780.09
41042.71,208125.51,590693.37,780.1
42043.44,208125.73,590693.48,780.1
43044.48,208126.21,590693.72,780.1
44045.6,208126.98,590694.5,780.1
45046.77,208127.72,590699.63,780.1
46047.96,208128.28,590703.46,780.11
47049.16,208128.95,590703.76,780.11
48049.99,208129.58,590704.23,780.11
49050.67,208130.44,590706.7,780.11
50051.34,208130.52,590706.89,780.11
51052.02,208130.52,590706.95,780.11
52052.69,208130.75,590707.06,780.11
53053.93,208130.75,590707.12,780.11
54054.77,208132.08,590708.36,780.12
55055.44,208132.33,590708.6,780.12
56056.1,208132.56,590708.93,780.12
57056.8,208132.68,590708.99,780.12
58057.48,208132.68,590709.05,780.12
59058.66,208133.16,590709.29,780.12
60059.89,208134.72,590715.8,780.13
61060.87,208172.38,590720.39,780.17
62061.67,208173.59,590720.92,780.17
63062.34,208174.38,590721.37,780.17
64063.02,208175.43,590723.68,780.17
65063.7,208175.65,590724.0,780.17
66064.39,208175.96,590724.11,780.18
67065.44,208175.96,590724.17,780.18
68066.92,208176.2,590724.53,780.18
69068.0,208178.72,590726.8,780.18
70068.68,208178.81,590726.99,780.18
71069.36,208178.81,590727.04,780.18
72070.05,208178.99,590727.1,780.18
73070.72,208178.99,590727.21,780.18
74072.46,208179.37,590727.97,780.18
75074.53,208180.94,590734.46,780.19
76075.73,208181.55,590737.08,780.19
77076.92,208181.98,590737.33,780.19
78078.05,208182.05,590737.44,780.19
79078.78,208182.43,590738.93,780.2
80079.46,208182.7,590739.26,780.2
81080.14,208182.7,590739.32,780.2
82080.81,208182.9,590739.43,780.2
83081.48,208183.25,590739.67,780.2
84082.57,208183.59,590739.78,780.2
85083.76,208184.44,590740.69,780.2
86084.97,208184.77,590740.85,780.2
87086.12,208184.95,590740.96,780.2
88087.21,208184.95,590741.02,780.2
89087.97,208185.14,590741.08,780.2
90088.67,208186.54,590747.72,780.21
91089.4,208330.17,590867.2,780.47
92090.72,208476.76,590994.11,780.73
93091.5,208631.25,591130.33,781.02
94092.43,208761.15,591238.31,781.25
95094.04,208907.48,591357.39,781.51
96095.17,209061.67,591482.36,781.78
97096.28,209212.02,591604.38,782.05
98097.02,209363.16,591730.16,782.32
99097.76,209517.4,591856.11,782.59
100098.44,209665.28,591975.19,782.85
101099.12,209799.45,592083.57,783.09
102099.77,209866.22,592139.24,783.21
103100.63,209924.33,592186.94,783.31
104101.59,209974.76,592228.68,783.4
105102.71,210099.55,592335.62,783.63
106103.49,210244.85,592456.9,783.89
107104.26,210391.7,592576.86,784.15
108105.06,210543.89,592702.11,784.42
109105.86,210693.96,592824.86,784.69
