time,total,idle,mem_total,mem_free,1704/cpu,1704/rss,36856/cpu,36856/rss,37875/cpu,37875/rss
1005.47,2599723,2369886,3887864,117692,121600,819800,2121,55944,357,17520
2010.94,2600119,2370249,3887864,119076,121621,819800,2122,55944,358,17520
3013.32,2600515,2370610,3887864,122916,121646,819800,2125,55944,358,17520
4015.68,2600903,2370962,3887864,126452,121668,819948,2125,55944,358,17520
5018.38,2601298,2371347,3887864,129088,121677,819948,2126,55944,359,17520
6020.9,2601694,2371728,3887864,132508,121687,819948,2127,55944,359,17520
7022.07,2602088,2372091,3887864,134816,121697,819960,2127,55944,359,17520
8023.06,2602486,2372477,3887864,137572,121702,819960,2127,55944,359,17520
9024.06,2602878,2372868,3887864,140068,121706,819960,2128,55944,359,17524
10025.05,2603277,2373256,3887864,143316,121713,819972,2128,55944,359,17524
11026.1,2603677,2373650,3887864,144700,121718,819976,2128,55944,359,17528
12028.16,2604071,2374018,3887864,145480,121733,819976,2128,55944,359,17528
13030.84,2604464,2374395,3887864,147068,121747,820016,2129,55944,359,17528
14036.98,2604861,2374771,3887864,149232,121762,820112,2129,55944,360,17532
15038.98,2605260,2375139,3887864,150820,121785,820148,2131,55944,360,17532
16043.07,2605655,2375508,3887864,150892,121803,821704,2132,55944,361,17536
17044.52,2606049,2375861,3887864,152184,121820,821712,2133,55944,361,17536
18045.68,2606448,2376242,3887864,152508,121832,821712,2135,55952,361,17536
19046.8,2606844,2376627,3887864,152604,121840,821712,2135,55952,361,17536
20047.93,2607243,2377014,3887864,153736,121848,821712,2135,55952,361,17536
21049.04,2607643,2377408,3887864,154372,121853,821712,2135,55952,361,17536
22051.68,2608042,2377790,3887864,153532,121862,821712,2135,55952,361,17536
23054.12,2608441,2378161,3887864,153028,121880,821712,2137,55952,361,17536
24056.5,2608836,2378538,3887864,153260,121894,821712,2137,55952,362,17536
25059.62,2609234,2378917,3887864,153512,121908,821712,2137,55952,362,17536
26062.44,2609628,2379298,3887864,154376,121918,821712,2137,55952,362,17536
27065.87,2610024,2379678,3887864,154884,121930,821712,2137,55952,362,17536
28067.24,2610420,2380038,3887864,152548,121941,821712,2137,55952,362,17536
29068.46,2610816,2380430,3887864,152324,121946,821712,2137,55952,362,17536
30070.9,2611214,2380805,3887864,152324,121964,819740,2139,55952,362,17536
31072.06,2611612,2381193,3887864,152492,121972,819740,2139,55952,362,17536
32073.2,2612006,2381549,3887864,151508,121995,819740,2144,55952,362,17536
33074.41,2612398,2381898,3887864,152832,122028,819740,2150,55952,364,17540
34075.56,2612795,2382279,3887864,154176,122035,819740,2150,55952,364,17540
35076.72,2613191,2382670,3887864,154184,122041,819740,2150,55952,364,17540
36077.91,2613589,2383059,3887864,154928,122048,819740,2150,55952,364,17540
37079.35,2613986,2383453,3887864,155540,122053,819740,2151,55952,364,17540
38080.52,2614376,2383678,3887864,156480,122186,819840,2159,55952,366,17548
39081.71,2614773,2384056,3887864,156276,122198,819860,2163,56016,367,17548
40082.9,2615172,2384444,3887864,156596,122206,819920,2163,56016,367,17548
41084.08,2615572,2384838,3887864,156920,122210,819920,2163,56016,367,17548
42085.25,2615966,2385217,3887864,157704,122222,819920,2163,56016,368,17548
43087.59,2616363,2385601,3887864,157948,122232,819936,2163,56016,368,17548
44090.45,2616763,2385980,3887864,158784,122246,819936,2163,56016,368,17548
45092.71,2617156,2386336,3887864,158872,122272,819940,2165,56016,368,17548
46095.24,2617550,2386698,3887864,158324,122290,819940,2167,56016,368,17548
47097.81,2617950,2387075,3887864,159180,122303,820032,2168,56016,369,17548
48100.45,2618347,2387424,3887864,159928,122321,819940,2170,56016,370,17552
49101.59,2618746,2387811,3887864,160276,122327,819940,2170,56016,370,17552
50102.81,2619143,2388199,3887864,160028,122335,819940,2170,56016,370,17552
51103.99,2619542,2388593,3887864,160508,122339,819940,2170,56016,370,17552
52105.21,2619941,2388976,3887864,160764,122347,819940,2170,56016,370,17552
53107.94,2620338,2389363,3887864,160512,122354,819940,2170,56016,370,17556
