time,sent,received,total
3.27,221181.34,601869.85,803.76
1003.97,221190.67,602250.31,804.14
2004.6,221191.01,602250.55,804.14
3007.41,221191.23,602250.74,804.14
4008.18,221201.2,602639.78,804.53
5009.44,221202.41,602640.66,804.53
6009.88,221203.18,602640.87,804.54
7011.19,221203.41,602640.93,804.54
8012.88,221204.82,602643.62,804.54
9013.72,221213.59,603024.36,804.92
10014.38,221213.79,603024.42,804.92
11015.25,221214.23,603024.71,804.92
12016.05,221222.64,603405.13,805.3
13016.79,221223.74,603405.88,805.3
14017.58,221223.74,603405.93,805.3
15018.41,221226.1,603407.65,805.31
16019.12,221226.1,603407.71,805.31
17019.81,221232.03,603610.54,805.51
18020.52,221236.36,603788.69,805.69
19021.46,221237.15,603797.31,805.7
20022.23,221238.38,603797.85,805.7
21022.9,221238.86,603798.09,805.7
22023.62,221239.04,603798.2,805.7
23024.29,221240.05,603800.19,805.7
24024.98,221240.8,603800.75,805.7
25025.73,221248.14,604018.52,805.92
26026.54,221251.03,604182.67,806.09
27027.43,221251.09,604182.78,806.09
28028.23,221255.98,604186.89,806.1
29028.89,221257.75,604188.26,806.1
30029.74,221257.75,604188.32,806.1
31030.74,221258.37,604188.56,806.1
32031.5,221258.77,604188.77,806.1
33032.18,221296.61,604191.09,806.14
34032.86,221297.65,604200.08,806.15
35033.55,221298.47,604200.81,806.15
36034.24,221298.47,604200.87,806.15
37035.35,221298.66,604200.98,806.15
38036.54,221299.13,604202.69,806.15
39037.71,221299.86,604203.22,806.16
40039.1,221299.86,604203.28,806.16
41040.22,221300.04,604203.39,806.16
42040.98,221300.04,604203.45,806.16
43041.65,221300.13,604203.63,806.16
44042.32,221300.13,604203.69,806.16
45043.05,221300.61,604203.8,806.16
46043.82,221302.01,604204.63,806.16
47044.87,221302.48,604205.0,806.16
48046.06,221302.57,604205.18,806.16
49047.32,221303.82,604214.08,806.17
50048.46,221303.82,604214.14,806.17
51049.47,221305.63,604221.75,806.18
52050.59,221308.94,604236.84,806.2
53051.41,221311.57,604240.01,806.2
54052.11,221311.57,604240.07,806.2
55052.77,221311.79,604240.18,806.2
56053.44,221312.84,604241.06,806.2
57054.08,221314.52,604245.28,806.21
58055.21,221314.77,604245.52,806.21
59056.5,221316.34,604246.84,806.21
60057.7,221316.94,604247.32,806.21
61058.75,221316.94,604247.38,806.21
62059.98,221316.94,604247.44,806.21
63060.8,221317.45,604247.9,806.22
64061.49,221318.24,604256.61,806.22
65062.17,221318.43,604256.72,806.23
66062.87,221319.44,604257.63,806.23
67063.63,221319.68,604257.9,806.23
68064.66,221320.47,604261.52,806.23
69065.85,221320.65,604261.63,806.23
70067.12,221320.65,604261.63,806.23
71068.36,221320.83,604261.74,806.23
72069.56,221321.11,604261.94,806.23
73070.36,221321.77,604262.59,806.23
74071.08,221321.9,604262.78,806.23
75071.77,221322.25,604262.89,806.24
76072.45,221322.25,604262.95,806.24
