time,sent,received,total
1.59,118254.26,563663.28,665.93
1002.37,118254.39,563663.6,665.93
2003.18,118254.46,563663.87,665.94
3003.88,118254.71,563664.06,665.94
4005.13,118261.15,563664.87,665.94
5006.75,118264.38,563665.9,665.95
6008.02,118264.51,563666.31,665.95
7008.82,118273.93,564047.31,666.33
8009.49,118278.15,564048.75,666.33
9010.16,118278.84,564049.2,666.34
10010.78,118278.84,564049.26,666.34
11011.42,118279.16,564049.62,666.34
12012.49,118279.16,564049.68,666.34
13013.71,118279.75,564050.36,666.34
14015.03,118280.25,564050.54,666.34
15015.85,118290.77,564432.92,666.72
16016.52,118290.9,564432.98,666.72
17017.18,118290.96,564433.21,666.72
18017.81,118291.81,564433.9,666.72
19018.49,118300.63,564434.53,666.73
20019.57,118300.95,564435.04,666.73
21020.4,118309.73,564816.54,667.12
22021.08,118309.86,564816.6,667.12
23021.81,118319.67,565198.08,667.5
24022.61,118320.37,565198.7,667.5
25023.34,118321.34,565199.82,667.5
26024.47,118322.34,565200.71,667.5
27025.69,118322.4,565200.82,667.5
28027.01,118326.49,565205.23,667.51
29028.24,118328.03,565207.01,667.51
30029.05,118328.03,565207.07,667.51
31029.69,118328.19,565207.35,667.51
32030.32,118328.38,565207.95,667.52
33030.96,118331.54,565245.28,667.55
34031.57,118340.9,565246.33,667.57
35032.61,118340.9,565246.39,667.57
36033.82,118341.61,565247.22,667.57
37035.17,118341.67,565247.45,667.57
38036.36,118343.17,565247.86,667.57
39037.45,118343.94,565248.54,667.57
40038.2,118344.07,565248.6,667.57
41038.84,118344.13,565248.83,667.57
42039.47,118344.13,565248.88,667.57
43040.11,118344.13,565248.94,667.57
44040.72,118344.29,565249.08,667.57
45041.77,118344.35,565249.6,667.57
46043.0,118345.2,565250.99,667.57
47044.24,118345.55,565251.48,667.58
48045.5,118345.55,565251.54,667.58
49046.92,118354.78,565252.69,667.58
50047.77,118354.78,565252.75,667.58
51048.64,118358.78,565253.74,667.59
52049.34,118377.75,565257.53,667.61
53050.07,118380.84,565260.06,667.62
54050.77,118380.99,565260.19,667.62
55051.95,118381.06,565260.46,667.62
56053.37,118381.83,565261.24,667.62
57054.76,118386.05,565262.8,667.62
58056.03,118386.43,565263.19,667.63
59057.3,118387.91,565264.84,667.63
60058.17,118388.4,565265.39,667.63
61058.81,118388.4,565265.45,667.63
62059.45,118388.4,565265.51,667.63
63060.09,118388.82,565265.84,667.63
64060.72,118397.79,565266.57,667.64
65061.8,118397.79,565266.79,667.64
66063.1,118398.1,565267.09,667.64
67064.35,118398.88,565267.87,667.64
68065.6,118402.79,565268.74,667.65
69066.97,118403.01,565269.04,667.65
70068.27,118403.01,565269.1,667.65
71069.11,118403.07,565269.39,667.65
72069.73,118403.07,565269.39,667.65
73070.36,118403.7,565269.91,667.65
74071.01,118404.45,565270.29,667.65
75071.65,118404.52,565270.5,667.65
76072.75,118404.52,565270.55,667.65
77073.96,118405.39,565271.38,667.65
78075.16,118405.39,565271.5,667.65
79076.4,118414.4,565272.52,667.66
80077.65,118414.47,565272.75,667.66
81078.54,118414.7,565273.04,667.66
82079.16,118414.7,565273.1,667.66
83079.8,118416.26,565273.43,667.67
84080.42,118416.6,565273.73,667.67
85081.05,118416.67,565273.98,667.67
86082.23,118416.8,565274.45,667.67
87083.46,118417.57,565275.42,667.67
88084.8,118417.79,565275.65,667.67
89086.08,118419.24,565277.43,667.67
90087.37,118419.49,565277.62,667.67
91088.21,118520.53,565369.92,667.86
92088.83,118667.07,565503.75,668.13
93089.48,118816.41,565638.97,668.41
94090.15,118976.05,565777.85,668.7
95090.8,119102.24,565893.39,668.94
96091.45,119222.52,566003.91,669.17
97092.1,119313.77,566086.43,669.34
98092.73,119380.16,566146.62,669.46
99093.38,119476.52,566233.07,669.64
100094.1,119625.45,566368.74,669.92
101097.16,119780.44,566513.08,670.21
102097.81,119934.1,566653.73,670.5
103098.56,120087.07,566793.73,670.78
104099.3,120233.48,566927.46,671.05
105100.08,120380.88,567060.71,671.33
106101.13,120538.45,567206.85,671.63
107102.99,120692.7,567350.18,671.92
108104.17,120841.18,567484.02,672.19
109105.22,120988.87,567612.39,672.46
110106.35,121138.61,567748.88,672.74
111107.6,121291.57,567883.55,673.02
112108.49,121473.47,568032.6,673.35
113109.14,121602.93,568148.47,673.58
114109.78,121730.8,568266.0,673.82
115110.5,121878.95,568399.87,674.1
116111.5,122030.27,568538.67,674.38
117112.65,122133.92,568630.5,674.57
118113.68,122260.29,568746.2,674.81
119114.84,122409.14,568881.48,675.09
120115.88,122555.86,569014.93,675.36
121116.98,122675.06,569125.17,675.59
122117.76,122817.02,569255.1,675.85
123118.47,122963.98,569389.51,676.13
124119.11,123127.4,569531.6,676.42
125119.75,123276.45,569668.03,676.7
126120.39,123404.34,569784.17,676.94
127121.32,123543.86,569912.46,677.2
128122.41,123685.25,570040.25,677.47
129123.51,123806.04,570150.14,677.69
130126.38,123836.7,570178.04,677.75
131127.4,123988.31,570316.18,678.03
132128.15,124140.4,570455.46,678.32
133128.8,124292.03,570593.52,678.6
134129.44,124436.92,570725.45,678.87
135130.14,124545.41,570824.06,679.07
136130.8,124695.46,570960.21,679.35
137131.73,124843.48,571094.71,679.63
138132.74,124994.86,571234.1,679.91
139133.78,125149.49,571367.09,680.19
140135.53,125298.56,571503.51,680.47
141136.59,125449.85,571641.97,680.75
142137.33,125599.16,571778.31,681.03
143138.01,125754.62,571920.41,681.32
144138.65,125906.17,572059.47,681.61
145139.31,126052.48,572192.54,681.88
146139.96,126197.66,572325.2,682.15
147140.88,126340.36,572456.32,682.42
148141.97,126494.63,572598.28,682.71
149142.88,126645.12,572736.88,682.99
150143.87,126796.49,572875.5,683.27
151144.89,126920.57,572987.5,683.5
152146.58,127052.54,573108.25,683.75
153147.31,127202.81,573244.79,684.03
154147.94,127359.9,573381.22,684.32
155148.58,127506.71,573515.15,684.59
156149.23,127653.91,573649.09,684.87
157149.85,127805.85,573787.54,685.15
158150.89,127955.59,573922.07,685.43
159151.89,128047.43,574006.23,685.6
160152.89,128120.48,574072.43,685.73
161153.95,128269.32,574207.34,686.01
162154.7,128422.9,574348.75,686.3
163155.35,128568.98,574480.83,686.57
164156.0,128724.78,574623.33,686.86
165156.65,128874.45,574759.54,687.14
166157.31,129025.29,574898.29,687.42
167158.28,129179.5,575039.19,687.71
168159.39,129316.72,575163.9,687.97
169160.44,129478.32,575304.03,688.26
170161.53,129629.3,575442.59,688.55
171162.29,129788.2,575585.41,688.84
172162.91,129962.22,575730.19,689.15
173163.56,130113.79,575867.96,689.43
174164.19,130260.97,576002.75,689.71
175164.83,130415.17,576144.34,690.0
176165.82,130563.63,576279.77,690.28
177166.94,130722.92,576419.01,690.57
178167.95,130869.7,576552.49,690.84
179168.98,131021.09,576708.46,691.14
180170.15,131172.8,576847.06,691.42
181171.27,131189.46,576861.5,691.46
182172.48,131203.65,576874.12,691.48
183173.28,131203.8,576874.25,691.48
184173.93,131212.74,576875.33,691.49
185174.58,131212.93,576875.56,691.49
186175.2,131213.26,576875.83,691.49
187175.84,131213.38,576876.02,691.49
188176.93,131217.96,576879.17,691.5
189178.22,131218.74,576880.17,691.5
190179.47,131218.74,576880.23,691.5
191180.59,131218.8,576880.46,691.5
192181.77,131219.12,576880.86,691.5
193182.86,131219.74,576881.2,691.5
194183.61,131220.08,576881.31,691.5
195184.23,131220.15,576881.58,691.5
196184.86,131220.15,576881.63,691.5
197185.5,131220.15,576881.69,691.5
198186.16,131220.56,576881.9,691.51
199187.14,131230.02,576883.38,691.52
200188.26,131230.02,576883.6,691.52
201189.47,131230.46,576884.17,691.52
202190.77,131230.46,576884.22,691.52
203192.0,131232.05,576884.5,691.52
204192.8,131232.05,576884.55,691.52
205193.43,131232.18,576884.98,691.52
206194.08,131232.24,576885.25,691.52
207194.71,131232.24,576885.31,691.52
208195.31,131232.53,576885.68,691.52
209196.36,131234.07,576887.34,691.52
210197.52,131235.04,576888.44,691.53
211198.64,131235.23,576888.67,691.53
212199.84,131235.23,576888.72,691.53
213201.0,131235.71,576889.14,691.53
214201.76,131244.64,576890.48,691.54
215202.41,131244.64,576890.54,691.54
216203.09,131244.64,576890.59,691.54
217203.73,131244.7,576890.86,691.54
218204.34,131246.4,576891.13,691.54
219205.32,131246.52,576891.51,691.54
220206.54,131247.56,576892.77,691.54
221207.74,131247.91,576893.21,691.54
222208.95,131247.91,576893.27,691.54
223210.19,131248.39,576893.65,691.54
224211.01,131248.39,576893.71,691.54
225211.7,131248.64,576893.9,691.54
226212.33,131248.7,576894.11,691.54
227212.98,131248.9,576895.03,691.55
228213.58,131249.12,576895.33,691.55
