response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0034,0.0010,0.0000,0.0002,0.0019,0.0002,200,0.1026
0.0030,0.0008,0.0000,0.0000,0.0021,0.0001,200,0.1030
0.0031,0.0008,0.0000,0.0003,0.0020,0.0001,200,0.1028
0.0033,0.0007,0.0000,0.0001,0.0023,0.0001,200,0.1029
0.0036,0.0007,0.0000,0.0002,0.0025,0.0001,200,0.1028
0.0043,0.0011,0.0000,0.0002,0.0028,0.0001,200,0.1024
0.0046,0.0010,0.0000,0.0002,0.0031,0.0000,200,0.1024
0.0045,0.0008,0.0000,0.0001,0.0033,0.0000,200,0.1027
0.0044,0.0009,0.0000,0.0000,0.0035,0.0000,200,0.1029
0.0046,0.0008,0.0000,0.0002,0.0035,0.0001,200,0.1028
0.0026,0.0007,0.0000,0.0001,0.0017,0.0001,200,0.2029
0.0028,0.0010,0.0000,0.0001,0.0017,0.0001,200,0.2026
0.0027,0.0009,0.0000,0.0000,0.0017,0.0000,200,0.2028
0.0027,0.0009,0.0000,0.0000,0.0017,0.0000,200,0.2028
0.0028,0.0008,0.0000,0.0000,0.0019,0.0000,200,0.2029
0.0029,0.0009,0.0000,0.0000,0.0019,0.0000,200,0.2028
0.0032,0.0011,0.0000,0.0000,0.0021,0.0000,200,0.2026
0.0030,0.0009,0.0000,0.0000,0.0020,0.0000,200,0.2028
0.0034,0.0008,0.0000,0.0000,0.0025,0.0001,200,0.2028
0.0036,0.0007,0.0000,0.0001,0.0028,0.0000,200,0.2028
0.0031,0.0010,0.0000,0.0000,0.0020,0.0001,200,0.3027
0.0029,0.0008,0.0000,0.0001,0.0019,0.0000,200,0.3029
0.0029,0.0008,0.0000,0.0000,0.0020,0.0000,200,0.3029
0.0033,0.0008,0.0000,0.0001,0.0023,0.0000,200,0.3028
0.0032,0.0008,0.0000,0.0000,0.0024,0.0000,200,0.3029
0.0035,0.0010,0.0000,0.0001,0.0023,0.0000,200,0.3027
0.0034,0.0008,0.0000,0.0000,0.0025,0.0000,200,0.3030
0.0036,0.0009,0.0000,0.0001,0.0025,0.0000,200,0.3029
0.0035,0.0009,0.0000,0.0000,0.0026,0.0000,200,0.3029
0.0038,0.0007,0.0000,0.0000,0.0030,0.0000,200,0.3030
0.0024,0.0009,0.0000,0.0001,0.0014,0.0001,200,0.4020
0.0024,0.0006,0.0000,0.0000,0.0017,0.0000,200,0.4021
0.0024,0.0007,0.0000,0.0001,0.0016,0.0000,200,0.4022
0.0023,0.0005,0.0000,0.0000,0.0017,0.0001,200,0.4024
0.0029,0.0006,0.0000,0.0000,0.0022,0.0000,200,0.4023
0.0029,0.0006,0.0000,0.0001,0.0021,0.0000,200,0.4022
0.0029,0.0005,0.0000,0.0001,0.0023,0.0000,200,0.4023
0.0030,0.0006,0.0000,0.0000,0.0024,0.0000,200,0.4023
0.0033,0.0006,0.0000,0.0000,0.0026,0.0000,200,0.4023
0.0035,0.0006,0.0000,0.0000,0.0028,0.0000,200,0.4023
0.0029,0.0007,0.0000,0.0001,0.0020,0.0001,200,0.5021
0.0031,0.0008,0.0000,0.0001,0.0021,0.0000,200,0.5020
0.0030,0.0006,0.0000,0.0000,0.0023,0.0000,200,0.5022
0.0030,0.0006,0.0000,0.0000,0.0023,0.0000,200,0.5023
0.0032,0.0006,0.0000,0.0001,0.0024,0.0001,200,0.5022
0.0033,0.0006,0.0000,0.0001,0.0026,0.0000,200,0.5022
0.0037,0.0006,0.0000,0.0000,0.0030,0.0000,200,0.5023
0.0039,0.0007,0.0000,0.0000,0.0031,0.0001,200,0.5022
0.0046,0.0008,0.0000,0.0001,0.0036,0.0000,200,0.5020
0.0048,0.0006,0.0000,0.0000,0.0041,0.0000,200,0.5023
0.0023,0.0006,0.0000,0.0001,0.0016,0.0001,200,0.6026
0.0024,0.0007,0.0000,0.0001,0.0016,0.0001,200,0.6026
0.0025,0.0007,0.0000,0.0000,0.0018,0.0000,200,0.6025
0.0027,0.0007,0.0000,0.0000,0.0019,0.0000,200,0.6024
0.0027,0.0008,0.0000,0.0001,0.0018,0.0000,200,0.6024
0.0027,0.0008,0.0000,0.0001,0.0018,0.0000,200,0.6024
0.0029,0.0007,0.0000,0.0000,0.0021,0.0000,200,0.6026
0.0029,0.0007,0.0000,0.0000,0.0022,0.0000,200,0.6025
0.0032,0.0008,0.0000,0.0001,0.0022,0.0000,200,0.6024
0.0033,0.0007,0.0000,0.0000,0.0026,0.0000,200,0.6025
0.0028,0.0010,0.0000,0.0002,0.0015,0.0001,200,0.7022
0.0027,0.0010,0.0000,0.0000,0.0016,0.0001,200,0.7023
0.0027,0.0010,0.0000,0.0000,0.0017,0.0001,200,0.7023
0.0027,0.0010,0.0000,0.0000,0.0016,0.0001,200,0.7023
0.0031,0.0011,0.0000,0.0001,0.0018,0.0001,200,0.7021
0.0030,0.0008,0.0000,0.0001,0.0020,0.0000,200,0.7023
0.0031,0.0009,0.0000,0.0001,0.0021,0.0000,200,0.7022
0.0035,0.0010,0.0000,0.0000,0.0024,0.0001,200,0.7023
0.0037,0.0010,0.0000,0.0001,0.0025,0.0000,200,0.7021
0.0036,0.0010,0.0000,0.0000,0.0025,0.0001,200,0.7023
0.0029,0.0012,0.0000,0.0001,0.0015,0.0001,200,0.8021
0.0028,0.0010,0.0000,0.0002,0.0016,0.0001,200,0.8023
0.0031,0.0010,0.0000,0.0000,0.0019,0.0001,200,0.8024
0.0036,0.0011,0.0000,0.0001,0.0023,0.0001,200,0.8023
0.0039,0.0010,0.0000,0.0001,0.0028,0.0001,200,0.8023
0.0043,0.0010,0.0000,0.0002,0.0031,0.0000,200,0.8023
0.0049,0.0012,0.0000,0.0001,0.0035,0.0000,200,0.8020
0.0049,0.0010,0.0000,0.0000,0.0038,0.0000,200,0.8024
0.0053,0.0009,0.0000,0.0002,0.0042,0.0000,200,0.8024
0.0057,0.0010,0.0000,0.0000,0.0046,0.0000,200,0.8023
0.0030,0.0012,0.0000,0.0000,0.0016,0.0001,200,0.9023
0.0028,0.0008,0.0000,0.0001,0.0018,0.0000,200,0.9026
0.0030,0.0010,0.0000,0.0001,0.0018,0.0000,200,0.9024
0.0028,0.0009,0.0000,0.0000,0.0018,0.0001,200,0.9027
0.0032,0.0008,0.0000,0.0001,0.0021,0.0002,200,0.9026
0.0035,0.0010,0.0000,0.0000,0.0022,0.0001,200,0.9023
0.0038,0.0010,0.0000,0.0001,0.0026,0.0000,200,0.9024
0.0039,0.0010,0.0000,0.0000,0.0028,0.0001,200,0.9026
0.0045,0.0011,0.0000,0.0000,0.0033,0.0000,200,0.9024
0.0047,0.0010,0.0000,0.0000,0.0036,0.0000,200,0.9026
0.0023,0.0004,0.0000,0.0000,0.0016,0.0001,200,1.0025
0.0021,0.0006,0.0000,0.0000,0.0014,0.0001,200,1.0030
0.0021,0.0005,0.0000,0.0000,0.0015,0.0001,200,1.0030
0.0024,0.0008,0.0000,0.0001,0.0015,0.0000,200,1.0027
0.0026,0.0007,0.0000,0.0001,0.0017,0.0000,200,1.0027
0.0024,0.0005,0.0000,0.0000,0.0018,0.0000,200,1.0030
0.0026,0.0005,0.0000,0.0001,0.0018,0.0000,200,1.0028
0.0024,0.0004,0.0000,0.0002,0.0017,0.0001,200,1.0030
0.0028,0.0005,0.0000,0.0000,0.0022,0.0001,200,1.0026
0.0030,0.0006,0.0000,0.0001,0.0021,0.0000,200,1.0027
0.0023,0.0006,0.0000,0.0000,0.0015,0.0001,200,1.1031
0.0025,0.0008,0.0000,0.0000,0.0015,0.0001,200,1.1029
