time,sent,received,total
3.71,12569.29,7223.68,19.33
1004.82,12580.23,7230.61,19.35
2005.91,12581.8,7231.88,19.35
3006.65,12584.83,7233.27,19.35
4007.27,12584.83,7233.33,19.35
5008.63,12585.54,7234.14,19.35
6009.37,12586.8,7234.76,19.36
7010.0,12587.3,7234.87,19.36
8011.31,12589.76,7237.61,19.36
9012.54,12598.28,7239.1,19.37
10013.25,12601.75,7239.21,19.38
11013.88,12604.56,7244.1,19.38
12014.51,12605.23,7244.38,19.38
13015.13,12614.74,7246.39,19.4
14015.76,12619.08,7247.21,19.4
15016.65,12619.14,7248.46,19.4
16017.37,12621.01,7250.89,19.41
17018.02,12621.18,7251.08,19.41
18018.64,12622.52,7251.74,19.41
19019.26,12626.79,7252.59,19.41
20022.2,12638.17,7254.99,19.43
21023.37,12641.53,7257.46,19.43
22024.56,12641.6,7258.75,19.43
23025.32,12648.71,7263.8,19.45
24026.02,12648.89,7263.99,19.45
25026.72,12650.02,7268.07,19.45
26027.41,12655.33,7270.37,19.46
27028.06,12660.08,7271.09,19.46
28029.18,12665.05,7271.81,19.47
29030.13,12669.59,7273.06,19.47
30030.76,12676.85,7289.68,19.5
31031.44,12687.82,7303.08,19.52
32032.09,12688.16,7303.87,19.52
33032.71,12689.23,7304.43,19.52
34033.65,12689.63,7304.67,19.53
35034.97,12689.88,7305.0,19.53
36035.85,12692.13,7307.89,19.53
37036.64,12693.2,7315.12,19.54
38037.37,12694.61,7316.96,19.54
39037.98,12699.27,7317.63,19.55
40038.62,12712.18,7322.31,19.56
41040.24,12714.26,7326.06,19.57
42041.61,12719.52,7327.28,19.58
43042.69,12727.4,7330.16,19.59
44043.38,12727.58,7330.22,19.59
45044.17,12729.05,7332.51,19.59
46044.95,12729.12,7333.81,19.59
47048.73,12729.37,7333.92,19.59
48049.69,12730.7,7334.52,19.59
49050.47,12731.11,7334.82,19.59
50051.1,12746.0,7344.65,19.62
51051.72,12748.28,7346.53,19.62
52052.71,12749.5,7349.27,19.63
53054.04,12751.2,7351.14,19.63
54054.9,12752.88,7355.05,19.64
55055.98,12753.14,7355.11,19.64
56056.73,12754.48,7357.56,19.64
57057.35,12754.48,7357.62,19.64
