time,sent,received,total
2.97,6175.83,56224.15,60.94
1003.82,6226.74,58030.35,62.75
2004.88,6228.14,58030.59,62.75
3006.24,6228.96,58031.77,62.75
4006.97,6229.84,58032.59,62.76
5007.68,6230.03,58032.78,62.76
6008.54,6260.04,59201.23,63.93
7009.38,6266.23,59837.0,64.55
8010.18,6267.0,59838.34,64.56
9010.9,6268.39,59838.59,64.56
10011.61,6270.11,59846.85,64.57
11012.69,6299.83,61649.32,66.36
12013.51,6300.0,61649.51,66.36
13014.24,6300.71,61650.64,66.36
14014.97,6304.15,61663.65,66.37
15015.7,6305.35,61663.76,66.38
16016.42,6340.74,63467.32,68.17
17017.28,6341.95,63467.43,68.17
18017.96,6342.82,63468.69,68.17
19018.63,6342.98,63468.78,68.17
20019.32,6345.52,63483.75,68.19
21020.03,6391.08,65287.42,70.0
22020.8,6392.33,65287.52,70.0
23021.53,6396.37,65292.81,70.01
24022.3,6397.58,65292.92,70.01
25022.97,6397.95,65293.12,70.01
26023.66,6427.22,67094.71,71.8
27024.62,6428.62,67102.97,71.81
28025.39,6429.2,67104.19,71.81
29026.21,6430.22,67107.42,71.81
30030.23,6433.02,67115.73,71.82
31031.0,6490.28,68919.78,73.64
32031.79,6493.38,68929.06,73.65
33032.56,6493.95,68930.13,73.66
34033.3,6495.12,68930.86,73.66
35034.13,6495.49,68931.05,73.66
36034.85,6521.63,70732.1,75.44
37035.55,6523.47,70732.35,75.44
38036.29,6529.5,70734.25,75.45
39037.02,6532.06,70735.42,75.46
40037.8,6535.39,70747.36,75.47
41038.5,6562.01,72552.46,77.26
42039.17,6563.51,72553.69,77.26
43039.83,6565.69,72563.02,77.27
44040.51,6565.87,72563.21,77.27
45041.13,6566.06,72563.27,77.27
46041.83,6592.5,74364.44,79.06
47042.51,6593.75,74364.55,79.06
48043.12,6594.46,74365.77,79.06
49043.79,6594.68,74365.97,79.06
50044.41,6598.83,74372.2,79.07
51045.02,6606.96,74381.66,79.09
52045.64,6610.26,74383.49,79.09
53046.58,6610.78,74384.67,79.1
54047.72,6617.25,74386.92,79.11
55048.89,6617.44,74386.98,79.11
56050.16,6618.99,74387.39,79.11
57051.35,6618.99,74387.45,79.11
58052.57,6620.82,74389.61,79.11
59053.35,6620.88,74389.72,79.11
60053.98,6623.79,74397.98,79.12
61054.6,6624.62,74402.14,79.13
62055.21,6627.67,74403.56,79.13
63055.82,6628.18,74404.74,79.13
64056.85,6628.18,74404.79,79.13
65058.07,6628.55,74404.99,79.13
66059.25,6629.16,74405.26,79.13
67060.45,6630.47,74405.58,79.14
68061.69,6631.05,74406.76,79.14
69063.09,6632.36,74406.99,79.14
70063.88,6633.26,74411.33,79.14
71064.51,6636.01,74415.98,79.15
72065.13,6636.36,74416.23,79.15
73065.78,6638.5,74418.53,79.16
74066.4,6641.32,74420.16,79.16
75067.46,6642.57,74420.27,79.16
76068.64,6642.57,74420.33,79.16
77069.94,6643.82,74420.44,79.16
78071.13,6648.68,74423.22,79.17
79072.35,6649.03,74423.42,79.17
80073.12,6650.24,74427.77,79.18
81073.81,6652.38,74429.56,79.18
82074.44,6655.08,74434.31,79.19
83075.06,6658.94,74436.51,79.19
84075.67,6660.19,74436.67,79.2
85076.71,6660.38,74436.86,79.2
86077.98,6665.79,74437.8,79.2
87079.17,6665.79,74437.86,79.2
88080.37,6668.03,74447.23,79.21
89081.58,6669.7,74450.8,79.22
90085.94,6671.77,74454.96,79.22
91086.58,6714.99,74483.03,79.29
92087.19,6788.78,74545.64,79.43
93087.81,6827.8,74575.36,79.5
94088.44,6852.07,74595.92,79.54
95089.37,6888.98,74622.09,79.6
96090.43,6929.92,74660.18,79.68
97091.36,6974.8,74698.5,79.76
98092.39,7019.92,74727.29,79.83
99093.56,7047.16,74751.66,79.88
100094.44,7066.99,74767.42,79.92
101095.07,7095.97,74795.17,79.97
102095.82,7135.21,74829.19,80.04
103096.49,7164.55,74863.89,80.11
104097.13,7234.25,74920.38,80.23
105097.98,7273.26,74945.15,80.29
106098.87,7312.6,74978.3,80.36
107099.83,7358.45,75013.64,80.44
108100.82,7403.34,75053.45,80.52
109101.95,7435.09,75083.44,80.58
110102.86,7453.7,75097.75,80.62
111103.56,7491.96,75129.91,80.68
112104.18,7523.05,75150.46,80.74
113104.79,7593.83,75211.83,80.86
114105.41,7662.43,75263.22,80.98
115106.04,7740.81,75329.21,81.12
116106.99,7755.73,75344.66,81.15
117108.02,7768.84,75356.97,81.18
118108.95,7810.61,75393.68,81.25
119110.05,7854.37,75429.6,81.33
120111.08,7901.47,75465.92,81.41
121111.79,7951.45,75509.65,81.5
122112.42,7983.98,75529.56,81.56
123112.99,8031.81,75573.47,81.65
124113.61,8061.09,75601.99,81.7
125114.27,8120.32,75648.31,81.8
126115.09,8167.38,75685.71,81.89
127116.14,8203.66,75710.01,81.95
128117.09,8244.49,75743.74,82.02
129118.58,8288.27,75778.87,82.1
130119.69,8331.07,75814.17,82.17
131120.44,8356.36,75841.05,82.22
132121.1,8381.54,75864.58,82.27
133121.77,8418.23,75904.09,82.35
134122.39,8449.59,75925.58,82.4
135123.0,8521.91,75983.83,82.52
136123.95,8589.34,76039.88,82.65
137124.88,8641.13,76082.95,82.74
138125.95,8659.13,76096.55,82.77
139126.96,8670.72,76108.85,82.79
140127.93,8698.52,76133.16,82.84
141128.8,8746.88,76175.6,82.93
142129.48,8815.43,76230.69,83.05
143130.12,8871.18,76279.82,83.16
144130.73,8919.04,76312.91,83.23
145131.34,8960.44,76350.14,83.31
146132.42,9004.29,76380.35,83.38
147133.33,9051.51,76417.26,83.46
148134.35,9101.65,76458.75,83.55
149135.45,9137.14,76484.04,83.61
150136.37,9175.57,76514.85,83.68
151137.29,9229.23,76558.3,83.78
152138.22,9270.66,76590.54,83.85
153138.84,9305.0,76615.49,83.91
154139.47,9374.82,76675.63,84.03
155140.09,9403.35,76694.81,84.08
156140.72,9478.0,76752.58,84.21
157141.56,9542.45,76804.52,84.32
158142.77,9569.59,76821.35,84.37
159143.76,9585.14,76836.6,84.4
160144.69,9606.54,76859.12,84.44
161145.4,9639.22,76882.09,84.49
162146.05,9697.86,76925.77,84.59
163146.66,9768.4,76981.06,84.72
164147.28,9815.6,77030.79,84.81
165147.95,9858.55,77063.81,84.88
166148.8,9889.55,77087.0,84.94
167149.79,9903.75,77097.65,84.96
168150.71,9921.54,77115.72,85.0
169151.67,9960.39,77148.59,85.07
170152.64,10006.99,77190.22,85.15
171153.62,10053.49,77230.22,85.24
172154.62,10104.58,77272.17,85.33
173155.33,10130.6,77296.19,85.38
174155.95,10181.34,77337.93,85.47
175156.58,10205.64,77357.67,85.51
176157.21,10273.11,77415.68,85.63
177157.86,10346.51,77475.17,85.76
178158.47,10375.35,77494.22,85.81
179159.48,10413.04,77521.11,85.87
180160.22,10480.12,77576.3,85.99
181160.85,10494.65,77585.51,86.02
182161.51,10495.42,77589.61,86.02
183162.56,10496.0,77590.74,86.02
184163.68,10496.83,77594.9,86.03
185164.85,10498.67,77603.29,86.04
186166.14,10499.14,77603.4,86.04
187167.39,10501.89,77604.85,86.04
188168.61,10502.47,77606.03,86.04
189170.38,10503.72,77606.14,86.04
190171.62,10503.72,77606.2,86.04
191172.78,10505.19,77606.63,86.05
192174.05,10506.12,77610.86,86.05
193174.82,10507.02,77612.1,86.05
194175.43,10509.6,77613.81,86.06
195176.2,10511.62,77618.08,86.06
196176.84,10514.4,77626.33,86.07
197177.46,10515.83,77627.57,86.08
198178.59,10516.79,77628.89,86.08
199179.78,10516.95,77629.04,86.08
200180.95,10517.32,77629.29,86.08
201182.21,10519.74,77634.63,86.09
202182.95,10523.24,77640.27,86.1
203183.55,10525.87,77645.16,86.1
204184.16,10527.3,77645.27,86.11
205184.75,10528.83,77653.78,86.12
206185.37,10534.06,77654.71,86.12
207186.43,10535.49,77655.95,86.12
208187.65,10536.07,77657.24,86.13
209188.83,10536.9,77660.68,86.13
210190.09,10538.15,77660.79,86.13
211191.31,10547.25,77662.12,86.14
212192.49,10548.08,77666.33,86.15
213193.56,10549.54,77668.38,86.15
214194.93,10550.71,77669.05,86.15
215195.53,10551.54,77673.21,86.16
216196.15,10552.4,77673.79,86.16
217196.76,10554.72,77675.09,86.16
218197.37,10562.99,77677.27,86.17
219198.44,10564.61,77677.51,86.17
220199.65,10566.27,77681.08,86.18
221200.74,10567.69,77681.33,86.18
222201.88,10568.58,77685.66,86.19
223203.05,10569.16,77686.78,86.19
224203.81,10569.16,77686.84,86.19
225204.43,10571.42,77691.24,86.19
226205.05,10572.86,77691.35,86.2
227205.66,10572.86,77691.35,86.2
228206.33,10574.87,77693.71,86.2
229207.34,10576.66,77695.18,86.2
230208.41,10577.36,77695.49,86.2
231209.57,10578.95,77696.78,86.21
232210.71,10582.58,77702.37,86.21
233211.9,10583.16,77703.54,86.22
234212.67,10586.34,77708.48,86.22
235213.27,10586.38,77708.57,86.22
236213.9,10588.77,77713.01,86.23
237214.51,10588.77,77713.07,86.23
238215.11,10590.97,77715.62,86.24
239216.14,10591.15,77715.68,86.24
240217.35,10593.99,77723.93,86.25
241218.56,10595.24,77724.04,86.25
242219.79,10595.53,77724.16,86.25
243221.0,10597.47,77733.71,86.26
244221.81,10597.66,77733.82,86.26
245222.42,10597.66,77733.82,86.26
246223.01,10598.8,77738.16,86.27
247223.62,10600.3,77738.56,86.27
248224.24,10603.25,77741.73,86.27
249225.28,10604.49,77741.78,86.28
250226.49,10604.49,77741.84,86.28
251227.65,10605.97,77742.33,86.28
252228.88,10606.5,77742.66,86.28
